Time,E1_e,E2_e,E3_e,E4_e,E5_e,E6_e,E7_e,off_R1_e,off_R2_e,off_R3_e,off_R4_e,on_R1_e,on_R2_e,on_R3_e,on_R4_e,on_R5_e,on_R6_e
90000,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0
100000,5,0,0,8,0,11,0,0,0,0,0,0,0,0,0,0,0
110000,12,0,0,13,0,10,0,0,0,0,0,0,0,0,0,0,0
120000,10,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0
130000,0,0,0,8,0,8,0,0,0,0,0,3,0,0,0,0,0
140000,0,0,0,4,0,8,0,0,0,0,0,4,0,0,0,0,0
150000,1,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0
160000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
170000,10,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2
180000,14,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
190000,11,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0
200000,10,0,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0
210000,9,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0
220000,0,0,0,11,0,10,0,0,0,0,0,3,0,0,0,0,0
230000,0,0,0,4,0,12,0,0,0,0,0,4,0,0,0,0,0
240000,0,0,0,0,0,4,0,0,0,0,0,10,0,0,6,0,0
250000,8,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,2
260000,10,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3
270000,11,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1
280000,8,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0
290000,14,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0
300000,13,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0
310000,0,0,0,7,0,9,0,0,0,0,0,5,0,0,0,0,0
320000,0,0,0,6,0,5,0,0,0,0,0,5,0,0,0,0,0
330000,1,0,0,0,0,5,0,0,0,0,0,4,0,0,6,0,1
340000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
350000,17,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1
360000,14,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
370000,16,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0
380000,14,0,0,12,0,10,0,0,0,0,0,0,0,0,0,0,0
390000,7,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0
400000,1,0,0,13,0,9,0,0,0,0,0,2,0,0,0,0,0
410000,0,0,0,4,0,13,0,0,0,0,0,7,0,0,0,0,0
420000,2,0,0,0,0,6,0,0,0,0,0,5,0,0,7,0,1
430000,5,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,4
440000,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3
450000,15,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
460000,12,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0
470000,7,0,0,14,0,13,0,0,0,0,0,0,0,0,0,0,0
480000,5,0,0,12,0,4,0,0,0,0,0,0,0,0,0,0,0
490000,0,0,0,12,0,5,0,0,0,0,0,2,0,0,0,0,0
500000,0,0,0,6,0,7,0,0,0,0,0,7,0,0,1,0,0
510000,0,0,0,0,0,8,0,0,0,0,0,6,0,0,4,0,0
520000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530000,13,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0
540000,16,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
550000,8,0,0,9,0,13,0,0,0,0,0,0,0,0,1,0,0
560000,10,0,0,11,0,10,0,0,0,0,0,0,0,0,0,0,0
570000,7,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0
580000,0,0,0,8,0,6,0,0,0,0,0,4,0,0,0,0,0
590000,0,0,0,6,0,8,0,0,0,0,0,7,0,0,0,0,0
600000,0,0,0,0,0,5,0,0,0,0,0,5,0,0,6,0,0
610000,10,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,3
620000,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
630000,8,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0
640000,9,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0
650000,13,0,0,16,0,10,0,0,0,0,0,0,0,0,0,0,0
660000,11,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0
670000,0,0,0,8,0,10,0,0,0,0,0,5,0,0,0,0,0
680000,0,0,0,4,0,9,0,0,0,0,0,6,0,0,0,0,0
690000,0,0,0,0,0,6,0,0,0,0,0,1,0,0,4,0,0
700000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
710000,13,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
720000,12,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
730000,13,0,0,6,0,5,0,0,0,0,0,1,0,0,0,0,0
740000,12,0,0,11,0,7,0,0,0,0,0,0,0,0,0,0,0
750000,13,0,0,16,0,7,0,0,0,0,0,0,0,0,0,0,0
760000,0,0,0,15,0,8,0,0,0,0,0,3,0,0,0,0,0
770000,0,0,0,6,0,7,0,0,0,0,0,7,0,0,1,0,0
780000,0,0,0,1,0,6,0,0,0,0,0,3,0,0,5,0,0
