Time,E1_D,E1_T,E1_V,E1_N,E2_D,E2_T,E2_V,E2_N,E3_D,E3_T,E3_V,E3_N,E4_D,E4_T,E4_V,E4_N,E5_D,E5_T,E5_V,E5_N,E6_D,E6_T,E6_V,E6_N,E7_D,E7_T,E7_V,E7_N,off_R1_D,off_R1_T,off_R1_V,off_R1_N,off_R2_D,off_R2_T,off_R2_V,off_R2_N,off_R3_D,off_R3_T,off_R3_V,off_R3_N,off_R4_D,off_R4_T,off_R4_V,off_R4_N,on_R1_D,on_R1_T,on_R1_V,on_R1_N,on_R2_D,on_R2_T,on_R2_V,on_R2_N,on_R3_D,on_R3_T,on_R3_V,on_R3_N,on_R4_D,on_R4_T,on_R4_V,on_R4_N,on_R5_D,on_R5_T,on_R5_V,on_R5_N,on_R6_D,on_R6_T,on_R6_V,on_R6_N
10000,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.3677266949128028,0.7333333333333341,0.5014454930629124,10,0.3595127625969125,0.5933333333333332,0.6059203863992909,7,0.17020434360029899,0.24999999999999978,0.6808173744011965,5,0.29576726140794846,0.7666666666666676,0.3857833844451497,7,0.10997818451217858,0.5399999999999996,0.20366330465218271,4,0.0,0.0,0.0,0,0.13344391049346424,0.3599999999999996,0.3706775291485122,3,0.10939545470206855,0.29666666666666636,0.3687487237148382,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
20000,0.010495965548052611,0.013333333333333334,0.7871974161039458,2,0.01825242234068314,0.02,0.9126211170341569,4,0.3864059570317041,0.6166666666666667,0.6266042546460067,6,0.4002133707812738,0.5866666666666664,0.6821818820135351,8,0.42538473545417815,0.62,0.686104412022868,7,0.28040351647105705,0.553333333333333,0.5067533430199829,6,0.32562297427823533,0.7533333333333341,0.4322428862100465,7,0.0,0.0,0.0,0,0.07510576351857995,0.3266666666666663,0.22991560260789803,3,0.08004796338191911,0.333333333333333,0.24014389014575757,2,0.0,0.0,0.0,0,0.006649973803010958,0.013333333333333334,0.49874803522582184,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
30000,0.09862785547848157,0.20999999999999985,0.4696564546594364,3,0.6576454509952463,0.6700000000000003,0.9815603746197702,5,0.15281820341977187,0.16333333333333327,0.9356216535904404,5,0.27879207826935304,0.44666666666666616,0.6241613692597463,4,0.395372312394525,0.6066666666666666,0.6517126028481183,7,0.43761468624159977,0.6233333333333334,0.702055646376898,6,0.3222375785958962,0.6600000000000004,0.4882387554483273,6,0.04618046163192936,0.10333333333333335,0.44690769321221957,1,0.1736167679528519,0.49999999999999933,0.34723353590570427,3,0.010044330920400956,0.333333333333333,0.0301329927612029,2,0.0,0.0,0.0,0,0.0,0.1666666666666666,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
40000,0.02011381637657391,0.15999999999999995,0.125711352353587,1,0.020165984882330096,0.023333333333333334,0.8642564949570041,1,0.5329892618864172,0.5699999999999997,0.9350688805024867,5,0.17438863337755411,0.18666666666666656,0.9342248216654689,4,0.3294817260766719,0.5466666666666663,0.6027104745304979,5,0.46497798066666474,0.5933333333333333,0.7836707539325811,7,0.37240898144321233,0.6600000000000004,0.5642560324897153,7,0.06048055694783481,0.09666666666666666,0.6256609339431187,1,0.0214359607207713,0.5033333333333327,0.04258800143199601,4,0.04530636961821156,0.23666666666666647,0.19143536458399266,2,0.0,0.0,0.0,0,0.03366050479259288,0.15999999999999995,0.21037815495370557,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
50000,0.0005170050858769646,0.1666666666666666,0.0031020305152617885,1,0.0,0.0,0.0,0,0.021675114144040577,0.030000000000000002,0.7225038048013525,1,0.17098636369003956,0.34333333333333294,0.49801853501953325,4,0.2556634684838461,0.3166666666666664,0.8073583215279357,4,0.4327618478905994,0.5866666666666664,0.7376622407226129,6,0.2659983648536234,0.5399999999999995,0.49258956454374747,7,0.051738207815224375,0.12333333333333335,0.419498982285603,1,0.16801225110122506,0.713333333333334,0.23553119313255827,5,0.07540251237126869,0.1533333333333333,0.4917555154647959,2,0.011778750584102271,0.05,0.23557501168204542,1,0.014291366482888689,0.043333333333333335,0.329800764989739,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.026951355389531945,0.05666666666666667,0.4756121539329166,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0
60000,0.020906437854647315,0.2033333333333332,0.10281854682613441,2,0.0,0.0,0.0,0,0.046968515352565306,0.09000000000000001,0.5218723928062811,1,0.007867525104788024,0.333333333333333,0.023602575314364098,2,0.00686809317052377,0.1666666666666666,0.04120855902314264,1,0.18020560003847397,0.20666666666666653,0.8719625808313263,2,0.30585789880674713,0.6966666666666672,0.439030476756096,6,0.059666912612092476,0.16333333333333327,0.365307628237301,1,0.05801179230843031,0.26666666666666644,0.21754422115661384,3,0.07370190745946609,0.1666666666666666,0.4422114447567967,1,0.0,0.0,0.0,0,0.035767764801150646,0.2733333333333331,0.13085767610177076,2,0.014200586240918894,0.03666666666666667,0.38728871566142437,1,0.0,0.0,0.0,0,0.09031660319314316,0.1666666666666666,0.5418996191588592,1,0.020590907469270597,0.06333333333333334,0.32511959162006204,1,0.0,0.0,0.0,0
70000,0.21150837978895695,0.3866666666666662,0.5470044304886824,4,0.047166165163568974,0.08666666666666667,0.544224982656565,2,0.011494468915541674,0.1533333333333333,0.07496392771005442,1,0.0,0.30666666666666637,0.0,2,0.025633770635318597,0.23666666666666647,0.10831170690979698,2,0.0,0.0,0.0,0,0.16015484679456365,0.7766666666666677,0.20620795724621901,6,0.0,0.0,0.0,0,0.0,0.14666666666666664,0.0,1,0.03036838497265497,0.22333333333333316,0.13597784316114175,2,0.0,0.0,0.0,0,0.02486585746308733,0.30666666666666637,0.08108431781441529,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.03749894193761437,0.06999999999999999,0.5356991705373482,1,0.03193727455448155,0.07666666666666666,0.4165731463628029,1,0.027637266957890746,0.11666666666666667,0.23689085963906353,1
80000,0.1344403357875912,0.20666666666666653,0.6505177538109257,2,0.3191207121633044,0.45999999999999946,0.69374067861588,4,0.04370765635280189,0.1666666666666666,0.26224593811681146,1,0.02993280871474212,0.3299999999999997,0.09070548095376409,2,0.027592488005036178,0.27999999999999975,0.09854460001798644,3,0.0,0.0,0.0,0,0.06518982102289189,1.0000000000000024,0.06518982102289174,6,0.0,0.0,0.0,0,0.0003001258560518862,0.1666666666666666,0.001800755136311318,1,0.09375531940673881,0.33666666666666634,0.2784811467526898,3,0.0,0.0,0.0,0,0.08512920431149561,0.333333333333333,0.2553876129344871,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.030845206064054033,0.1433333333333333,0.2151991120747956,1,0.0,0.0,0.0,0
90000,0.10694750994810279,0.16999999999999993,0.6291029996947225,3,0.23751996424651883,0.35666666666666624,0.6659438249902405,4,0.25058819590584536,0.3733333333333329,0.671218381890658,4,0.07957487701449703,0.13333333333333333,0.5968115776087277,2,0.1607585575581047,0.28999999999999976,0.5543398536486374,3,0.07816259229417706,0.13666666666666666,0.5719214070305639,1,0.026509906420510865,1.0000000000000024,0.0265099064205108,6,0.0,0.0,0.0,0,0.006098377228567313,0.1666666666666666,0.03659026337140389,1,0.1438422077755488,0.39666666666666617,0.3626274145602075,3,0.0,0.0,0.0,0,0.059816717559392114,0.4099999999999995,0.14589443307168826,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0015823097123352468,0.0033333333333333335,0.47469291370057404,1,0.00818614889614972,0.030000000000000002,0.2728716298716573,1,0.0,0.0,0.0,0
100000,0.4771463573838768,0.6033333333333333,0.7908503161058732,6,0.29291063839537307,0.3299999999999996,0.8876079951374951,5,0.26581452173162934,0.3799999999999996,0.6995118992937621,4,0.16884654080433445,0.2399999999999998,0.7035272533513941,4,0.09370259319913052,0.13999999999999999,0.6693042371366467,2,0.2121183067037875,0.2733333333333331,0.7760425855016623,2,0.034099379975340405,1.0433333333333354,0.0326831117974508,7,0.0,0.0,0.0,0,0.0,0.1666666666666666,0.0,1,0.06635829680974138,0.2033333333333332,0.32635227939217093,2,0.0,0.0,0.0,0,0.05699767110492923,0.49999999999999933,0.11399534220985862,3,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.1008028884189694,0.1666666666666666,0.6048173305138166,1,0.0014740615645240191,0.006666666666666667,0.22110923467860286,1,0.0,0.0,0.0,0
