Time,E1_D,E1_T,E1_V,E1_N,E2_D,E2_T,E2_V,E2_N,E3_D,E3_T,E3_V,E3_N,E4_D,E4_T,E4_V,E4_N,E5_D,E5_T,E5_V,E5_N,E6_D,E6_T,E6_V,E6_N,E7_D,E7_T,E7_V,E7_N,off_R1_D,off_R1_T,off_R1_V,off_R1_N,off_R2_D,off_R2_T,off_R2_V,off_R2_N,off_R3_D,off_R3_T,off_R3_V,off_R3_N,off_R4_D,off_R4_T,off_R4_V,off_R4_N,on_R1_D,on_R1_T,on_R1_V,on_R1_N,on_R2_D,on_R2_T,on_R2_V,on_R2_N,on_R3_D,on_R3_T,on_R3_V,on_R3_N,on_R4_D,on_R4_T,on_R4_V,on_R4_N,on_R5_D,on_R5_T,on_R5_V,on_R5_N,on_R6_D,on_R6_T,on_R6_V,on_R6_N
10000,0.0,0.1866666666666665,0.0,2.0,0.0,0.1066666666666666,0.0,1.0,0.0168907515899795,0.1366666666666666,0.1235908652925331,2.0,0.2037923877188103,0.3133333333333331,0.650401237400459,4.0,0.230082987679752,0.323333333333333,0.7115968691126359,3.0,0.1395043314975542,0.1599999999999999,0.8719020718597142,2.0,0.170115934084253,0.3733333333333329,0.4556676805828212,4.0,0.0047260390900123,0.0966666666666666,0.0488900595518522,2.0,0.0332555254433836,0.6666666666666671,0.0498832881650755,4.0,0.0732870550743499,0.1666666666666666,0.4397223304460997,1.0,0.0,0.0,0.0,0.0,0.0439839712835039,0.303333333333333,0.1450021031324308,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006247654714194,0.333333333333333,0.0018742964142584,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.0265582894826253,0.29499999999999965,0.065846998717253,2.5,0.0,0.13333333333333325,0.0,1.0,0.00844537579498975,0.14833333333333326,0.06179543264626655,1.5,0.10583258729500085,0.23666666666666647,0.3498030776727029,2.5,0.18178561144323274,0.25666666666666643,0.7070832640476696,3.0,0.2041139589499823,0.2249999999999998,0.8992675642098755,2.5,0.14576658896076178,0.3149999999999996,0.46436093867570427,3.0,0.0314319219114366,0.23499999999999976,0.10230816111457924,2.5,0.0184044230520792,0.6533333333333337,0.02771767584876805,4.0,0.04922996613277425,0.16333333333333325,0.2985264064455456,1.0,0.0031277326356536,0.015,0.10425775452178815,0.5,0.07429984744221045,0.4149999999999996,0.17181977650379496,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077816804384943,0.3266666666666663,0.0242787035283312,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,0.03916490410339053,0.36333333333333284,0.0868167547081161,2.6666666666666665,0.0026090913788004663,0.14444444444444438,0.015654548272802864,1.0,0.005630250529993166,0.15444444444444436,0.041196955097511034,1.3333333333333333,0.07055505819666723,0.21333333333333318,0.23320205178180195,2.0,0.1386815831633588,0.2266666666666665,0.5763358959056682,2.6666666666666665,0.190549155417032,0.23666666666666647,0.8090239509490601,2.6666666666666665,0.15395687507745706,0.34555555555555517,0.4491948175686507,3.0,0.0234162612053673,0.2677777777777775,0.07559038053628157,2.3333333333333335,0.028729689725553398,0.6566666666666671,0.04329263301433873,4.0,0.03392052255326534,0.16444444444444437,0.2056208750855256,1.0,0.016449057460795266,0.06555555555555553,0.1556885839033495,0.6666666666666666,0.06359687135968106,0.44333333333333286,0.1426737971322782,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018735521275821832,0.2733333333333331,0.09747220825317475,2.0,0.007095350451918067,0.024444444444444435,0.0967547788897921,0.3333333333333333,0.0,0.0,0.0,0.0
40000,0.043082952259674304,0.3449999999999996,0.11238592527981613,3.0,0.035823287160584846,0.1708333333333332,0.1472067857105403,1.5,0.015139763193502624,0.1849999999999999,0.07035702462195653,1.5,0.053610509129489226,0.19999999999999987,0.17924038559878155,1.75,0.11283982578211472,0.24999999999999978,0.4598414169592376,2.5,0.1499490891808733,0.21749999999999983,0.6507506045749157,2.25,0.12337092202868995,0.3791666666666662,0.35336125009439884,3.0,0.024610732258419026,0.28083333333333305,0.07871946150969109,2.25,0.027442568026615474,0.6091666666666667,0.0451022620445764,3.75,0.05090297820361098,0.20166666666666652,0.23547922957583145,1.5,0.018895452857424475,0.0658333333333333,0.21514633435493286,1.0,0.054097567853115223,0.45249999999999946,0.12033850271036375,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014051640956866375,0.20499999999999982,0.07310415618988106,1.5,0.015319335182639199,0.04499999999999998,0.1662956686395378,0.75,0.005367494798637075,0.015,0.08945824664395145,0.5
50000,0.07276818056528275,0.3713333333333329,0.17026220614876908,3.2,0.07069026513341095,0.1926666666666665,0.26787841215751484,1.6,0.03200570728788012,0.2253333333333331,0.10773535262793947,2.0,0.04555161164751036,0.1833333333333332,0.16621977428404508,1.6,0.10156786003999181,0.2766666666666664,0.3973409581264337,2.6,0.11995927134469864,0.2073333333333332,0.5206004836599326,2.0,0.09869673762295196,0.40333333333333277,0.28268900007551906,3.0,0.0315727205540004,0.29466666666666635,0.09693023991422485,2.4,0.02205464217184944,0.522,0.03666212358118264,3.4,0.06600285628851021,0.22799999999999981,0.2642248048375296,1.6,0.01835809162193152,0.0653333333333333,0.22330226752592433,1.0,0.0448873022780547,0.4619999999999994,0.09948929815941604,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0112413127654931,0.16399999999999987,0.05848332495190485,1.2,0.012255468146111361,0.03599999999999998,0.13303653491163023,0.6,0.00726544416507862,0.02066666666666666,0.14013848176521432,0.6
60000,0.11500539782035651,0.42333333333333306,0.22144407035057387,4.0,0.09223693726218955,0.2061111111111109,0.3451651186105811,1.6666666666666667,0.0661976803588235,0.28555555555555534,0.15715376328281144,2.3333333333333335,0.047076805984299454,0.16611111111111102,0.25248059871221445,1.6666666666666667,0.10357914892685573,0.2961111111111108,0.3792681402584019,2.6666666666666665,0.11166694098774015,0.21833333333333316,0.47664183955580625,2.1666666666666665,0.0847875701391207,0.4194444444444439,0.2406547443029207,3.0,0.035970825702956365,0.3105555555555552,0.10554500823951912,2.5,0.0183788684765412,0.4627777777777778,0.030551769650985536,3.0,0.07186759494255518,0.24555555555555533,0.27078298147099805,1.6666666666666667,0.015563823454724632,0.05555555555555552,0.2258972884055257,1.0,0.04464796316416225,0.4933333333333329,0.09404909913148772,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009367760637910916,0.13666666666666655,0.048736104126587375,1.0,0.010212890121759468,0.029999999999999985,0.1108637790930252,0.5,0.006054536804232184,0.01722222222222222,0.1167820681376786,0.5
70000,0.2083268792020366,0.5605555555555556,0.3138415766690688,5.166666666666667,0.1423910236988706,0.2583333333333331,0.46457961012648846,2.5,0.08903269512307038,0.3188888888888886,0.21274382047438314,2.6666666666666665,0.04326420426225185,0.16944444444444431,0.23453878117206708,1.5,0.07839037664611061,0.27833333333333304,0.3213997036077944,2.5,0.13112063790498815,0.2633333333333331,0.4306374295175757,2.3333333333333335,0.07064388695975386,0.40055555555555505,0.2193600251083813,3.0,0.0388761674308352,0.34555555555555517,0.10943910490331481,2.5,0.016779858306983683,0.36999999999999994,0.05808859196595567,2.5,0.06575253453736245,0.23666666666666647,0.2513145920484033,1.8333333333333333,0.015563823454724632,0.05555555555555552,0.2258972884055257,1.0,0.051114822254164145,0.5488888888888885,0.09155358084942865,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012370080049554649,0.08722222222222215,0.13314500294215872,0.8333333333333334,0.010212890121759468,0.029999999999999985,0.1108637790930252,0.5,0.006054536804232184,0.01722222222222222,0.1167820681376786,0.5
80000,0.24357805779788433,0.6044444444444447,0.3580484897317353,6.0,0.24440090503831305,0.3761111111111111,0.5822833193643066,3.3333333333333335,0.12047854007255344,0.3672222222222219,0.28262347591767895,3.3333333333333335,0.06682033198420277,0.19222222222222207,0.3101635532015968,1.8333333333333333,0.08777054568968627,0.3211111111111108,0.27511418188735665,2.6666666666666665,0.09667539604568436,0.22888888888888867,0.400302857250745,2.3333333333333335,0.09158691375275503,0.43777777777777716,0.2263077300203105,3.3333333333333335,0.0373800738419772,0.35611111111111066,0.10224856107276364,2.5,0.01618763819685455,0.26333333333333325,0.0571632480438789,1.8333333333333333,0.06244212379990036,0.21166666666666648,0.3135997244146746,1.8333333333333333,0.014521245909506765,0.05055555555555552,0.19114470356492963,0.8333333333333334,0.049358663334228614,0.6044444444444445,0.07667965898676715,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026390034301928534,0.06166666666666663,0.22442280542157067,0.6666666666666666,0.010212890121759468,0.029999999999999985,0.1108637790930252,0.5,0.006054536804232184,0.01722222222222222,0.1167820681376786,0.5
90000,0.2474792572397585,0.6600000000000006,0.35414617794932807,6.333333333333333,0.28459439092170025,0.41111111111111115,0.6846278104653938,4.0,0.2046610765008822,0.4855555555555555,0.37864918287014504,4.5,0.07417645137959378,0.17611111111111097,0.41525097313575426,2.1666666666666665,0.09815428832875074,0.343333333333333,0.2864050899715223,2.8333333333333335,0.0909868468656263,0.21277777777777762,0.4274735255646598,2.0,0.08764760310934079,0.44833333333333275,0.2085191388975185,3.6666666666666665,0.04589921633898781,0.38388888888888834,0.11805602276791344,2.6666666666666665,0.011951115245739384,0.16666666666666652,0.09267832755125383,1.3333333333333333,0.07280853651724517,0.21166666666666645,0.3757982007187433,1.8333333333333333,0.007339294724327,0.022777777777777748,0.14805299645385095,0.6666666666666666,0.07188263251103247,0.6877777777777783,0.09217180829780053,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022844384004071083,0.06166666666666663,0.20314890363442598,0.5,0.006665214895800434,0.017777777777777767,0.062486389648129144,0.3333333333333333,0.006054536804232184,0.01722222222222222,0.1167820681376786,0.5
100000,0.23833974111833756,0.7505555555555565,0.32263060511684205,6.5,0.27522451940174664,0.41888888888888887,0.6388378147570623,3.8333333333333335,0.23577598839001643,0.543888888888889,0.41360834236920163,5.0,0.12653381757238188,0.21999999999999978,0.5371304791332486,2.6666666666666665,0.11233035293741887,0.3222222222222219,0.371780146121409,3.1666666666666665,0.08629536512022677,0.18611111111111098,0.3981517646559127,1.8333333333333333,0.10433346015532384,0.42888888888888826,0.2579681631349452,3.6666666666666665,0.04865118528633198,0.38999999999999946,0.12426220712381746,3.0,0.016032142735508348,0.11666666666666663,0.1323238372304545,1.0,0.07208518825974285,0.20222222222222205,0.3849408330094155,1.6666666666666667,0.0029668548831083166,0.01166666666666665,0.08246639883557046,0.3333333333333333,0.1019392435365431,0.7766666666666676,0.11715463764800871,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022844384004071083,0.0894444444444444,0.20314890363442598,0.6666666666666666,0.0,0.0,0.0,0.0,0.0024762069384741334,0.007222222222222217,0.05714323704171096,0.16666666666666666
