Time,E1_e,E2_e,E3_e,E4_e,E5_e,E6_e,E7_e,off_R1_e,off_R2_e,off_R3_e,off_R4_e,on_R1_e,on_R2_e,on_R3_e,on_R4_e,on_R5_e,on_R6_e
10000,0.0,0.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,0.0,6.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.5,0.0,0.0
30000,1.6666666666666667,0.0,0.0,4.333333333333333,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,0.0,3.0,0.0,0.3333333333333333
40000,5.0,0.0,0.0,3.25,0.0,4.75,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,2.5,0.0,0.5
50000,7.2,0.0,0.0,4.6,0.0,3.8,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,2.0,0.0,0.4
60000,7.5,0.0,0.0,5.833333333333333,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,1.6666666666666667,0.0,0.3333333333333333
70000,8.833333333333334,0.0,0.0,5.5,0.0,4.833333333333333,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,1.6666666666666667,0.0,0.3333333333333333
80000,10.833333333333334,0.0,0.0,8.5,0.0,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.3333333333333333
90000,10.0,0.0,0.0,10.666666666666666,0.0,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666
100000,7.5,0.0,0.0,12.5,0.0,7.833333333333333,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
110000,4.833333333333333,0.0,0.0,11.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.5,0.0,0.0
120000,4.166666666666667,0.0,0.0,9.0,0.0,8.833333333333334,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,1.0,0.0,0.3333333333333333
130000,5.833333333333333,0.0,0.0,7.166666666666667,0.0,6.833333333333333,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,1.1666666666666667,0.0,0.8333333333333334
140000,6.166666666666667,0.0,0.0,5.333333333333333,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,0.0,0.0,1.1666666666666667,0.0,1.0
150000,9.0,0.0,0.0,4.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,1.1666666666666667,0.0,1.0
160000,10.166666666666666,0.0,0.0,3.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.1666666666666667,0.0,1.0
170000,12.333333333333334,0.0,0.0,5.666666666666667,0.0,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,1.0
180000,11.666666666666666,0.0,0.0,7.833333333333333,0.0,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666
190000,8.666666666666666,0.0,0.0,10.0,0.0,7.166666666666667,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666
200000,6.333333333333333,0.0,0.0,8.833333333333334,0.0,8.833333333333334,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.6666666666666666,0.0,0.0
210000,4.166666666666667,0.0,0.0,8.0,0.0,8.166666666666666,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.8333333333333334,0.0,0.3333333333333333
220000,5.0,0.0,0.0,6.666666666666667,0.0,6.166666666666667,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.8333333333333334,0.0,1.1666666666666667
230000,5.5,0.0,0.0,5.5,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.8333333333333334,0.0,1.1666666666666667
240000,7.0,0.0,0.0,4.333333333333333,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,0.8333333333333334,0.0,1.1666666666666667
250000,8.5,0.0,0.0,4.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.8333333333333334,0.0,1.1666666666666667
260000,9.5,0.0,0.0,5.333333333333333,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,1.1666666666666667
270000,8.833333333333334,0.0,0.0,6.666666666666667,0.0,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.8333333333333334
280000,6.833333333333333,0.0,0.0,8.5,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.0,0.0
290000,4.166666666666667,0.0,0.0,7.333333333333333,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.5,0.0,0.0
300000,3.6666666666666665,0.0,0.0,6.333333333333333,0.0,6.166666666666667,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.1666666666666667,0.0,0.3333333333333333
310000,4.666666666666667,0.0,0.0,4.5,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
320000,5.5,0.0,0.0,3.8333333333333335,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
330000,8.333333333333334,0.0,0.0,3.3333333333333335,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
340000,10.333333333333334,0.0,0.0,3.6666666666666665,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
350000,12.333333333333334,0.0,0.0,4.666666666666667,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.8333333333333334,0.0,0.6666666666666666
360000,11.166666666666666,0.0,0.0,6.666666666666667,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333
370000,8.666666666666666,0.0,0.0,8.5,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
380000,6.833333333333333,0.0,0.0,8.0,0.0,7.166666666666667,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.5,0.0,0.0
390000,5.833333333333333,0.0,0.0,7.166666666666667,0.0,6.5,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,1.3333333333333333,0.0,0.3333333333333333
400000,6.333333333333333,0.0,0.0,5.0,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,1.5,0.0,0.6666666666666666
410000,6.5,0.0,0.0,6.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,1.5,0.0,0.6666666666666666
420000,8.0,0.0,0.0,4.333333333333333,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,1.5,0.0,0.6666666666666666
430000,9.833333333333334,0.0,0.0,4.5,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,1.5,0.0,0.6666666666666666
440000,11.0,0.0,0.0,6.333333333333333,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666
450000,9.166666666666666,0.0,0.0,7.666666666666667,0.0,5.166666666666667,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333
460000,6.666666666666667,0.0,0.0,9.0,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
470000,4.5,0.0,0.0,7.166666666666667,0.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,0.3333333333333333,0.0,0.0
480000,3.8333333333333335,0.0,0.0,6.833333333333333,0.0,6.833333333333333,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,1.0,0.0,0.3333333333333333
490000,4.666666666666667,0.0,0.0,4.833333333333333,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,1.6666666666666667,0.0,0.8333333333333334
500000,6.166666666666667,0.0,0.0,4.166666666666667,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,1.6666666666666667,0.0,1.0
510000,8.666666666666666,0.0,0.0,3.8333333333333335,0.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.6666666666666667,0.0,1.0
520000,9.833333333333334,0.0,0.0,4.333333333333333,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.6666666666666667,0.0,1.0
530000,12.5,0.0,0.0,5.333333333333333,0.0,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,1.0
540000,11.833333333333334,0.0,0.0,7.5,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666
550000,9.166666666666666,0.0,0.0,9.833333333333334,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.16666666666666666
560000,6.5,0.0,0.0,8.5,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.8333333333333334,0.0,0.0
570000,4.833333333333333,0.0,0.0,7.5,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,1.1666666666666667,0.0,0.3333333333333333
580000,6.166666666666667,0.0,0.0,5.666666666666667,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
590000,4.5,0.0,0.0,6.333333333333333,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
600000,5.666666666666667,0.0,0.0,5.5,0.0,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
610000,7.0,0.0,0.0,4.666666666666667,0.0,4.5,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
620000,8.5,0.0,0.0,6.833333333333333,0.0,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.5,0.0,0.6666666666666666
630000,7.833333333333333,0.0,0.0,7.833333333333333,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333
640000,5.333333333333333,0.0,0.0,9.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0
650000,4.333333333333333,0.0,0.0,7.166666666666667,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0
660000,3.8333333333333335,0.0,0.0,5.833333333333333,0.0,9.333333333333334,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.3333333333333333,0.0,0.16666666666666666
670000,6.0,0.0,0.0,4.5,0.0,6.833333333333333,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.8333333333333333,0.0,0.3333333333333333
680000,6.666666666666667,0.0,0.0,3.1666666666666665,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,1.8333333333333333,0.0,0.3333333333333333
690000,7.666666666666667,0.0,0.0,2.6666666666666665,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,1.8333333333333333,0.0,0.3333333333333333
