Time,E1_D,E1_T,E1_V,E2_D,E2_T,E2_V,E3_D,E3_T,E3_V,E4_D,E4_T,E4_V,E5_D,E5_T,E5_V,E6_D,E6_T,E6_V,E7_D,E7_T,E7_V,off_R1_D,off_R1_T,off_R1_V,off_R2_D,off_R2_T,off_R2_V,off_R3_D,off_R3_T,off_R3_V,off_R4_D,off_R4_T,off_R4_V,on_R1_D,on_R1_T,on_R1_V,on_R2_D,on_R2_T,on_R2_V,on_R3_D,on_R3_T,on_R3_V,on_R4_D,on_R4_T,on_R4_V,on_R5_D,on_R5_T,on_R5_V,on_R6_D,on_R6_T,on_R6_V
10000,4.374915188407828,88.22822482774944,0.0495863449247573,5.084148777470117,9.156517728371286,0.5552491600291434,54.66793642485236,123.2738819671879,0.4434673067195486,61.63069882503461,113.66010528538358,0.5422368620043868,58.72016232486176,96.53971802925147,0.6082487449059006,44.26227235146616,91.98990654347116,0.4811644452595392,44.291068009136346,91.55310868116447,0.4837745943000239,14.664125988908054,34.12467751637833,0.4297220386000696,12.99145179698021,80.86556334245931,0.1606549346841551,3.105746279724271,65.91742676279716,0.0471157087320815,0.0,0.0,0.0,10.918646389618337,37.83837558154292,0.2885601250531567,0.0,0.0,0.0,0.0,8.94890169279903,0.0,7.158877231168961,56.64691502799048,0.1263771774267248,2.047843609442522,7.147495718307863,0.286512044239089,0.0,0.0,0.0
20000,3.0486461045196047,88.22822482774944,0.03455409094393045,8.148082698380476,13.915497337195838,0.5778208492782247,32.05689155926317,78.68697442697217,0.3602355326235728,49.96254467583212,105.1050435972364,0.46943224613417006,55.83739609752563,91.77029414024238,0.6084582815119739,47.905731142388284,97.6774545286857,0.489937365471169,46.83130144533156,94.66561071758882,0.4943545083229971,11.143312171327555,25.54836967496049,0.43942119438384114,14.786120599877897,95.77476811652429,0.1552289592643346,4.78152012235841,71.5027120841414,0.06544047022274116,0.0,0.0,0.0,9.080871389182162,34.070918272558124,0.2637894544975589,0.0,0.0,0.0,0.0,8.94890169279903,0.0,5.284050951397914,62.13692441396314,0.08839470467976525,3.265989084276227,14.816162999409023,0.24297068536511884,0.0,0.0,0.0
30000,9.51939340946847,100.40371985397873,0.0830495276858581,8.10473432547039,12.97173344852599,0.6263389086085022,25.700475801680057,62.44545024032294,0.3846452634255561,35.05490156176377,97.16105774395692,0.3344445825263203,42.18122227280984,78.6132627222864,0.5004068728175864,49.78459780857514,98.62537919288813,0.5041739114175868,43.37972745418032,97.37323444033193,0.44785977243751257,7.428874780885036,17.03224644997366,0.29294746292256074,16.666868165440892,100.62179353689932,0.16521286684079847,5.832710268969091,75.76080089348302,0.07501194712396507,0.0,0.0,0.0,9.816694983341595,35.92734651176802,0.2707829828347051,0.0,0.0,0.0,0.0,8.94890169279903,0.0,7.058280407872755,66.42079537422974,0.10607807272416869,4.796006670669012,23.824985727692916,0.22456448999712586,0.0,0.0,0.0
40000,19.46940453103649,109.00597177468427,0.1537463106312223,11.288665976991618,17.319071361228573,0.6413592217848831,22.77598318698811,53.61129762635488,0.41761622927367525,28.43591018672874,97.05921177147897,0.2730003885976935,33.66116109217352,77.21532813412853,0.40304005065991977,40.853902014486714,85.86961034199021,0.45198092772447945,40.08623603179028,113.07492154278151,0.38303830073317513,5.626705722567997,14.534584868087062,0.2275283709858184,14.754443587158097,95.37596222750608,0.1522162274821938,5.5826075219243805,77.77924558882029,0.07066918133869303,0.0,0.0,0.0,11.147155714026898,43.57146279086761,0.2599957718981589,0.0,0.0,0.0,0.0,8.85941267587104,0.0,9.550917159200688,65.8801126316718,0.14581026773714,6.825328142313683,29.669552539017584,0.23681533067798965,0.0,0.0,0.0
50000,28.01261279175558,116.81416967194016,0.2070047786265264,18.58465862771443,28.096051766528724,0.6472614324921923,21.39594544341334,46.76988253338422,0.49772535514690563,26.98677347204896,104.73839809631582,0.2496877556840466,28.717704413017913,80.68549517061444,0.34134763862924833,32.915123132007224,77.84522198893747,0.3666560720994624,33.85499242847704,125.3806917892299,0.3166595352699676,4.501364578054398,13.433206387399718,0.18202269678865474,11.903136183556711,92.2530053427328,0.1230214755081976,5.742649576345404,82.2861837441624,0.0692610301059257,0.0,0.0,0.0,10.139219635133822,50.54944893707429,0.22356472062099558,0.0,0.0,0.0,0.0,8.877310479256638,0.0,9.97360320110074,63.75897264163691,0.15885344732683584,6.903965034458372,32.491324286141214,0.222429763692615,0.0,0.0,0.0
60000,36.411547692290696,124.66648168160994,0.2522200793327107,24.878175554704296,38.63407918725085,0.6422155221077545,24.946466824688585,48.89103034809734,0.5343828722070095,27.046251035345517,101.43858858803047,0.2617262703802479,30.012507553097183,89.93379183815267,0.32911268952344797,27.99723234988288,73.40234030193652,0.31664237083000957,28.416010635078436,133.5845386201955,0.26504853911191767,3.7976689903711396,12.69895406694149,0.15683992570991312,9.98032107401018,90.35509834268721,0.10327274069893023,6.538191041975673,88.38760104239653,0.07245871970943298,0.0,0.0,0.0,9.072313099296831,56.51185963477203,0.19352051360043462,0.0,0.0,0.0,0.0,8.88924234818037,0.0,9.355235177086188,62.03294696347126,0.151925514714687,6.143862891657515,32.33745458664986,0.19773007583481775,0.0,0.0,0.0
70000,46.61513685104935,131.75414907610573,0.3275685992184503,36.15926113710874,54.55758479821245,0.66551666367901,23.99969593463985,38.760884954960254,0.5911190964078136,22.885818433102695,91.76322120262596,0.28125421926086885,26.66858423768495,92.04439896144977,0.2867358119570627,25.82643328296147,70.99131452559557,0.3036050866150298,23.820383226059324,144.4909481949832,0.20216700018794642,2.105085892139083,9.148061697512352,0.14383718083069696,8.851178160384476,90.31419517458279,0.08934853320586056,7.973892991891105,93.21712168329482,0.08519027968142423,0.0,0.0,0.0,7.634783462826355,63.96487300689419,0.1500572608267803,0.0,0.0,0.0,0.0,8.76992365894305,0.0,8.810832665666636,62.386470295143745,0.14190170514586378,6.118074407738987,35.71266089807303,0.16149388481576735,0.0,0.0,0.0
80000,56.510912934849955,138.87122587887748,0.4020877054370147,46.29263490562301,69.57748668597954,0.675770334757401,33.83191945689941,49.46174276461199,0.6609836074331938,22.86496030639314,90.1676343004715,0.2882905566983892,23.180134597642915,92.26368281841572,0.24572515531969943,24.34910507427968,67.22022292670333,0.30860089648439526,22.86637260728908,150.23515927033543,0.17302028189418114,1.4519118521740673,8.33556937569382,0.12000774934991525,8.868652161924892,81.45865927997356,0.11270286875147828,8.088305683839074,95.00515031752053,0.0847875982478577,0.15388094881962544,1.0422459634033165,0.024607267097993435,7.390295781034683,76.90526985079863,0.11913911209147916,0.0,0.0,0.0,0.06295774263694641,8.769923658943048,0.0070352479888796835,8.649176940903667,64.50761028517869,0.13855914743636358,5.437126702920442,37.251357892986526,0.13034943141006003,0.0,0.0,0.0
90000,58.96478521551757,139.04768232853294,0.42133924823749186,54.73599600520138,83.15162261663532,0.6609011636503147,42.254757469100916,60.947330146971524,0.6958175773329031,31.026319240257198,93.80014065218478,0.36520254107776756,29.291187521625023,102.07663541764127,0.2755981796782269,20.010681487475477,59.2040773968176,0.30729143465577535,24.712734281522085,151.47509910598416,0.18577876711981123,2.034206617547046,10.080923252192887,0.17561201898767487,7.259821144554805,69.73990161805416,0.12673312477899876,7.925751284023203,95.63188200374397,0.08227089127343522,0.1783179960669314,1.2080578212174806,0.049170294504929685,7.9927846472558395,93.09441611332049,0.08983775881857653,0.0,0.0,0.0,0.10799979358988981,8.769923658943048,0.012068497039898715,7.606089296243876,67.58534281973917,0.12273957649446017,4.323528697998987,36.48200939552978,0.10431555331485531,0.0,0.0,0.0
100000,51.897562332365304,138.63595061267014,0.3690763331962054,52.675195805958076,84.83834956659844,0.5813930472457381,50.082760384103445,73.93103762268231,0.7064977815567853,37.11150316964837,90.91450476530974,0.44502452278635896,37.6650407742513,108.92925594782672,0.34230406705325106,22.81111984145686,59.63682561308392,0.36053183170835695,26.576149040106404,139.48057906317817,0.23254369332138702,4.651351483558883,15.587815655629592,0.2366089773560122,7.697740077304352,65.93590698434211,0.14202202459378235,8.251134297847404,96.83004552152408,0.08508686339430815,0.22270896755417188,1.7291808029191393,0.06336750995628936,8.432780996394056,98.22689418643033,0.08235224228408063,0.0,0.0,0.0,0.12654957118018892,8.829583003561709,0.014141352260246667,6.295017193920079,73.51205749777795,0.09387021494840397,2.3314043886666025,34.81922393328454,0.06302136769749912,0.0,0.0,0.0
