Time,E1_s,E1_e,E2_s,E2_e,E3_s,E3_e,E4_s,E4_e,E5_s,E5_e,E6_s,E6_e,E7_s,E7_e,off_R1_s,off_R1_e,off_R2_s,off_R2_e,off_R3_s,off_R3_e,off_R4_s,off_R4_e,on_R1_s,on_R1_e,on_R2_s,on_R2_e,on_R3_s,on_R3_e,on_R4_s,on_R4_e,on_R5_s,on_R5_e,on_R6_s,on_R6_e
90000,0,0,0,0,0,12,7,7,7,6,5,2,2,0,0,0,5,0,1,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0
100000,6,5,5,7,6,18,13,8,8,13,10,11,9,0,0,1,5,1,3,0,2,0,1,0,0,0,0,0,3,0,1,0,0,0
110000,9,12,12,12,12,13,12,13,13,10,8,10,9,12,0,1,1,4,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
120000,5,10,8,14,14,12,8,11,11,13,10,9,8,12,2,0,4,4,2,3,1,0,3,0,0,0,0,0,1,0,0,0,0,0
130000,0,0,1,13,13,16,13,8,8,11,8,8,8,13,3,0,3,2,2,4,0,0,0,3,0,0,0,0,1,0,1,0,0,0
140000,0,0,3,0,0,11,8,4,4,8,4,8,8,12,2,3,3,2,2,2,0,0,2,4,0,0,0,0,2,0,2,0,0,0
150000,3,1,3,2,2,1,0,0,5,1,0,2,2,5,2,4,1,5,0,2,0,0,2,3,0,0,1,0,5,5,3,0,0,0
160000,9,5,5,0,1,0,0,0,3,1,0,0,1,0,0,1,0,1,4,4,1,0,2,0,0,0,0,1,1,3,0,4,0,2
170000,15,10,10,2,2,1,1,2,5,1,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,1,3,0,3,0,2
180000,9,14,13,12,12,9,4,15,15,10,6,0,0,0,1,0,5,1,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0
190000,12,11,11,15,15,16,14,6,6,16,13,9,8,0,0,0,2,3,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0
200000,10,10,9,13,13,14,14,15,15,9,7,12,12,10,1,2,0,3,2,2,0,0,3,0,0,0,1,0,1,0,0,0,0,0
210000,6,9,8,10,10,11,9,13,13,12,11,6,6,11,1,0,2,4,0,1,0,0,6,0,0,0,1,0,0,0,1,0,0,0
220000,0,0,1,9,9,10,7,11,11,15,11,10,10,12,2,1,3,0,4,7,0,0,1,3,0,0,0,0,1,0,0,0,0,0
230000,0,0,2,0,0,6,6,4,4,10,9,12,11,9,3,1,0,2,1,2,1,0,2,4,0,0,0,0,1,0,2,0,0,0
240000,3,0,4,0,0,0,0,0,6,0,0,4,4,4,8,2,0,3,1,3,0,0,3,10,0,0,0,0,2,6,2,1,0,0
250000,11,8,7,0,0,0,0,0,4,2,0,0,1,0,2,3,0,0,4,1,1,0,2,1,0,0,1,0,1,4,1,4,1,2
260000,11,10,10,7,7,2,1,5,5,2,0,0,0,0,0,6,1,0,2,2,3,0,1,0,0,0,0,0,2,0,0,1,0,3
270000,8,11,11,12,12,12,9,4,4,8,7,1,2,0,0,3,3,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1
280000,11,8,8,13,13,12,7,9,9,6,6,10,10,0,0,0,5,1,0,1,0,0,3,0,0,0,0,0,4,0,2,0,0,0
290000,15,14,11,7,7,12,10,10,10,10,7,7,7,10,3,0,2,4,3,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0
300000,9,13,13,10,9,8,8,9,9,14,9,10,8,14,0,0,0,1,3,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0
310000,0,0,0,15,15,11,11,7,7,5,5,9,9,12,5,2,0,2,0,4,0,0,1,5,0,0,1,0,0,0,1,0,1,0
320000,0,0,3,1,1,8,5,6,6,8,7,5,5,9,4,1,3,2,1,3,0,0,0,5,0,0,0,0,1,0,2,0,1,0
330000,5,1,2,0,2,0,0,0,6,0,0,5,4,5,3,4,0,1,1,3,2,0,4,4,0,1,0,1,2,6,2,1,0,1
340000,14,9,7,1,1,0,0,0,6,1,0,0,0,0,2,3,0,0,3,0,3,0,5,0,0,0,0,0,2,6,0,3,1,3
350000,12,17,14,8,8,1,1,1,4,1,0,0,0,0,3,4,0,0,3,0,1,0,3,0,0,0,0,0,3,3,0,3,0,1
360000,13,14,14,11,11,14,8,8,8,9,6,0,0,0,0,2,6,2,2,4,1,0,3,0,0,0,0,0,0,0,3,0,0,0
370000,13,16,13,16,16,13,11,8,8,14,11,12,12,0,3,4,2,3,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,0
380000,11,14,14,14,14,16,13,12,12,14,10,10,10,7,0,3,3,5,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
390000,4,7,7,16,16,15,11,13,13,15,9,11,11,12,0,0,4,2,3,2,0,0,2,0,0,0,0,0,0,0,1,0,1,0
400000,0,1,1,8,8,16,15,13,13,13,12,9,7,11,2,0,1,2,1,5,2,0,1,2,0,0,0,0,1,0,0,0,0,0
410000,0,0,2,1,1,2,2,4,4,8,7,13,12,10,5,2,0,4,0,3,1,0,0,7,0,0,0,0,0,0,2,0,0,0
420000,7,2,2,0,1,0,0,0,7,0,0,6,7,6,6,1,0,2,0,1,0,0,2,5,0,0,0,1,1,7,2,0,0,1
430000,13,5,5,1,1,0,0,0,6,1,0,0,1,0,2,3,0,0,2,0,3,0,3,2,0,0,0,0,0,6,0,2,0,4
440000,13,18,18,6,5,1,0,2,2,3,0,0,0,0,0,4,1,0,5,0,3,0,2,0,0,0,0,0,0,0,0,5,0,3
450000,12,15,13,13,13,9,6,7,7,12,10,1,1,0,2,3,3,0,2,1,0,0,2,0,0,0,0,0,0,0,2,1,0,0
460000,8,12,12,18,18,18,13,4,4,12,11,9,8,0,0,3,5,3,1,2,1,0,1,0,0,0,0,0,1,0,3,0,0,0
470000,9,7,6,14,14,21,19,14,14,4,2,13,13,12,1,2,2,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
480000,5,5,4,9,9,16,14,12,12,11,9,4,4,18,1,0,2,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0
490000,0,0,0,5,5,11,10,12,12,11,9,5,4,12,2,1,1,0,1,5,1,0,0,2,0,0,0,0,2,0,1,0,1,0
500000,0,0,3,0,0,2,2,6,7,14,11,7,7,5,5,2,0,4,0,3,0,0,1,7,0,0,0,0,1,1,1,0,1,0
510000,5,0,1,0,1,0,0,0,4,0,0,8,8,1,5,2,0,2,0,0,0,0,3,6,0,0,0,1,1,4,1,0,1,0
520000,9,8,7,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,2,0,0,0,4,0,0,0,0,0,1,0,1,2,1,0
530000,13,13,13,5,5,1,0,4,6,0,0,0,0,0,0,2,1,0,2,0,0,0,3,0,0,0,1,0,1,2,0,2,0,0
540000,9,16,16,10,10,7,6,11,11,13,10,0,0,0,0,4,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
550000,10,8,7,17,17,14,11,9,10,12,9,13,13,0,1,0,3,2,2,2,1,1,0,0,0,0,0,0,2,1,2,0,0,0
560000,9,10,10,13,13,12,8,11,11,8,3,10,9,12,0,0,4,2,2,3,1,0,0,0,0,0,1,0,2,0,1,0,0,0
570000,8,7,7,10,9,13,9,8,8,14,7,7,7,16,0,1,4,0,5,2,0,0,6,0,0,0,0,0,1,0,0,0,1,0
580000,0,0,1,9,9,14,13,8,8,12,8,6,6,9,3,1,1,5,2,3,0,0,1,4,0,0,0,0,0,0,0,0,1,0
590000,0,0,2,1,1,6,5,6,6,7,7,8,7,7,6,1,1,2,0,5,1,0,0,7,0,0,0,0,1,0,3,0,1,0
600000,5,0,1,0,2,0,0,0,6,0,0,5,4,5,5,4,0,3,0,3,1,0,1,5,0,0,1,2,2,6,0,0,0,0
610000,9,10,9,1,2,0,0,0,2,2,0,0,0,0,3,3,0,0,4,0,4,0,2,2,0,0,0,1,1,2,0,4,0,3
620000,9,14,13,4,3,3,2,5,5,3,1,0,0,0,1,3,1,0,3,0,0,0,2,0,0,0,0,0,1,0,0,3,0,0
630000,11,8,8,17,17,9,5,8,8,9,7,1,1,0,0,3,4,0,1,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0
640000,13,9,7,10,10,18,16,8,8,11,8,8,8,0,2,4,2,4,2,3,0,0,2,0,0,0,0,0,1,0,3,0,0,0
650000,10,13,12,8,8,14,12,16,16,9,7,10,10,11,1,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
660000,9,11,11,11,11,8,8,10,10,14,9,7,6,11,0,1,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
