Time,E1_D,E1_T,E1_V,E2_D,E2_T,E2_V,E3_D,E3_T,E3_V,E4_D,E4_T,E4_V,E5_D,E5_T,E5_V,E6_D,E6_T,E6_V,E7_D,E7_T,E7_V,off_R1_D,off_R1_T,off_R1_V,off_R2_D,off_R2_T,off_R2_V,off_R3_D,off_R3_T,off_R3_V,off_R4_D,off_R4_T,off_R4_V,on_R1_D,on_R1_T,on_R1_V,on_R2_D,on_R2_T,on_R2_V,on_R3_D,on_R3_T,on_R3_V,on_R4_D,on_R4_T,on_R4_V,on_R5_D,on_R5_T,on_R5_V,on_R6_D,on_R6_T,on_R6_V
10000,0.8593251221179344,1.349999999999999,0.6365371274947668,1.4072776381007028,2.660000000000008,0.5290517436468791,1.3533007827224874,2.2866666666666657,0.5918224997328665,0.821596845709112,1.2866666666666666,0.6385467712765119,1.1572240738291184,1.7733333333333283,0.6525699664449934,0.8260226782911622,1.3866666666666652,0.5956894314599733,1.213295133105243,3.1033333333333517,0.3909651341907312,0.0,0.0,0.0,0.26208859269047263,1.0633333333333352,0.24647830033586723,0.14563112961181915,2.5000000000000036,0.058252451844727576,0.013129669502298545,0.03666666666666667,0.358081895517233,0.10158443006517982,1.2033333333333338,0.0844191939599832,0.0,0.0,0.0,0.01916526643908677,0.10333333333333335,0.18547032037825906,0.35379866974873814,1.316666666666666,0.26870785044207973,0.013294287673161011,0.05,0.2658857534632202,0.0,0.0,0.0
20000,0.3301954483251736,0.7633333333333343,0.43257045632118757,1.473433733875487,2.1533333333333298,0.6842571519545617,1.2334649446582877,2.036666666666661,0.6056292690629907,0.6665233939967041,0.9400000000000018,0.7090674404220243,0.8645015907122302,1.4166666666666654,0.6102364169733395,1.237549962539555,2.043333333333327,0.6056525102151186,0.930754942273514,1.8799999999999937,0.49508241610293463,0.020420733481752815,0.06333333333333334,0.32243263392241284,0.41412865535134336,1.6433333333333293,0.25200526694807973,0.07903908852219803,2.6566666666666743,0.029751225290664166,0.0,0.0,0.0,0.21315434938923314,1.549999999999997,0.1375189350898281,0.0,0.0,0.0,0.015062333555851442,0.10666666666666667,0.14120937708610726,0.10033779068823102,1.4033333333333318,0.07149961331702931,0.012401073733720692,0.060000000000000005,0.20668456222867818,0.0,0.0,0.0
30000,0.00476644219107936,0.49999999999999933,0.009532884382158732,0.4693427934410625,0.6533333333333334,0.7183818266955038,1.469906418633616,2.6466666666666745,0.5553802589295762,0.6235300512591692,0.8600000000000012,0.7250349433246143,0.8040631890390075,1.3833333333333315,0.5812504981004881,0.8306854290229978,1.783333333333328,0.46580491347084124,0.8953763230865021,1.469999999999998,0.6090995395146281,0.2214103856837844,0.5766666666666665,0.3839486456944239,0.22689855596364028,1.7533333333333283,0.1294098227929511,0.136468755818592,2.596666666666673,0.052555361675965986,0.0,0.0,0.0,0.3281165714637733,1.3933333333333324,0.23549036229457432,0.0,0.0,0.0,0.0,0.0,0.0,0.07586502049579458,1.4999999999999973,0.05057668033052981,0.007318384639407281,0.03333333333333333,0.21955153918221845,0.0,0.0,0.0
40000,0.016051325055212555,0.6533333333333337,0.024568354676345737,0.1692838326476319,0.33666666666666634,0.5028232652899962,0.6607392177561482,1.3066666666666666,0.5056677686909298,0.6608149492294237,1.5133333333333305,0.43666186072428964,0.50416618563586,1.0833333333333348,0.4653841713561778,0.6078348396191475,1.4766666666666648,0.41162630222515684,0.6685471258086998,1.1000000000000014,0.6077701143715445,0.40942438386604735,1.016666666666669,0.40271250872070136,0.4030468471424889,1.6933333333333291,0.23801979161958065,0.2529146038879487,2.3433333333333337,0.1079294184443593,0.0,0.0,0.0,0.27664643555927665,0.8066666666666679,0.3429501267263755,0.0,0.0,0.0,0.0,0.0,0.0,0.17677779492354187,1.5399999999999971,0.11479077592437804,0.0,0.0,0.0,0.03222455531916443,0.17333333333333326,0.1859108960721026
50000,0.21038861298608116,1.060000000000002,0.1984798235717743,0.03168596918231414,0.333333333333333,0.09505790754694252,0.20142929443846533,1.2700000000000002,0.15860574365233487,0.15351074909025764,1.8333333333333273,0.08373313586741353,0.2505161000320579,1.4066666666666652,0.17809201424079962,0.19331603461909336,1.0900000000000016,0.1773541602010028,0.3676051658614469,1.0800000000000016,0.3403751535754133,0.28236947465404105,0.7233333333333339,0.3903725456046647,0.2924113462568218,1.0100000000000025,0.28951618441269417,0.23775241801534172,2.6633333333333407,0.08926874268410803,0.0,0.0,0.0,0.17853994995940667,0.8233333333333347,0.21685014165110086,0.07999938566966175,0.22999999999999982,0.34782341595505134,0.0,0.0,0.0,0.43481244603576036,1.206666666666667,0.36034180610698363,0.04513516407926825,0.1666666666666666,0.2708109844756096,0.046826815362705006,0.19999999999999987,0.2341340768135252
60000,0.6872820041074815,1.4199999999999984,0.4840014113432974,0.4786074322493187,0.8533333333333348,0.5608680846671693,0.2020690635581464,2.176666666666663,0.09283417927633081,0.005134335742120177,1.8333333333333273,0.0028005467684291967,0.16654317342267635,2.1633333333333296,0.07698451776086748,0.07484770033306358,0.9533333333333356,0.07851157377594063,0.07885073761498217,1.1666666666666674,0.06758634652712753,0.06241001031134812,0.1799999999999999,0.34672227950748974,0.0017019869100958398,0.8333333333333348,0.002042384292115004,0.1688671874581477,2.8733333333333455,0.05877048287406507,0.03005579537495902,0.09333333333333334,0.32202637901741804,0.10792827861973175,0.9200000000000019,0.11731334632579514,0.03806884410348447,0.11,0.3460804009407679,0.0,0.0,0.0,0.184261858136471,0.4966666666666661,0.3709970298049756,0.048065016232281196,0.1533333333333333,0.31346749716705136,0.07401761924840349,0.24333333333333312,0.3041819969112475
70000,0.9614564593090804,1.533333333333331,0.6270368212885317,1.1181930571173817,1.5566666666666638,0.7183253043580624,0.6132265186290906,2.413333333333335,0.25409938617227495,0.1108679535147855,1.8433333333333273,0.06014536357040824,0.22796526481490795,1.9466666666666599,0.11710544425423394,0.030853033754835366,0.9266666666666687,0.033294640742628015,0.06230023272593046,1.1000000000000014,0.056636575205391254,0.0,0.0,0.0,0.011228147290923385,0.8333333333333348,0.013473776749108038,0.2111498282576997,2.946666666666681,0.0716571815354181,0.016619438649388574,0.05,0.3323887729877715,0.04307482842015891,0.9266666666666687,0.046483627791538286,0.0,0.0,0.0,0.0,0.0,0.0,0.1650025444684575,0.30666666666666637,0.5380517754406228,0.08512162897997534,0.22333333333333316,0.3811416222983973,0.004058169647315343,0.01,0.40581696473153434
80000,1.1431826278484563,1.8599999999999945,0.6146143160475589,1.4351112733655378,1.9633333333333272,0.7309565059586803,1.2662536196761771,2.683333333333342,0.4718957588855303,0.4796575397972458,1.2300000000000004,0.3899654795099558,1.0422221458610923,2.0099999999999936,0.5185184805279083,0.4012516253555723,1.5699999999999972,0.25557428366597007,0.008659835847370794,1.1666666666666674,0.007422716440603533,0.04669427458676936,0.10333333333333335,0.4518800766461551,0.28999316636700745,1.3633333333333324,0.2127089239855802,0.37893288192251684,3.173333333333353,0.1194116224545739,0.0,0.0,0.0,0.0,1.0000000000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05379860261690831,0.333333333333333,0.1613958078507251,0.009736150088966302,0.02666666666666667,0.3651056283362363,0.0,0.0,0.0
90000,0.9732842157889402,1.6466666666666634,0.5910632889406531,1.7035697914403787,1.9566666666666603,0.8706489564431265,1.5559585041369257,2.483333333333338,0.6265604714645328,0.792933182316247,1.4466666666666654,0.5481104946886505,0.7878464521487781,1.2066666666666674,0.6529114244326887,1.3895032525859135,2.7733333333333436,0.5010228074228035,0.24681123527161866,1.5666666666666635,0.15753908634358668,0.06645533355455438,0.18333333333333324,0.36248363757029683,0.4664262672671421,1.0900000000000016,0.4279140066671022,0.1571013812358168,2.5300000000000047,0.06209540760308953,0.0,0.0,0.0,0.00958427427858257,1.0000000000000024,0.009584274278582548,0.0,0.0,0.0,0.02595451844337312,0.07666666666666667,0.3385371970874754,0.041312276224239594,0.3933333333333329,0.1050312107395923,0.01094805466822698,0.043333333333333335,0.2526474154206226,0.0,0.0,0.0
100000,0.9685452787990488,1.786666666666662,0.5420962381337974,1.405347643341781,1.476666666666665,0.9517026930079793,1.739053685356108,2.3300000000000005,0.7463749722558402,0.8304849009528033,1.5733333333333306,0.5278505726394945,0.8539175162744267,1.3766666666666652,0.6202790675116908,1.2540716425811427,2.44666666666667,0.5125633416544173,1.1535027531951811,2.1933333333333307,0.5259131093595057,0.04199938211625299,0.11,0.38181256469320896,0.470782121891814,1.6066666666666631,0.2930179181899264,0.07746907942426143,2.5000000000000036,0.030987631769704527,0.0,0.0,0.0,0.07734967932404839,1.203333333333334,0.06427951190364128,0.0,0.0,0.0,0.053077848573284174,0.19666666666666655,0.2698873656268688,0.21639550708363486,0.6666666666666671,0.3245932606254521,0.03819496029741627,0.14666666666666664,0.26042018384602006,0.0,0.0,0.0
