Time,E1_D1,E1_T1,E1_D2,E1_T2,E1_D3,E1_T3,E1_D4,E1_T4,E1_D5,E1_T5,E1_D6,E1_T6,E2_D1,E2_T1,E2_D2,E2_T2,E2_D3,E2_T3,E2_D4,E2_T4,E2_D5,E2_T5,E2_D6,E2_T6,E3_D1,E3_T1,E3_D2,E3_T2,E3_D3,E3_T3,E3_D4,E3_T4,E3_D5,E3_T5,E3_D6,E3_T6,E4_D1,E4_T1,E4_D2,E4_T2,E4_D3,E4_T3,E4_D4,E4_T4,E4_D5,E4_T5,E4_D6,E4_T6,E5_D1,E5_T1,E5_D2,E5_T2,E5_D3,E5_T3,E5_D4,E5_T4,E5_D5,E5_T5,E5_D6,E5_T6,E6_D1,E6_T1,E6_D2,E6_T2,E6_D3,E6_T3,E6_D4,E6_T4,E6_D5,E6_T5,E6_D6,E6_T6,E7_D1,E7_T1,E7_D2,E7_T2,E7_D3,E7_T3,E7_D4,E7_T4,E7_D5,E7_T5,E7_D6,E7_T6,off_R1_D1,off_R1_T1,off_R1_D2,off_R1_T2,off_R1_D3,off_R1_T3,off_R1_D4,off_R1_T4,off_R1_D5,off_R1_T5,off_R1_D6,off_R1_T6,off_R2_D1,off_R2_T1,off_R2_D2,off_R2_T2,off_R2_D3,off_R2_T3,off_R2_D4,off_R2_T4,off_R2_D5,off_R2_T5,off_R2_D6,off_R2_T6,off_R3_D1,off_R3_T1,off_R3_D2,off_R3_T2,off_R3_D3,off_R3_T3,off_R3_D4,off_R3_T4,off_R3_D5,off_R3_T5,off_R3_D6,off_R3_T6,off_R4_D1,off_R4_T1,off_R4_D2,off_R4_T2,off_R4_D3,off_R4_T3,off_R4_D4,off_R4_T4,off_R4_D5,off_R4_T5,off_R4_D6,off_R4_T6,on_R1_D1,on_R1_T1,on_R1_D2,on_R1_T2,on_R1_D3,on_R1_T3,on_R1_D4,on_R1_T4,on_R1_D5,on_R1_T5,on_R1_D6,on_R1_T6,on_R2_D1,on_R2_T1,on_R2_D2,on_R2_T2,on_R2_D3,on_R2_T3,on_R2_D4,on_R2_T4,on_R2_D5,on_R2_T5,on_R2_D6,on_R2_T6,on_R3_D1,on_R3_T1,on_R3_D2,on_R3_T2,on_R3_D3,on_R3_T3,on_R3_D4,on_R3_T4,on_R3_D5,on_R3_T5,on_R3_D6,on_R3_T6,on_R4_D1,on_R4_T1,on_R4_D2,on_R4_T2,on_R4_D3,on_R4_T3,on_R4_D4,on_R4_T4,on_R4_D5,on_R4_T5,on_R4_D6,on_R4_T6,on_R5_D1,on_R5_T1,on_R5_D2,on_R5_T2,on_R5_D3,on_R5_T3,on_R5_D4,on_R5_T4,on_R5_D5,on_R5_T5,on_R5_D6,on_R5_T6,on_R6_D1,on_R6_T1,on_R6_D2,on_R6_T2,on_R6_D3,on_R6_T3,on_R6_D4,on_R6_T4,on_R6_D5,on_R6_T5,on_R6_D6,on_R6_T6
5000,0.1348992766093522,0.1933333333333331,0.06700241490764541,0.1666666666666665,0.07570325975848347,0.09666666666666661,0.1209674093242008,0.1799999999999998,0,0,0,0,0.18571510383854448,0.5333333333333342,0.22840132766293317,0.4833333333333345,0.18284733840566816,0.23999999999999969,0,0,0,0,0,0,0.15972537589326097,0.25999999999999973,0.1930892850344515,0.28666666666666657,0.1349953901827052,0.16333333333333316,0.13662415328938735,0.3133333333333334,0.10212785713989521,0.1566666666666665,0,0,0.09409858014691111,0.14999999999999986,0.1164295678160193,0.18666666666666645,0.1267361147627027,0.21333333333333307,0.03505899162413239,0.05666666666666667,0,0,0,0,0.3465173277610377,0.553333333333334,0.21139008086223762,0.3233333333333335,0.01841696724536779,0.030000000000000002,0,0,0,0,0,0,0.14948138339335448,0.2299999999999997,0.12115516591156957,0.253333333333333,0.09167117441147286,0.13999999999999987,0,0,0,0,0,0,0.20914544674675534,0.6833333333333327,0.28213601471022165,0.7066666666666658,0.087405919000165,0.22333333333333305,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0020897869673296337,0.15999999999999984,0.0,0.0,0.044686820244841226,0.09333333333333328,0.030728408284405356,0.06666666666666667,0.006368008882356993,0.023333333333333334,0.01489245291394435,0.05,0.01719710100373453,0.16999999999999982,0.05316356141186998,0.6000000000000002,0.012361141887144643,0.4300000000000008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.23999999999999969,0.0,0.15999999999999984,0.0,0.0,0.006885574745906665,0.09666666666666661,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.004771131646337712,0.016666666666666666,0,0,0,0,0.004511926759211638,0.17666666666666647,0.027839755082247758,0.06333333333333334,0.018037742978419247,0.03333333333333333,0.06859409913630242,0.12666666666666657,0.05911515584831183,0.12333333333333323,0.011679437425199524,0.10666666666666659,0.0,0.0,0,0,0.0,0.0,0.011477672612381565,0.03666666666666667,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
10000,0.0920530996997512,0.10999999999999992,0.13345209658713325,0.26666666666666644,0.1537793407247959,0.2166666666666664,0.08146822450657228,0.1199999999999999,0,0,0,0,0.3679557064081065,0.7666666666666652,0.2955613066097439,0.45666666666666766,0.14679685517570895,0.1799999999999998,0,0,0,0,0,0,0.17529687876814765,0.25999999999999973,0.11255843597386862,0.22333333333333305,0.15381131560390718,0.27999999999999986,0.13586124551575712,0.2833333333333332,0.04921084532110572,0.060000000000000005,0,0,0.1342947105191907,0.23999999999999969,0.1578642215612506,0.2566666666666664,0.13324913522567597,0.1566666666666665,0.023865524053229083,0.02666666666666667,0,0,0,0,0.23314085608121657,0.34000000000000025,0.28062804081947673,0.4300000000000008,0.0671308010597819,0.09666666666666661,0,0,0,0,0,0,0.10541234565905815,0.19666666666666643,0.16221253765761956,0.28666666666666657,0.19609007125808767,0.27999999999999986,0,0,0,0,0,0,0.34845348670023696,0.8366666666666644,0.22676067664338062,0.4900000000000012,0.059393589304483026,0.16333333333333316,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.17333333333333314,0.04591179931951005,0.13333333333333322,0.017164434288812352,0.04,0.013933927913854754,0.030000000000000002,0.05482739510878239,0.15333333333333318,0.03148555876663556,0.13999999999999987,0.05827346751551196,0.3366666666666669,0.004635857793558123,0.5300000000000009,0.0,0.4333333333333342,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.013129669502298547,0.03666666666666667,0,0,0,0,0,0,0.0,0.25999999999999973,0.0,0.17333333333333314,0.022802386987838038,0.07333333333333332,0.06670820638588883,0.18666666666666645,0.00518826194554629,0.013333333333333334,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01439413479274906,0.08666666666666663,0,0,0,0,0.004017521852258937,0.25999999999999973,0.030036212909520472,0.07999999999999997,0.07231093477583063,0.14666666666666653,0.05002430615204214,0.09666666666666661,0.007631576829393424,0.016666666666666666,0.0,0.08666666666666663,0.0,0.0,0,0,0.0,0.0,0.0018166150607794472,0.013333333333333334,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
15000,0.12294278615186194,0.20666666666666642,0.11147232007741306,0.22666666666666638,0.03917613401044923,0.06333333333333334,0.005814602917097331,0.01,0,0,0,0,0.309709739393464,0.5933333333333336,0.23032337451310111,0.3133333333333334,0.21931365828823443,0.3133333333333334,0,0,0,0,0,0,0.1421179619305448,0.1799999999999998,0.12465205574195765,0.243333333333333,0.0980000739338412,0.18999999999999978,0.103862341086795,0.19666666666666643,0.10411437738980761,0.13333333333333322,0,0,0.14946963224211104,0.27333333333333315,0.08002689004080536,0.10666666666666659,0.07341692002924947,0.08666666666666663,0.03126888602432668,0.03666666666666667,0,0,0,0,0.17405700074022015,0.27999999999999986,0.19691453998758432,0.3066666666666667,0.04582707458378023,0.060000000000000005,0,0,0,0,0,0,0.26831106767852847,0.4100000000000007,0.24938295462737128,0.4233333333333341,0.13439397676850337,0.1666666666666665,0,0,0,0,0,0,0.2573215407703646,0.5400000000000008,0.21246654731631384,0.4400000000000009,0.0065372544698130645,0.08666666666666663,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.00486340622436194,0.23666666666666636,0.01071077506751601,0.0833333333333333,0.02013534300856612,0.043333333333333335,0.061129965983792854,0.1299999999999999,0.0824621876794483,0.22666666666666638,0.014812941184182783,0.06333333333333334,0.018972540258806594,0.3200000000000001,0.003875621443813212,0.4900000000000012,0.020759377122826807,0.460000000000001,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.23999999999999969,0.016717105729642388,0.21333333333333307,0.06235869343968197,0.1933333333333331,0.03431535309530913,0.09666666666666661,0.002690025690810771,0.006666666666666667,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.004745022104225688,0.05666666666666667,0.003050385896722907,0.023333333333333334,0,0,0,0,0.0,0.23999999999999969,0.03442434378735611,0.24666666666666634,0.02989513298810148,0.07999999999999997,0.0,0.0,0.0,0.0,0.0,0.07999999999999997,0.0,0.0,0,0,0.0,0.0,0.008048868762710314,0.023333333333333334,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
20000,0.014410861390755682,0.13333333333333322,0.03637874377759635,0.12333333333333323,0.0,0.0,0.0,0.0,0,0,0,0,0.2873855955878876,0.4100000000000007,0.2331971944135182,0.2833333333333332,0.19350417167928102,0.23999999999999969,0,0,0,0,0,0,0.10975370891385561,0.18999999999999978,0.11692073546902321,0.19666666666666643,0.13996836153047407,0.253333333333333,0.16906611946510572,0.2933333333333333,0.1250092091968826,0.15999999999999984,0,0,0.09064556241515317,0.12666666666666657,0.09744931501092144,0.13666666666666655,0.10598190516775245,0.1299999999999999,0.038264283066384096,0.043333333333333335,0,0,0,0,0.24339750481642472,0.44333333333333425,0.1746980756640404,0.2899999999999999,0.029607394920180503,0.03666666666666667,0,0,0,0,0,0,0.2302117044185863,0.4466666666666676,0.23492306282281045,0.45666666666666766,0.12032719622375457,0.13999999999999987,0,0,0,0,0,0,0.14473115802059636,0.24666666666666634,0.22018490566427937,0.3800000000000005,0.08951353603214658,0.18666666666666645,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0030677021012416547,0.01,0.01735303138051116,0.05333333333333334,0,0,0,0,0.001340199681369077,0.25999999999999973,0.02949070743061309,0.15999999999999984,0.08153904058177223,0.18333333333333313,0.06809765583719565,0.15333333333333318,0.039546432672525535,0.10333333333333326,0.0,0.0,0.007140290657038328,0.36333333333333373,0.026502289737069234,0.5900000000000003,0.0017889693026438215,0.4333333333333342,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0343511695325026,0.243333333333333,0.011456210371004551,0.31666666666666676,0.029494240523253182,0.17666666666666647,0.021771551007028538,0.06333333333333334,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.007266925554902848,0.02666666666666667,0.0,0.0,0,0,0,0,0.0004771850205603251,0.25999999999999973,0.008599109641093183,0.34000000000000025,0.0,0.0,0.0,0.0,0.01490729657767591,0.03666666666666667,0.012034722673444048,0.1199999999999999,0.0,0.0,0,0,0.0,0.0,0.00435220497101038,0.03666666666666667,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
25000,0.0032083152003866593,0.2299999999999997,0.0011331833149801037,0.01,0.0,0.0,0.0,0.0,0,0,0,0,0.0900206769530892,0.12333333333333323,0.15361708655071668,0.19999999999999976,0.14057366914300135,0.18333333333333313,0,0,0,0,0,0,0.1341690965407331,0.2699999999999998,0.17354569521576577,0.2833333333333332,0.16689468912150707,0.29666666666666663,0.17416680642095797,0.3200000000000001,0.0879949269967024,0.12333333333333323,0,0,0.08572232793534044,0.10666666666666659,0.0979970806537079,0.14999999999999986,0.07529024375282556,0.08999999999999996,0.018150399288039434,0.02666666666666667,0,0,0,0,0.23953525037530993,0.42000000000000076,0.12266713678736557,0.18666666666666645,0.02305993878421651,0.03666666666666667,0,0,0,0,0,0,0.13859103484776356,0.3300000000000002,0.15930455614691452,0.37000000000000044,0.14093562346604366,0.19666666666666643,0,0,0,0,0,0,0.17964809212072141,0.28666666666666657,0.15631199199417617,0.22666666666666638,0.05704831771986189,0.14999999999999986,0,0,0,0,0,0,0.0,0.0,0.004538317490856626,0.01,0.028243840494250883,0.07333333333333332,0.02802776490575,0.0833333333333333,0,0,0,0,0.011714469174071367,0.31000000000000005,0.05138629412003968,0.2766666666666665,0.06250088757171772,0.14666666666666653,0.02864752280581917,0.06666666666666667,0.0,0.0,0.0,0.0,0.021997948244684422,0.4333333333333342,0.0015924334231478428,0.48000000000000115,0.023958769637395426,0.34000000000000025,0.01075468091624282,0.043333333333333335,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0766045832831692,0.27333333333333315,0.045254034280092996,0.2699999999999998,0.019015634035598392,0.16999999999999982,0.010682385710782833,0.05,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.23999999999999969,0.0,0.3266666666666668,0.0,0.0,0.030593588888760646,0.05666666666666667,0.012562416601771546,0.023333333333333334,0.0,0.07999999999999997,0.0,0.0,0,0,0.0,0.0,0.00731838463940728,0.03333333333333333,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
30000,0.00042494367571259753,0.25999999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.013673676410339158,0.023333333333333334,0.07145768438391634,0.12333333333333323,0,0,0,0,0,0,0.20441680223293465,0.3866666666666672,0.16246893165294027,0.23333333333333303,0.15928567592207343,0.30333333333333334,0.12515244829227187,0.2899999999999999,0.0818113462377301,0.13999999999999987,0,0,0.06014109945084116,0.0833333333333333,0.08955995210921475,0.1299999999999999,0.15268198119150467,0.20999999999999974,0.043986966877695516,0.06333333333333334,0,0,0,0,0.20288890391542322,0.37000000000000044,0.17249240338899857,0.3,0.04341955578769327,0.06999999999999999,0,0,0,0,0,0,0.140293493396763,0.39000000000000057,0.13379922071015396,0.3366666666666669,0.11776150045535898,0.15999999999999984,0,0,0,0,0,0,0.24510411729829437,0.3666666666666671,0.19539730437210345,0.27999999999999986,0.06186649958134499,0.15999999999999984,0,0,0,0,0,0,0.015313048280757843,0.030000000000000002,0.03684640153578065,0.07999999999999997,0.05650697208120385,0.13666666666666655,0.05193404089518461,0.16333333333333316,0,0,0,0,0.01262302800410791,0.4233333333333341,0.009232073659927797,0.34000000000000025,0.020912379049238712,0.10333333333333326,0.0,0.0,0.014284310111764158,0.03666666666666667,0.015597591466953758,0.05,0.003916480973366118,0.5133333333333344,0.003024978017115427,0.43666666666666754,0.06117269665460056,0.3266666666666668,0.01005076795203939,0.023333333333333334,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.08582529657031669,0.26666666666666644,0.043808992822392055,0.13666666666666655,0.021814327243348627,0.15333333333333318,0.025111317518072527,0.07333333333333332,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0019480859575871994,0.25999999999999973,0.0,0.34000000000000025,0.02909489852287277,0.0833333333333333,0.001666030524802392,0.0033333333333333335,0.0,0.0,0.0,0.08666666666666663,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
35000,0.0,0.21999999999999972,0.0,0.0,0.0,0.0,0.006766996757832606,0.043333333333333335,0,0,0,0,0.027489981897240338,0.04,0.04885018343181129,0.07999999999999997,0.008196304458777169,0.016666666666666666,0,0,0,0,0,0,0.15309884482740038,0.22333333333333305,0.10437165639789281,0.13333333333333322,0.08122104239564037,0.23666666666666636,0.060446260607903674,0.13666666666666655,0.01608728412784981,0.03666666666666667,0,0,0.126341418044931,0.18666666666666645,0.12376821214500876,0.18333333333333313,0.1164174056440064,0.18666666666666645,0.03308012033527723,0.06666666666666667,0,0,0,0,0.0995244894148054,0.14999999999999986,0.1655396316547482,0.27999999999999986,0.0373263834439209,0.08666666666666663,0,0,0,0,0,0,0.16547565791632418,0.3733333333333338,0.1247408914613901,0.2899999999999999,0.05719891090599868,0.07999999999999997,0,0,0,0,0,0,0.17832433175887857,0.24999999999999967,0.12167174004889739,0.17666666666666647,0.01449081307347579,0.09333333333333328,0,0,0,0,0,0,0.03517188149824255,0.06666666666666667,0.04261192550076685,0.09666666666666661,0.07058644164309938,0.1799999999999998,0.045477761502254785,0.1199999999999999,0,0,0,0,0.06638522121543565,0.33333333333333354,0.0035403071083155635,0.2899999999999999,0.00014115035662928311,0.07333333333333332,0.025125038643072396,0.043333333333333335,0.03951090544576569,0.0833333333333333,0.014335313656220369,0.05666666666666667,0.001993954628903796,0.4466666666666676,0.055959712333793474,0.39000000000000057,0.0576155943004464,0.18999999999999978,0.018152353684428135,0.04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0449051808781158,0.12333333333333323,0.03660655046398202,0.07333333333333332,0.027783674639447274,0.12666666666666657,0.048601321254114316,0.09333333333333328,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0027548758478118237,0.21999999999999972,0.004071628764292751,0.37000000000000044,0.0004837409171819868,0.0033333333333333335,0.0,0.0,0.0051694226810176285,0.01,0.009256015053726101,0.09333333333333328,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012193079489208912,0.02,0,0,0,0
40000,0.0006373192578658338,0.25999999999999973,0.0,0.0,0.0,0.0,0.008647009039514111,0.1299999999999999,0,0,0,0,0.010442565614554531,0.0833333333333333,0.026694474529576007,0.05,0.04761032271567255,0.06666666666666667,0,0,0,0,0,0,0.053933188445178776,0.10333333333333326,0.06489809888151475,0.11666666666666657,0.08162369255841495,0.24666666666666634,0.024022398438083133,0.04666666666666667,0.02103675107626943,0.02666666666666667,0,0,0.023086068224850962,0.28666666666666657,0.05806007502361003,0.18666666666666645,0.14927075028180817,0.3600000000000004,0.030790899529931217,0.05666666666666667,0,0,0,0,0.1253994382565649,0.2633333333333331,0.06706080977355836,0.2699999999999998,0.009315433092261792,0.03333333333333333,0,0,0,0,0,0,0.061801007590331164,0.33333333333333354,0.10828442182626184,0.29666666666666663,0.09033394991884162,0.10333333333333326,0,0,0,0,0,0,0.06745277560983982,0.10333333333333326,0.19416732794658292,0.27333333333333315,0.0924401373710252,0.2033333333333331,0,0,0,0,0,0,0.052566534754259736,0.11666666666666657,0.07358393515969833,0.1799999999999998,0.06943157410683626,0.19999999999999976,0.019994329700889327,0.05666666666666667,0,0,0,0,0.06241960813089738,0.22333333333333305,0.0568183914065557,0.2766666666666665,0.050347491511290636,0.15999999999999984,0.046460195213134145,0.07333333333333332,0.037963224455172126,0.07999999999999997,0.0,0.0,0.022753060801868508,0.4700000000000011,0.056592331251708615,0.48666666666666786,0.03984759688679959,0.3200000000000001,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.03842021768435731,0.07666666666666665,0.013455040464407602,0.043333333333333335,0.05118803069772913,0.22333333333333305,0.015686419477123167,0.04666666666666667,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.051020510425800344,0.253333333333333,0.013108592480783134,0.34666666666666696,0.0,0.0,0.02831590197318591,0.04666666666666667,0.0523518405998651,0.08999999999999996,0.010245266179877094,0.10666666666666659,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.020031475829955524,0.15333333333333318,0,0,0,0
45000,0.0009490598800395574,0.23999999999999969,0.0,0.0,0.0,0.0,0.02896190613195811,0.18333333333333313,0,0,0,0,0.009348625367901525,0.12333333333333323,0.013484510498513602,0.03666666666666667,0.0,0.0,0,0,0,0,0,0,0.006551765078689566,0.15999999999999984,0.04249132824919255,0.1566666666666665,0.00878106274958084,0.1199999999999999,0.017271203231314678,0.043333333333333335,0.015677960717849163,0.03666666666666667,0,0,0.0025479627081191046,0.3200000000000001,0.09696596331069787,0.5233333333333343,0.014848124750788432,0.03666666666666667,0.0,0.0,0,0,0,0,0.02941890360861662,0.23333333333333303,0.08734493110496681,0.3433333333333336,0.004263888618349243,0.0033333333333333335,0,0,0,0,0,0,0.06394361883240246,0.3133333333333334,0.05151213418784488,0.2299999999999997,0.014074423270931455,0.016666666666666666,0,0,0,0,0,0,0.19618052757459448,0.3500000000000003,0.03342903353236623,0.05333333333333334,0.0,0.07999999999999997,0,0,0,0,0,0,0.06450523742983393,0.15333333333333318,0.06387612700853151,0.16333333333333316,0.031244260629318756,0.0833333333333333,0.018366329982221218,0.043333333333333335,0,0,0,0,0.07884262607311379,0.253333333333333,0.09214971828349218,0.23999999999999969,0.03496670008963313,0.05,0.01860198524912667,0.030000000000000002,0.0,0.0,0.0,0.0,0.040115574835787954,0.3233333333333335,0.0697561715044191,0.6499999999999997,0.0235143897641349,0.31000000000000005,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.006608150693143201,0.030000000000000002,0.03067023731866536,0.1299999999999999,0.015928679891854806,0.10999999999999992,0.045255377646838825,0.1199999999999999,0.0,0.0,0,0,0.025826128815774774,0.07666666666666665,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.06678207059042529,0.1799999999999998,0.05319847115250673,0.21999999999999972,0.05243822016180819,0.10333333333333326,0.032951626549620146,0.05333333333333334,0.0071347087785636355,0.01,0.010157320060121981,0.09333333333333328,0.0,0.0,0,0,0.0,0.0,0.012921577211423356,0.05,0,0,0,0,0.0,0.0,0.0,0.0,0.014587314153318619,0.06999999999999999,0.0019236487430617775,0.01,0,0,0,0
50000,0.03680689995951162,0.25999999999999973,0.0016962227167620608,0.0033333333333333335,0.06629085205072893,0.13333333333333322,0.07568367224708084,0.23999999999999969,0,0,0,0,0.008852833315899016,0.17333333333333314,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.004213364311681251,0.24666666666666634,0.012649907789921469,0.09999999999999994,0.0024004780220635547,0.17333333333333314,0.03981613144204542,0.09999999999999994,0.05157609284612685,0.13333333333333322,0,0,0.009648246098318568,0.4233333333333341,0.029500452222333738,0.5300000000000009,0.0,0.0,0.0,0.0,0,0,0,0,0.07125074519177665,0.5133333333333344,0.05823763150834854,0.3133333333333334,0.0,0.0,0,0,0,0,0,0,0.02872478532943806,0.243333333333333,0.018079352628675098,0.21999999999999972,0.016981720369801404,0.06666666666666667,0,0,0,0,0,0,0.07865288583032368,0.3366666666666669,0.04201979877055219,0.15333333333333318,0.017322920153610206,0.10666666666666659,0,0,0,0,0,0,0.05401385796394071,0.13666666666666655,0.03688493875884708,0.10666666666666659,0.013478722881347986,0.03666666666666667,0.0,0.0,0,0,0,0,0.03430336917920571,0.3500000000000003,0.03354694738225027,0.08666666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06695480327662105,0.4333333333333342,0.037411478634378735,0.686666666666666,0.0,0.25999999999999973,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0002082520923562753,0.08666666666666663,0.027568987989089855,0.15333333333333318,0.04808062450048512,0.18333333333333313,0.00421963982697326,0.01,0.0,0.0,0,0,0.05417325685388698,0.15333333333333318,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.07337815431195166,0.18999999999999978,0.06566586944592574,0.1666666666666665,0.021263240649281593,0.03333333333333333,0.029127611210787586,0.04,0.022715153124767632,0.030000000000000002,0.0,0.08666666666666663,0.01980631494990024,0.06666666666666667,0,0,0.0,0.0,0.01240727191794465,0.05,0,0,0,0,0.009866153748028782,0.03333333333333333,0.005780702257773945,0.023333333333333334,0.014668996460521876,0.06333333333333334,0.0,0.0,0,0,0,0
