Time,E1_s,E1_e,E2_s,E2_e,E3_s,E3_e,E4_s,E4_e,E5_s,E5_e,E6_s,E6_e,E7_s,E7_e,off_R1_s,off_R1_e,off_R2_s,off_R2_e,off_R3_s,off_R3_e,off_R4_s,off_R4_e,on_R1_s,on_R1_e,on_R2_s,on_R2_e,on_R3_s,on_R3_e,on_R4_s,on_R4_e,on_R5_s,on_R5_e,on_R6_s,on_R6_e
10000,0.0,0.0,0.0,0.0,0.0,16.0,13.0,6.0,6.0,13.0,10.0,6.0,6.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000,0.0,0.0,1.0,0.0,0.0,16.5,14.0,9.5,9.5,9.5,7.0,7.5,7.5,5.0,0.0,1.5,2.5,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.6666666666666665,2.6666666666666665,14.0,12.333333333333334,11.333333333333334,11.333333333333334,9.666666666666666,7.333333333333333,8.0,7.333333333333333,6.0,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
40000,1.25,1.0,1.75,2.75,2.75,12.25,10.75,10.75,10.75,11.25,8.75,8.5,7.75,7.5,1.5,1.0,1.5,1.0,1.5,1.25,0.75,0.0,0.5,2.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
50000,1.0,0.8,2.0,2.2,2.2,10.6,9.0,9.4,9.4,11.0,8.4,9.0,8.2,7.6,2.4,1.2,1.6,1.8,1.8,1.4,0.8,0.0,0.8,3.4,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.2,0.0
60000,2.3333333333333335,0.6666666666666666,2.0,1.8333333333333333,2.5,8.833333333333334,7.5,7.833333333333333,8.833333333333334,9.166666666666666,7.0,9.0,8.333333333333334,7.0,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.8333333333333333,1.5,1.1666666666666667,0.8333333333333334,0.16666666666666666,1.1666666666666667,3.1666666666666665,0.0,0.6666666666666666,0.0,0.0,0.8333333333333334,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0
70000,4.166666666666667,2.5,3.8333333333333335,1.8333333333333333,2.5,6.166666666666667,5.333333333333333,6.833333333333333,8.333333333333334,7.333333333333333,5.333333333333333,8.0,7.5,7.0,2.3333333333333335,2.1666666666666665,0.8333333333333334,1.1666666666666667,1.6666666666666667,1.1666666666666667,1.1666666666666667,0.16666666666666666,1.5,3.1666666666666665,0.0,0.6666666666666666,0.0,0.0,0.8333333333333334,1.5,0.8333333333333334,0.5,0.3333333333333333,0.5
80000,5.666666666666667,5.0,6.0,3.5,4.166666666666667,3.3333333333333335,2.8333333333333335,4.833333333333333,6.333333333333333,7.0,4.833333333333333,6.5,6.0,5.333333333333333,2.3333333333333335,2.1666666666666665,0.5,1.1666666666666667,2.3333333333333335,1.1666666666666667,1.8333333333333333,0.16666666666666666,1.5,2.8333333333333335,0.0,0.6666666666666666,0.0,0.0,0.8333333333333334,1.5,0.8333333333333334,1.1666666666666667,0.3333333333333333,1.1666666666666667
90000,6.833333333333333,5.833333333333333,7.0,4.666666666666667,5.333333333333333,3.8333333333333335,3.1666666666666665,3.0,4.5,6.333333333333333,4.333333333333333,5.0,4.833333333333333,4.0,2.1666666666666665,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.3333333333333335,2.5,1.5,0.16666666666666666,1.3333333333333333,2.8333333333333335,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,1.5,1.0,1.3333333333333333,0.3333333333333333,1.1666666666666667
100000,9.0,7.666666666666667,8.166666666666666,6.0,6.666666666666667,5.333333333333333,4.333333333333333,3.0,4.5,5.0,3.0,4.166666666666667,4.166666666666667,2.0,1.6666666666666667,2.1666666666666665,1.0,1.6666666666666667,2.0,2.0,1.3333333333333333,0.16666666666666666,1.3333333333333333,1.6666666666666667,0.0,0.6666666666666666,0.0,0.0,1.1666666666666667,1.5,1.1666666666666667,1.3333333333333333,0.3333333333333333,1.1666666666666667
110000,10.833333333333334,9.833333333333334,9.5,8.0,8.666666666666666,6.833333333333333,5.5,4.833333333333333,6.333333333333333,4.666666666666667,2.3333333333333335,3.6666666666666665,3.8333333333333335,2.3333333333333335,1.0,2.0,1.3333333333333333,0.8333333333333334,2.0,1.6666666666666667,1.1666666666666667,0.16666666666666666,1.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,0.0,0.8333333333333334,1.5,1.0,1.3333333333333333,0.16666666666666666,1.1666666666666667
120000,10.166666666666666,10.666666666666666,9.833333333333334,9.833333333333334,9.833333333333334,8.5,6.333333333333333,6.166666666666667,6.666666666666667,7.0,4.333333333333333,2.3333333333333335,2.5,4.0,0.8333333333333334,1.6666666666666667,2.1666666666666665,0.5,2.1666666666666665,1.6666666666666667,1.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.5,0.5,1.3333333333333333,0.0,1.1666666666666667
130000,8.5,8.833333333333334,8.166666666666666,10.833333333333334,10.833333333333334,10.166666666666666,7.5,7.5,7.5,7.666666666666667,5.333333333333333,3.8333333333333335,3.8333333333333335,5.666666666666667,1.8333333333333333,1.0,2.6666666666666665,0.5,1.6666666666666667,2.5,0.6666666666666666,0.0,0.8333333333333334,1.1666666666666667,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,0.0,0.5,0.8333333333333334,0.16666666666666666,0.6666666666666666
140000,7.0,6.333333333333333,5.833333333333333,9.166666666666666,9.166666666666666,11.166666666666666,8.166666666666666,7.833333333333333,7.833333333333333,8.333333333333334,6.166666666666667,5.333333333333333,5.166666666666667,7.166666666666667,1.8333333333333333,1.3333333333333333,3.0,0.8333333333333334,1.3333333333333333,2.5,0.16666666666666666,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,1.0,0.16666666666666666,0.3333333333333333,0.0
150000,6.333333333333333,4.833333333333333,4.5,6.833333333333333,7.0,9.166666666666666,6.333333333333333,7.166666666666667,8.0,7.333333333333333,5.333333333333333,5.666666666666667,5.5,8.166666666666666,1.8333333333333333,1.8333333333333333,2.8333333333333335,1.6666666666666667,1.1666666666666667,1.1666666666666667,0.16666666666666666,0.0,1.6666666666666667,1.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,1.5,0.8333333333333334,1.0,0.0,0.5,0.0
160000,6.333333333333333,5.333333333333333,5.0,5.0,5.166666666666667,6.5,4.166666666666667,5.666666666666667,7.166666666666667,6.166666666666667,4.5,4.833333333333333,4.666666666666667,8.166666666666666,1.8333333333333333,1.8333333333333333,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.8333333333333334,0.8333333333333334,0.0,2.1666666666666665,1.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,1.0,1.5,1.0,0.6666666666666666,0.5,0.6666666666666666
170000,6.333333333333333,5.833333333333333,5.5,4.666666666666667,4.833333333333333,4.5,2.6666666666666665,3.5,5.166666666666667,5.333333333333333,4.0,3.5,3.3333333333333335,6.5,1.8333333333333333,2.0,1.8333333333333333,1.3333333333333333,2.0,1.0,1.3333333333333333,0.0,2.0,1.3333333333333333,0.0,0.16666666666666666,0.0,0.0,1.1666666666666667,1.6666666666666667,1.0,1.5,0.5,1.1666666666666667
180000,7.5,7.0,6.666666666666667,5.0,5.166666666666667,4.666666666666667,3.1666666666666665,2.3333333333333335,4.0,4.166666666666667,2.6666666666666665,3.3333333333333335,3.1666666666666665,4.166666666666667,1.8333333333333333,1.8333333333333333,1.5,1.3333333333333333,2.3333333333333335,1.8333333333333333,1.3333333333333333,0.0,2.1666666666666665,1.3333333333333333,0.0,0.16666666666666666,0.0,0.0,1.6666666666666667,1.6666666666666667,1.0,1.5,0.5,1.1666666666666667
190000,9.5,9.166666666666666,8.5,5.666666666666667,5.833333333333333,5.0,3.8333333333333335,2.6666666666666665,4.333333333333333,4.5,2.3333333333333335,3.1666666666666665,2.5,2.5,1.0,1.8333333333333333,1.1666666666666667,2.6666666666666665,2.8333333333333335,1.3333333333333333,1.8333333333333333,0.0,2.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,2.0,1.6666666666666667,1.3333333333333333,1.5,0.3333333333333333,1.1666666666666667
200000,11.333333333333334,11.666666666666666,10.5,7.666666666666667,7.833333333333333,5.5,4.333333333333333,4.0,5.666666666666667,5.333333333333333,3.0,2.6666666666666665,2.0,2.0,1.3333333333333333,1.5,1.1666666666666667,2.5,2.8333333333333335,1.3333333333333333,2.0,0.0,1.8333333333333333,0.0,0.0,0.16666666666666666,0.3333333333333333,0.0,1.6666666666666667,1.6666666666666667,0.8333333333333334,1.5,0.16666666666666666,1.1666666666666667
210000,10.5,12.666666666666666,11.333333333333334,10.0,10.0,7.333333333333333,5.833333333333333,5.5,6.333333333333333,6.5,4.166666666666667,3.5,2.8333333333333335,2.1666666666666665,1.3333333333333333,1.3333333333333333,1.5,1.5,2.8333333333333335,1.3333333333333333,2.0,0.0,1.8333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.8333333333333334,0.6666666666666666,1.5,0.0,1.1666666666666667
220000,8.333333333333334,10.333333333333334,9.333333333333334,11.5,11.5,10.166666666666666,7.666666666666667,6.833333333333333,7.0,7.833333333333333,5.666666666666667,5.166666666666667,4.5,3.1666666666666665,1.6666666666666667,1.3333333333333333,2.5,1.5,2.1666666666666665,2.3333333333333335,1.5,0.0,1.3333333333333333,0.6666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.0,1.3333333333333333,0.16666666666666666,0.5,0.8333333333333334,0.0,0.5
230000,6.5,7.666666666666667,7.333333333333333,10.0,10.0,11.666666666666666,8.666666666666666,7.5,7.5,8.833333333333334,6.833333333333333,6.166666666666667,5.5,4.5,2.3333333333333335,1.3333333333333333,3.0,2.1666666666666665,1.3333333333333333,3.1666666666666665,1.0,0.0,1.5,1.8333333333333333,0.16666666666666666,0.0,0.3333333333333333,0.0,1.1666666666666667,0.0,0.5,0.0,0.0,0.0
240000,5.833333333333333,5.666666666666667,6.166666666666667,7.833333333333333,8.333333333333334,10.0,7.333333333333333,7.333333333333333,8.333333333333334,7.666666666666667,6.166666666666667,7.166666666666667,6.166666666666667,5.333333333333333,2.8333333333333335,1.6666666666666667,2.6666666666666665,2.8333333333333335,0.8333333333333334,2.3333333333333335,1.3333333333333333,0.0,1.5,2.8333333333333335,0.16666666666666666,0.5,0.3333333333333333,0.0,0.8333333333333334,1.0,0.5,0.0,0.0,0.0
250000,5.833333333333333,5.666666666666667,6.166666666666667,6.333333333333333,7.333333333333333,8.0,5.5,5.666666666666667,7.0,6.5,5.5,5.833333333333333,5.333333333333333,5.333333333333333,2.8333333333333335,2.1666666666666665,2.5,1.5,0.3333333333333333,2.0,1.1666666666666667,0.0,1.3333333333333333,2.8333333333333335,0.16666666666666666,1.0,0.16666666666666666,0.0,0.6666666666666666,1.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333
260000,6.166666666666667,5.666666666666667,6.333333333333333,5.833333333333333,6.666666666666667,6.5,4.333333333333333,4.333333333333333,5.833333333333333,4.5,3.8333333333333335,4.833333333333333,4.5,4.333333333333333,2.6666666666666665,2.5,2.1666666666666665,1.3333333333333333,0.0,2.0,1.1666666666666667,0.0,1.1666666666666667,2.8333333333333335,0.16666666666666666,1.0,0.0,0.0,0.6666666666666666,1.5,0.16666666666666666,0.0,0.0,0.6666666666666666
270000,7.666666666666667,6.5,7.0,5.666666666666667,6.333333333333333,6.0,3.8333333333333335,3.6666666666666665,5.166666666666667,4.833333333333333,4.166666666666667,3.6666666666666665,3.3333333333333335,3.1666666666666665,2.8333333333333335,2.5,2.1666666666666665,1.3333333333333333,0.0,3.0,1.1666666666666667,0.0,1.0,2.8333333333333335,0.16666666666666666,1.0,0.0,0.0,0.6666666666666666,1.5,0.3333333333333333,0.0,0.0,0.6666666666666666
280000,9.0,8.5,8.666666666666666,6.666666666666667,7.333333333333333,5.333333333333333,4.0,3.8333333333333335,5.333333333333333,5.0,4.166666666666667,3.1666666666666665,2.6666666666666665,2.3333333333333335,2.5,2.6666666666666665,1.3333333333333333,2.5,0.0,2.5,1.3333333333333333,0.0,1.3333333333333333,2.1666666666666665,0.0,1.0,0.0,0.0,0.5,1.5,0.6666666666666666,0.0,0.0,0.6666666666666666
290000,11.333333333333334,10.0,9.833333333333334,8.5,9.0,6.5,5.333333333333333,4.333333333333333,5.833333333333333,4.833333333333333,4.333333333333333,4.0,3.5,2.0,1.5,2.5,1.1666666666666667,2.0,0.0,1.5,1.3333333333333333,0.0,1.5,1.0,0.0,1.0,0.0,0.0,0.6666666666666666,1.5,0.6666666666666666,0.0,0.0,0.6666666666666666
300000,10.833333333333334,11.666666666666666,10.5,9.666666666666666,9.666666666666666,9.0,7.333333333333333,6.333333333333333,6.833333333333333,6.5,5.833333333333333,4.166666666666667,3.8333333333333335,3.1666666666666665,1.1666666666666667,2.1666666666666665,1.6666666666666667,1.3333333333333333,0.16666666666666666,1.5,1.3333333333333333,0.0,2.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.6666666666666666,0.0,0.0,0.6666666666666666
310000,8.666666666666666,9.5,8.833333333333334,11.166666666666666,10.5,10.666666666666666,8.666666666666666,8.5,8.666666666666666,7.5,6.333333333333333,5.666666666666667,5.166666666666667,5.333333333333333,2.0,1.6666666666666667,2.0,1.3333333333333333,0.16666666666666666,1.5,1.3333333333333333,0.0,2.3333333333333335,1.1666666666666667,0.5,0.0,0.0,0.0,0.5,0.16666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333
320000,6.5,7.0,6.666666666666667,9.833333333333334,9.333333333333334,11.833333333333334,9.666666666666666,9.0,9.0,8.833333333333334,7.5,6.333333333333333,5.833333333333333,6.5,2.6666666666666665,1.8333333333333333,2.1666666666666665,1.8333333333333333,0.5,1.6666666666666667,1.0,0.0,2.6666666666666665,2.1666666666666665,0.5,0.0,0.0,0.0,0.6666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0
330000,5.833333333333333,5.166666666666667,5.166666666666667,7.5,7.666666666666667,10.5,8.666666666666666,8.166666666666666,8.833333333333334,7.333333333333333,6.0,7.0,6.5,7.166666666666667,2.6666666666666665,1.6666666666666667,1.8333333333333333,2.5,0.5,0.6666666666666666,1.0,0.0,2.6666666666666665,2.5,0.5,0.5,0.16666666666666666,0.0,1.1666666666666667,0.6666666666666666,1.0,0.0,0.0,0.0
340000,6.333333333333333,5.333333333333333,5.666666666666667,5.0,5.166666666666667,8.333333333333334,6.666666666666667,6.666666666666667,7.833333333333333,6.0,4.5,5.833333333333333,5.5,7.0,2.3333333333333335,1.8333333333333333,1.6666666666666667,1.3333333333333333,0.5,0.16666666666666666,1.0,0.0,3.0,2.5,0.5,0.5,0.16666666666666666,0.0,1.1666666666666667,1.1666666666666667,1.1666666666666667,0.0,0.0,0.3333333333333333
350000,6.166666666666667,6.666666666666667,6.833333333333333,4.333333333333333,4.666666666666667,5.666666666666667,4.5,5.333333333333333,6.666666666666667,5.166666666666667,3.1666666666666665,4.0,3.6666666666666665,6.0,2.5,2.0,1.1666666666666667,1.1666666666666667,0.5,0.16666666666666666,1.5,0.0,2.8333333333333335,2.5,0.5,0.5,0.16666666666666666,0.0,1.1666666666666667,1.3333333333333333,1.1666666666666667,0.0,0.0,0.8333333333333334
360000,7.5,7.166666666666667,7.666666666666667,6.0,6.166666666666667,4.666666666666667,3.8333333333333335,4.666666666666667,6.0,5.833333333333333,3.6666666666666665,2.8333333333333335,2.6666666666666665,4.0,2.1666666666666665,2.5,0.8333333333333334,1.1666666666666667,0.6666666666666666,0.8333333333333334,1.1666666666666667,0.0,2.1666666666666665,2.5,0.5,0.5,0.16666666666666666,0.0,1.1666666666666667,1.3333333333333333,1.5,0.0,0.0,0.8333333333333334
