Time,E1_e,E2_e,E3_e,E4_e,E5_e,E6_e,E7_e,off_R1_e,off_R2_e,off_R3_e,off_R4_e,on_R1_e,on_R2_e,on_R3_e,on_R4_e,on_R5_e,on_R6_e
20000,0.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0
30000,2.0,0.0,0.0,2.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,2.5,0.0,0.5
40000,6.0,0.0,0.0,2.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.0,3.0,0.0,1.6666666666666667
50000,8.5,0.0,0.0,2.5,0.0,2.75,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,2.25,0.0,2.0
60000,10.2,0.0,0.0,3.6,0.0,2.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.8,0.0,1.6
70000,10.333333333333334,0.0,0.0,4.5,0.0,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,1.5,0.0,1.3333333333333333
80000,12.5,0.0,0.0,5.5,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.1666666666666667,0.0,1.3333333333333333
90000,12.833333333333334,0.0,0.0,7.833333333333333,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,1.1666666666666667
100000,10.5,0.0,0.0,10.166666666666666,0.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
110000,7.833333333333333,0.0,0.0,10.333333333333334,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0
120000,5.0,0.0,0.0,9.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,1.1666666666666667,0.0,0.0
130000,5.5,0.0,0.0,7.5,0.0,6.5,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,0.0,0.0,1.1666666666666667,0.0,0.8333333333333334
140000,5.0,0.0,0.0,6.5,0.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,0.0,0.0,1.1666666666666667,0.0,1.3333333333333333
150000,6.333333333333333,0.0,0.0,5.833333333333333,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,0.0,0.0,1.1666666666666667,0.0,1.3333333333333333
160000,8.666666666666666,0.0,0.0,4.833333333333333,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,0.0,1.1666666666666667,0.0,1.3333333333333333
170000,10.333333333333334,0.0,0.0,6.333333333333333,0.0,3.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.1666666666666667,0.0,1.3333333333333333
180000,11.5,0.0,0.0,8.0,0.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.3333333333333333
190000,9.333333333333334,0.0,0.0,10.0,0.0,5.833333333333333,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.5
200000,7.666666666666667,0.0,0.0,10.0,0.0,7.666666666666667,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0
210000,5.333333333333333,0.0,0.0,8.333333333333334,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.8333333333333334,0.0,0.0
220000,5.333333333333333,0.0,0.0,6.833333333333333,0.0,6.833333333333333,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,1.5,0.0,0.6666666666666666
230000,6.166666666666667,0.0,0.0,5.166666666666667,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,1.6666666666666667,0.0,1.3333333333333333
240000,6.666666666666667,0.0,0.0,4.5,0.0,4.833333333333333,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,1.6666666666666667,0.0,1.3333333333333333
250000,8.333333333333334,0.0,0.0,3.8333333333333335,0.0,4.333333333333333,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.8333333333333333,0.0,1.3333333333333333
260000,9.5,0.0,0.0,5.0,0.0,3.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,1.8333333333333333,0.0,1.3333333333333333
270000,9.833333333333334,0.0,0.0,7.666666666666667,0.0,4.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3333333333333333
280000,7.666666666666667,0.0,0.0,9.5,0.0,5.666666666666667,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.6666666666666666
290000,5.333333333333333,0.0,0.0,9.333333333333334,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0
300000,3.6666666666666665,0.0,0.0,8.333333333333334,0.0,7.5,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,1.3333333333333333,0.0,0.0
310000,4.5,0.0,0.0,7.0,0.0,5.833333333333333,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,1.3333333333333333,0.0,0.6666666666666666
320000,5.666666666666667,0.0,0.0,5.666666666666667,0.0,4.5,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,1.3333333333333333,0.0,1.5
330000,7.5,0.0,0.0,3.6666666666666665,0.0,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.0,1.3333333333333333,0.0,1.5
340000,9.333333333333334,0.0,0.0,3.3333333333333335,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,0.0,0.0,1.1666666666666667,0.0,1.5
