Time,E1_e,E2_e,E3_e,E4_e,E5_e,E6_e,E7_e,off_R1_e,off_R2_e,off_R3_e,off_R4_e,on_R1_e,on_R2_e,on_R3_e,on_R4_e,on_R5_e,on_R6_e
60000,9.0,18.0,10.0,8.0,8.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70000,9.5,14.0,14.0,8.5,9.5,6.0,0.0,3.5,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80000,8.666666666666666,11.666666666666666,14.0,10.333333333333334,10.333333333333334,7.0,3.0,3.0,2.6666666666666665,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90000,8.25,10.75,12.0,9.5,11.0,8.0,5.75,2.5,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100000,6.6,9.8,11.2,8.4,10.2,8.6,7.4,2.4,1.6,1.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110000,5.5,8.166666666666666,11.0,7.5,9.5,8.5,8.0,2.5,2.6666666666666665,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0
120000,4.166666666666667,5.166666666666667,9.333333333333334,6.166666666666667,8.166666666666666,9.166666666666666,9.333333333333334,2.0,3.1666666666666665,1.0,0.0,2.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.0
130000,5.0,3.6666666666666665,6.333333333333333,4.666666666666667,6.5,7.166666666666667,9.333333333333334,2.0,2.0,0.8333333333333334,0.0,2.0,1.1666666666666667,0.16666666666666666,1.6666666666666667,0.8333333333333334,0.6666666666666666
140000,7.166666666666667,3.5,4.166666666666667,2.6666666666666665,5.166666666666667,5.666666666666667,7.833333333333333,1.6666666666666667,2.0,1.1666666666666667,0.0,2.0,1.1666666666666667,0.16666666666666666,1.6666666666666667,1.3333333333333333,1.1666666666666667
150000,8.333333333333334,4.833333333333333,4.5,2.8333333333333335,4.0,3.8333333333333335,5.5,1.8333333333333333,2.5,2.0,0.0,2.0,1.1666666666666667,0.16666666666666666,1.6666666666666667,1.3333333333333333,1.1666666666666667
160000,10.0,6.5,5.833333333333333,3.3333333333333335,4.5,3.1666666666666665,3.1666666666666665,1.8333333333333333,3.6666666666666665,1.6666666666666667,0.0,1.1666666666666667,1.1666666666666667,0.16666666666666666,1.6666666666666667,1.3333333333333333,1.1666666666666667
170000,11.333333333333334,8.666666666666666,7.333333333333333,5.0,5.0,3.6666666666666665,3.0,1.5,2.3333333333333335,1.1666666666666667,0.0,0.5,1.1666666666666667,0.16666666666666666,1.6666666666666667,1.3333333333333333,1.1666666666666667
180000,12.0,9.666666666666666,9.0,7.5,7.166666666666667,4.333333333333333,3.5,1.3333333333333333,1.6666666666666667,1.1666666666666667,0.0,0.0,0.5,0.0,0.8333333333333334,1.1666666666666667,1.1666666666666667
190000,9.5,10.333333333333334,10.333333333333334,9.5,8.833333333333334,6.0,5.833333333333333,1.3333333333333333,1.6666666666666667,1.8333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.5,0.5
200000,6.166666666666667,9.333333333333334,11.166666666666666,9.666666666666666,9.833333333333334,7.0,8.0,2.0,2.1666666666666665,2.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0
210000,3.8333333333333335,6.666666666666667,9.833333333333334,8.333333333333334,9.0,7.666666666666667,9.0,1.8333333333333333,2.3333333333333335,1.1666666666666667,0.16666666666666666,2.3333333333333335,0.6666666666666666,0.0,1.3333333333333333,0.0,0.0
