Time,E1_e,E2_e,E3_e,E4_e,E5_e,E6_e,E7_e,off_R1_e,off_R2_e,off_R3_e,off_R4_e,on_R1_e,on_R2_e,on_R3_e,on_R4_e,on_R5_e,on_R6_e
10000,4,3,13,7,6,7,4,1,8,0,0,1,2,0,1,0,0
20000,6,10,15,9,10,10,18,1,0,1,0,0,0,0,0,0,0
30000,1,12,15,13,9,5,12,0,0,0,0,2,0,0,0,0,0
40000,0,6,11,10,14,9,8,1,0,4,0,8,0,0,0,0,0
50000,0,3,4,1,6,9,5,3,6,1,0,5,0,0,2,0,0
60000,4,0,0,0,0,3,3,3,2,0,0,3,4,1,7,1,1
70000,13,3,0,0,2,0,0,2,0,0,0,0,0,0,7,4,4
80000,14,10,6,5,7,1,0,0,0,2,0,0,1,0,0,1,1
90000,16,13,13,6,7,3,0,2,3,4,0,0,0,0,0,1,0
100000,12,14,15,11,9,5,4,3,5,0,0,0,0,0,0,1,0
110000,11,12,15,12,11,6,10,2,0,0,0,0,0,0,0,0,0
120000,2,14,14,13,8,9,14,3,0,1,0,2,0,0,0,0,0
130000,0,5,11,11,11,9,11,3,0,5,0,9,0,0,0,0,0
140000,0,0,7,2,7,7,10,2,5,2,0,4,0,0,2,0,0
150000,3,1,0,0,0,1,1,3,5,0,0,1,5,1,1,2,1
160000,16,1,0,0,2,0,0,0,0,0,0,0,2,2,0,3,3
170000,9,12,4,6,3,0,0,2,0,3,0,0,0,0,0,0,1
180000,11,11,10,9,12,3,0,4,2,4,0,0,0,0,0,0,0
190000,8,11,16,9,11,11,4,1,8,0,0,0,0,0,0,0,0
200000,9,11,11,12,5,11,10,3,1,0,0,0,0,0,0,0,0
210000,2,11,15,9,12,5,9,2,0,1,0,1,0,0,0,0,0
220000,0,5,11,9,11,7,9,3,0,6,0,9,0,0,0,0,0
230000,0,0,8,1,2,12,7,2,7,2,0,6,0,0,2,0,0
240000,4,1,0,0,1,0,2,2,3,0,0,3,7,3,2,1,1
250000,13,1,0,0,3,0,0,1,0,0,0,0,2,0,2,4,5
260000,10,17,4,7,1,0,0,3,0,1,0,0,0,0,0,3,1
270000,13,11,13,5,12,1,0,3,2,5,0,0,0,0,0,1,0
280000,8,12,17,7,10,7,4,2,7,0,0,0,0,0,0,0,0
290000,6,9,18,10,7,7,12,1,2,0,0,0,0,0,0,0,0
300000,2,7,14,12,10,10,7,1,0,0,0,2,0,0,0,0,0
310000,0,2,10,14,11,7,6,2,0,5,0,6,0,0,0,0,0
320000,0,0,3,2,6,7,7,3,6,2,0,4,0,0,2,0,0
330000,6,0,0,0,0,1,1,4,5,0,0,3,6,2,7,1,1
340000,18,1,0,0,1,0,0,0,0,1,0,0,0,0,2,2,0
350000,13,12,3,3,7,0,0,4,0,4,0,0,0,0,0,2,1
360000,11,16,13,8,18,1,0,5,1,6,0,0,0,0,0,0,0
370000,12,12,14,11,15,13,3,3,8,0,0,0,0,0,0,0,0
380000,4,9,11,8,9,13,11,0,1,0,0,0,0,0,0,0,0
390000,5,7,12,15,12,10,14,0,0,1,0,3,0,0,0,0,0
400000,1,5,7,11,12,9,7,2,1,5,0,4,0,0,0,0,0
410000,0,1,5,2,8,9,13,1,6,3,0,5,0,0,2,0,0
420000,4,0,0,0,0,3,3,4,3,0,0,1,2,1,6,2,1
430000,17,1,0,0,2,0,0,1,0,0,0,0,1,0,2,3,3
440000,13,12,2,6,2,0,0,2,0,2,0,0,0,0,0,2,0
450000,16,18,8,3,12,4,0,3,2,6,0,0,0,0,0,0,0
460000,12,14,22,9,8,6,4,3,6,0,0,0,0,0,0,0,0
470000,12,14,14,13,13,11,7,1,0,0,0,0,0,0,0,0,0
480000,0,12,14,16,12,9,10,1,0,0,0,2,0,0,0,0,0
490000,0,4,14,11,15,8,9,2,0,5,0,5,0,0,0,0,0
500000,0,0,5,1,7,7,9,2,5,3,0,5,0,0,1,0,0
510000,4,0,0,0,1,2,3,4,2,3,0,1,1,1,5,1,1
520000,17,1,0,0,2,0,0,2,0,0,0,0,1,0,0,3,2
530000,16,15,2,7,2,0,0,1,0,2,0,0,0,0,0,2,0
540000,14,17,11,5,13,5,0,4,1,3,0,0,0,0,0,0,0
550000,7,15,17,11,11,9,3,0,6,2,0,0,0,0,0,0,0
560000,7,8,13,11,10,8,12,1,1,0,0,0,0,0,0,0,0
570000,2,6,12,8,15,11,6,1,0,0,0,1,0,0,0,0,0
580000,0,3,7,13,8,12,9,1,0,4,0,5,0,0,1,0,0
590000,0,0,6,0,5,6,10,2,7,2,0,6,0,0,1,0,0
600000,3,0,0,0,1,1,3,4,0,1,0,0,1,3,5,1,0
610000,12,1,0,0,1,0,0,2,0,0,0,0,0,2,2,3,1
620000,14,11,3,6,6,0,0,2,0,4,0,0,0,0,0,2,1
630000,14,12,8,5,9,3,0,1,4,5,0,0,0,0,0,0,0
640000,13,14,13,6,8,7,4,0,7,0,0,0,0,0,0,0,0
650000,11,10,14,11,7,6,9,1,2,0,0,0,0,0,0,0,0
660000,0,15,11,9,13,6,8,1,0,1,0,4,0,0,0,0,0
670000,0,5,8,9,10,9,7,2,0,5,0,3,0,0,0,0,0
680000,0,0,5,0,3,11,8,3,6,2,0,4,1,0,2,0,0
690000,2,0,0,0,0,0,2,2,1,0,0,0,6,1,5,1,1
700000,16,1,0,0,2,0,0,3,0,0,1,0,1,0,2,2,4
710000,11,13,1,8,3,0,0,2,0,0,0,0,0,0,0,2,3
720000,10,10,14,4,11,3,0,1,2,3,0,0,0,0,0,0,0
730000,9,9,11,8,9,5,4,1,6,1,0,0,0,0,0,0,0
740000,14,5,14,7,9,12,10,0,0,0,0,0,0,0,0,0,0
750000,5,14,7,8,4,6,11,1,0,0,0,1,0,0,0,0,0
760000,0,7,10,4,9,4,10,0,1,6,0,6,0,0,0,0,0
770000,0,3,5,2,2,7,5,3,3,1,0,8,0,0,1,0,0
780000,3,0,0,0,1,0,1,4,3,1,0,2,5,0,4,0,1
790000,11,0,0,0,2,0,0,2,0,0,0,0,1,2,1,2,5
800000,17,10,4,6,2,0,0,6,0,3,0,0,0,0,0,2,1
810000,10,10,12,9,8,4,0,3,2,5,0,0,0,0,0,0,0
820000,11,15,13,9,11,5,2,3,7,0,0,0,0,0,0,0,0
830000,13,10,13,10,8,11,7,1,1,0,0,0,0,0,0,0,0
