Time,E1_e,E2_e,E3_e,E4_e,E5_e,E6_e,E7_e,off_R1_e,off_R2_e,off_R3_e,off_R4_e,on_R1_e,on_R2_e,on_R3_e,on_R4_e,on_R5_e,on_R6_e
390000,9,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0
400000,10,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0
410000,7,0,0,9,0,6,0,0,0,0,0,0,0,0,0,0,0
420000,4,0,0,15,0,6,0,0,0,0,0,0,0,0,0,0,0
430000,0,0,0,11,0,6,0,0,0,0,0,7,0,0,0,0,0
440000,0,0,0,5,0,9,0,0,0,0,0,4,0,0,0,0,0
450000,0,0,0,0,0,7,0,0,0,0,0,7,0,0,5,0,0
460000,6,0,0,0,0,1,0,0,0,0,0,2,0,0,5,0,5
470000,17,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
480000,13,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
490000,12,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0
500000,4,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0
510000,5,0,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0
520000,0,0,0,7,0,8,0,0,0,0,0,6,0,0,0,0,0
530000,0,0,0,7,0,8,0,0,0,0,0,5,0,0,0,0,0
540000,0,0,0,0,0,3,0,0,0,0,0,2,0,0,4,0,0
550000,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4
560000,12,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3
570000,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
580000,13,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0
590000,12,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0
600000,7,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0
610000,0,0,0,10,0,7,0,0,0,0,0,5,0,0,0,0,0
620000,0,0,0,10,0,7,0,0,0,0,0,5,0,0,0,0,0
630000,0,0,0,0,0,7,0,0,0,0,0,5,0,0,6,0,0
640000,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
650000,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
660000,16,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
670000,13,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0
680000,10,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0
690000,6,0,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0
700000,0,0,0,14,0,10,0,0,0,0,0,5,0,0,0,0,0
710000,2,0,0,7,0,8,0,0,0,0,0,6,0,0,0,0,0
720000,0,0,0,0,0,6,0,0,0,0,0,4,0,0,5,0,0
730000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4
740000,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
750000,11,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0
760000,8,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0
770000,9,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0
780000,5,0,0,13,0,11,0,0,0,0,0,0,0,0,0,0,0
790000,0,0,0,11,0,8,0,0,0,0,0,5,0,0,0,0,0
800000,0,0,0,6,0,13,0,0,0,0,0,5,0,0,0,0,0
810000,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0
820000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3
830000,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
840000,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
850000,13,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0
860000,13,0,0,10,0,12,0,0,0,0,0,0,0,0,0,0,0
870000,6,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0
880000,0,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0
