Time,E1_D,E1_T,E1_V,E2_D,E2_T,E2_V,E3_D,E3_T,E3_V,E4_D,E4_T,E4_V,E5_D,E5_T,E5_V,E6_D,E6_T,E6_V,E7_D,E7_T,E7_V,off_R1_D,off_R1_T,off_R1_V,off_R2_D,off_R2_T,off_R2_V,off_R3_D,off_R3_T,off_R3_V,off_R4_D,off_R4_T,off_R4_V,on_R1_D,on_R1_T,on_R1_V,on_R2_D,on_R2_T,on_R2_V,on_R3_D,on_R3_T,on_R3_V,on_R4_D,on_R4_T,on_R4_V,on_R5_D,on_R5_T,on_R5_V,on_R6_D,on_R6_T,on_R6_V
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.073960400690725,3.0,3.691320133563575
20,21.82942168778819,3.5,3.11848881254117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.90298985497453,6.5,6.282261032244705
30,51.7586287472544,6.5,5.055447018125762,21.789274808649708,1.8333333333333333,3.9616863288454014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.56026387834299,3.1666666666666665,3.848448829299263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.050757202961403,2.6666666666666665,2.6313446503701754,0.0,0.0,0.0,35.020166054546706,4.5,7.691186323957173
40,50.182705741357665,5.75,7.038366458141995,64.43445717517565,5.375,5.977046063427075,1.4147369048594385,0.125,2.829473809718877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2372321000823,3.125,5.825348019082801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5323386193071,4.5,3.7479355594862356,0.0,0.0,0.0,26.26512454091003,3.375,5.76838974296788
50,40.146164593086134,4.6,5.630693166513597,66.09646718215049,5.4,7.4268916583798354,35.59619513295247,3.0,4.640434607020958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.989785680065843,2.5,4.660278415266241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.43862295627008,5.6,3.059623653671429,0.0,0.0,0.0,21.012099632728024,2.7,4.614711794374304
60,53.11964505728409,6.666666666666667,5.848980064038525,55.08038931845874,4.5,6.189076381983196,50.390337388048984,4.166666666666667,5.9397129835763245,19.554477169662025,1.6666666666666667,1.9554477169662026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1581547333882,2.0833333333333335,3.883565346055201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86897948480346,6.333333333333333,2.5500324135173638,0.0,0.0,0.0,18.462296299586807,2.5833333333333335,4.321699798135314
70,65.10360276898409,10.0,6.448177949623525,55.08038931845874,4.5,6.189076381983196,50.390337388048984,4.166666666666667,5.9397129835763245,29.68385094051531,2.5,3.9813224711368593,30.023649414103087,2.5,2.0015766276068723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1581547333882,2.0833333333333335,3.883565346055201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.868996423408777,8.0,2.5500341073778956,0.0,0.0,0.0,30.1821257102103,3.75,5.063028723615246
80,65.27209898905399,13.333333333333334,5.684421312702368,55.08038931845874,4.5,6.189076381983196,50.390337388048984,4.166666666666667,5.9397129835763245,29.68385094051531,2.5,3.9813224711368593,40.36451707648988,3.3333333333333335,4.06975016008423,27.933692961391557,2.5,1.862246197426104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1581547333882,2.0833333333333335,3.883565346055201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.868996423408777,9.666666666666666,2.5500341073778956,0.0,0.0,0.0,28.486483306070824,5.416666666666667,4.238813109164453
90,51.86690887354331,16.416666666666668,4.363860215202258,44.18575191413388,3.5833333333333335,4.208233217560495,50.390337388048984,4.166666666666667,5.9397129835763245,29.68385094051531,2.5,3.9813224711368593,44.52394009208285,3.9166666666666665,5.258156735967938,49.24007572582739,5.833333333333333,2.927565335647896,4.287349569822273,0.6666666666666666,1.0718373924555682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.878022794216709,0.5,1.9593409314055696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.047205718176615,9.416666666666666,1.4964522277695058,0.0,0.0,0.0,33.925918972850496,8.0,2.882006254333779
100,57.51713780753715,20.0,2.728381487688012,33.02297341653107,3.4166666666666665,3.5976382651333303,49.447179451476025,4.083333333333333,4.0533971104304065,29.68385094051531,2.5,3.9813224711368593,57.88015325691365,5.583333333333333,6.593778052451017,50.929080636653715,9.166666666666666,3.012015581189212,39.38093775329571,3.8333333333333335,2.9188683494804857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2176919067859204,7.75,0.31350084663043626,0.0,0.0,0.0,34.24411498894582,8.166666666666666,3.2002022704290973
