Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
30,4.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
40,5.75,1.75,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
50,5.8,2.8,1.0,0.2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
60,5.333333333333333,3.6666666666666665,2.1666666666666665,1.1666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
70,5.5,4.666666666666667,3.3333333333333335,2.5,1.6666666666666667,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
80,4.5,5.333333333333333,4.0,3.1666666666666665,2.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666
90,3.5,5.166666666666667,4.0,3.1666666666666665,2.3333333333333335,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.6666666666666666,0.16666666666666666,1.0,0.5,0.5
100,4.833333333333333,4.166666666666667,4.0,3.1666666666666665,2.1666666666666665,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,1.1666666666666667,0.3333333333333333,1.3333333333333333,0.8333333333333334,0.6666666666666666
