Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
40,11,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,6,7,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
60,3,8,8,6,1,2,0,0,0,0,0,0,0,0,0,0,0
70,1,6,7,8,6,1,0,0,0,0,0,4,0,0,0,0,0
80,0,4,4,4,5,2,0,0,0,0,0,6,1,1,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,3,3
100,19,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,1
110,14,5,5,3,4,0,0,0,0,0,0,0,0,0,1,1,0
120,8,13,14,4,11,4,0,0,0,0,0,0,0,0,0,0,1
130,8,16,11,11,7,12,0,0,0,0,0,0,0,0,0,0,0
140,10,11,11,11,8,12,0,0,0,0,0,0,0,0,0,0,0
150,6,12,15,10,10,6,0,0,0,0,0,0,0,0,0,0,0
160,0,6,13,11,7,9,0,0,0,0,0,4,0,0,0,0,0
170,0,3,8,10,7,7,0,0,0,0,0,6,1,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,5,3,0,5,3,3
190,18,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,3
200,15,8,5,4,4,0,0,0,0,0,0,0,0,0,1,0,0
210,10,15,9,13,12,4,0,0,0,0,0,0,0,0,0,0,1
220,9,13,13,5,13,10,0,0,0,0,0,0,0,0,0,0,0
230,11,8,14,12,9,10,0,0,0,0,0,0,0,0,0,0,0
240,6,8,12,12,12,11,0,0,0,0,0,0,0,0,0,0,0
250,2,9,7,9,11,5,0,0,0,0,0,4,0,0,0,0,0
260,0,4,7,7,6,13,0,0,0,0,0,6,1,1,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,4,3,0,6,3,2
280,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2
290,15,9,5,4,4,0,0,0,0,0,0,0,0,0,1,0,1
300,8,15,12,7,11,4,0,0,0,0,0,0,0,0,0,0,0
310,3,13,13,12,9,10,0,0,0,0,0,0,0,0,0,0,0
320,8,6,15,8,8,10,0,0,0,0,0,0,0,0,0,0,0
330,9,6,10,13,9,9,0,0,0,0,0,0,0,0,0,0,0
340,1,5,3,8,11,6,0,0,0,0,0,4,0,0,0,0,0
350,0,5,6,3,7,8,0,0,0,0,0,7,1,1,0,0,0
