Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
30,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,8,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,13,6,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0
60,3,12,5,7,4,1,0,0,0,0,0,0,0,0,0,0,0
70,0,5,10,6,6,2,0,0,0,0,0,6,0,0,0,0,0
80,0,1,7,8,7,5,0,0,0,0,0,4,2,0,0,0,0
90,0,0,2,0,0,6,0,0,0,0,0,1,1,1,5,4,0
100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
110,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
120,15,11,0,3,4,0,0,0,0,0,0,0,0,0,1,2,1
130,5,20,10,3,9,1,0,0,0,0,0,0,0,0,0,0,0
140,3,7,17,8,6,7,0,0,0,0,0,0,0,0,0,0,0
150,11,5,17,14,5,4,0,0,0,0,0,0,0,0,0,0,0
160,7,10,7,13,10,4,0,0,0,0,0,0,0,0,0,0,0
170,1,7,10,3,10,6,0,0,0,0,0,4,0,0,0,0,0
180,0,3,7,10,5,8,0,0,0,0,0,3,1,0,0,0,0
190,0,0,4,0,0,6,0,0,0,0,0,2,0,0,7,4,0
200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,5,2
210,15,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1
220,22,7,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
230,12,22,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0
240,7,16,18,9,6,12,0,0,0,0,0,0,0,0,0,0,0
250,5,9,23,14,10,5,0,0,0,0,0,0,0,0,0,0,0
260,5,7,8,15,13,4,0,0,0,0,0,0,0,0,0,0,0
270,3,2,7,6,14,9,0,0,0,0,0,4,0,0,0,0,0
280,0,4,3,6,7,13,0,0,0,0,0,8,1,1,0,0,0
290,0,0,4,0,0,11,0,0,0,0,0,5,2,1,6,3,0
300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2
310,15,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2
320,21,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
330,16,18,6,3,12,0,0,0,0,0,0,0,0,0,0,0,1
340,8,17,20,7,5,8,0,0,0,0,0,0,0,0,0,0,0
350,9,20,18,17,6,6,0,0,0,0,0,0,0,0,0,0,0
360,5,8,17,10,14,5,0,0,0,0,0,0,0,0,0,0,0
370,3,3,12,11,10,9,0,0,0,0,0,3,0,0,0,0,0
380,0,4,6,11,11,12,0,0,0,0,0,8,1,0,0,0,0
390,0,0,5,2,3,4,0,0,0,0,0,7,3,0,4,2,0
400,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,2,1
410,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
420,22,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
430,12,16,4,6,11,0,0,0,0,0,0,0,0,0,0,0,1
440,9,17,16,4,6,10,0,0,0,0,0,0,0,0,0,0,0
450,7,14,18,16,2,12,0,0,0,0,0,0,0,0,0,0,0
460,7,7,16,12,14,6,0,0,0,0,0,0,0,0,0,0,0
470,7,7,11,14,12,8,0,0,0,0,0,2,0,0,0,0,0
480,0,5,5,8,11,12,0,0,0,0,0,9,1,1,0,0,0
490,0,0,6,2,2,11,0,0,0,0,0,1,1,0,3,2,0
500,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,2
510,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
520,21,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
530,19,20,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0
540,9,16,16,2,6,9,0,0,0,0,0,0,0,0,0,0,0
550,5,17,18,16,7,7,0,0,0,0,0,0,0,0,0,0,0
560,8,10,17,14,12,7,0,0,0,0,0,0,0,0,0,0,0
570,7,7,12,15,13,8,0,0,0,0,0,2,0,0,0,0,0
580,0,9,6,10,8,10,0,0,0,0,0,8,0,0,0,0,0
590,0,0,10,5,3,10,0,0,0,0,0,6,1,0,4,2,0
600,0,0,2,0,0,1,0,0,0,0,0,2,1,0,3,4,2
610,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3
620,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
630,23,16,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0
640,10,20,9,1,10,6,0,0,0,0,0,0,0,0,0,0,1
650,6,16,23,12,9,8,0,0,0,0,0,0,0,0,0,0,0
660,6,11,18,17,10,12,0,0,0,0,0,0,0,0,0,0,0
670,5,3,15,14,15,5,0,0,0,0,0,2,0,0,0,0,0
680,0,7,9,13,13,10,0,0,0,0,0,7,0,0,0,0,0
690,0,0,7,3,6,14,0,0,0,0,0,0,3,0,3,2,0
700,0,0,4,0,0,3,0,0,0,0,0,0,5,0,5,1,1
710,5,0,1,0,0,0,0,0,0,0,0,0,3,0,3,0,5
720,21,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
730,14,9,0,8,7,0,0,0,0,0,0,0,0,0,1,0,1
740,7,18,5,3,10,5,0,0,0,0,0,0,0,0,0,0,0
750,4,17,20,4,7,10,0,0,0,0,0,0,0,0,0,0,0
760,7,7,19,15,6,7,0,0,0,0,0,0,0,0,0,0,0
