Time,E1_D,E1_T,E2_D,E2_T,E3_D,E3_T,E4_D,E4_T,E5_D,E5_T,E6_D,E6_T,E7_D,E7_T,off_R1_D,off_R1_T,off_R2_D,off_R2_T,off_R3_D,off_R3_T,off_R4_D,off_R4_T,on_R1_D,on_R1_T,on_R2_D,on_R2_T,on_R3_D,on_R3_T,on_R4_D,on_R4_T,on_R5_D,on_R5_T,on_R6_D,on_R6_T
10,29.88934699623022,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.31393727304868,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,71.61619783181787,5.5,64.95450540859524,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11476749375327,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,108.91813527887001,7.5,36.31515099396108,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0902952331980629,10.0,0.0,0.0,0.0,0.0,17.29436988989803,4.0,0.0,0.0
40,71.11570220802069,10.0,0.0,0.0,108.94614760046346,7.5,36.31540438905671,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.105483996973325,3.0,0.0,10.0,0.0,0.0,0.0,0.0,64.5162269953548,10.0,0.0,0.0
50,34.16845582394325,3.5,99.42428945582587,7.5,0.0,0.0,50.84156685456708,3.5,83.47160920023009,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.90760981381328,17.0,67.45097407450426,19.0,0.0,0.0,56.73215214787024,8.0,1.923555871647551,10.0,0.0,0.0
60,100.92057744618141,10.5,94.65056098889501,7.0,58.47851328207079,4.5,0.0,0.0,35.50551672835883,2.5,102.72740311423155,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.39752452736536,35.0,27.64858689268837,20.0,0.0,0.0,160.60677308933737,19.0,0.004534516493194474,10.0,0.0,0.0
70,147.3973974842013,19.0,148.76162898665012,10.0,90.34626046581789,7.0,43.62516793337139,3.5,0.0,0.0,58.67814953158154,5.5,43.51714274400388,4.5,2.9729420449116475,0.5,0.0,0.0,0.0,0.0,0.0,0.0,116.14863241235506,39.0,0.12623086141883277,20.0,0.0,0.0,69.59280948658639,20.0,0.0,10.0,0.0,0.0
80,29.078210045871984,20.0,250.0062892944669,25.0,174.04298462717063,15.5,42.884732493717905,3.5,76.31953978986772,6.5,0.0,0.0,96.82582415720833,10.0,112.0644408321167,10.0,7.136761728444753,0.5,0.0,0.0,0.0,0.0,29.124407247050755,5.0,7.794017764798788,14.0,0.0,0.0,1.4587948077459316,20.0,0.0,10.0,10.202371324877491,3.0
90,2.1936824543677087,21.0,220.69009090863227,25.0,204.71948065055784,20.0,0.0,0.0,201.3129822533545,29.0,0.0,0.0,0.0,0.0,0.0,0.0,137.59683476057432,10.0,3.496399321954563,0.5,0.0,0.0,2.1105779217900977,1.0,0.0,0.0,0.0,0.0,39.74030781782952,8.0,22.12385606335156,9.5,83.18223359813989,10.0
100,64.4084045746573,30.0,11.592625693871753,20.0,50.40452832269008,20.0,0.0,0.0,56.41232918912209,30.0,0.0,0.0,0.0,0.0,0.0,0.0,14.417242261887736,1.0,104.08209600240778,10.0,83.52929069937753,7.5,91.55240988933753,10.0,0.0,0.0,0.0,0.0,141.83117395952567,19.0,0.0,0.0,11.955014382677824,2.5
