Time,E1_D,E1_T,E2_D,E2_T,E3_D,E3_T,E4_D,E4_T,E5_D,E5_T,E6_D,E6_T,E7_D,E7_T,off_R1_D,off_R1_T,off_R2_D,off_R2_T,off_R3_D,off_R3_T,off_R4_D,off_R4_T,on_R1_D,on_R1_T,on_R2_D,on_R2_T,on_R3_D,on_R3_T,on_R4_D,on_R4_T,on_R5_D,on_R5_T,on_R6_D,on_R6_T
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9652224306955421,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,29.88934699623022,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.34871484235313,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,64.48063585368513,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0565683043877,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,7.135561978132742,0.5,64.95450540859524,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.058199189365567,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,72.6038001590023,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0902952331980629,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,36.31433511986771,2.5,36.31515099396108,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,17.29436988989803,4.0,0.0,0.0
35,20.531993710955746,5.0,0.0,0.0,72.63074516774913,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,45.454960737458734,5.0,0.0,0.0
40,50.58370849706493,5.0,0.0,0.0,36.315402432714336,2.5,36.31540438905671,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.105483996973325,3.0,0.0,5.0,0.0,0.0,0.0,0.0,19.061266257896072,5.0,0.0,0.0
45,31.710397809236824,2.5,32.991571275075145,2.5,0.0,0.0,50.84156685456708,3.5,19.61230383510315,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.079097393808865,6.0,19.779594099922313,9.0,0.0,0.0,10.214309926791623,3.0,1.8333742772098844,5.0,0.0,0.0
50,2.4580580147064293,1.0,66.43271818075073,5.0,0.0,0.0,0.0,0.0,63.85930536512694,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.82851242000443,11.0,47.67137997458194,10.0,0.0,0.0,46.51784222107861,5.0,0.09018159443766649,5.0,0.0,0.0
