Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
30,3.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40,4.25,2.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
50,6.0,2.8,1.8,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
60,5.5,4.333333333333333,2.3333333333333335,1.3333333333333333,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
70,5.5,5.166666666666667,4.0,2.3333333333333335,1.8333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5
80,4.833333333333333,5.333333333333333,5.166666666666667,3.6666666666666665,3.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666
90,4.0,5.0,5.5,3.6666666666666665,3.0,2.5,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,0.5,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.0
100,2.6666666666666665,4.0,5.166666666666667,3.6666666666666665,2.8333333333333335,2.5,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.16666666666666666,0.8333333333333334,1.0,0.16666666666666666
110,3.1666666666666665,3.0,4.0,3.5,2.8333333333333335,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.16666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333
120,5.166666666666667,2.8333333333333335,3.1666666666666665,2.8333333333333335,2.8333333333333335,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.16666666666666666,1.5,1.6666666666666667,0.5
130,6.0,5.333333333333333,3.1666666666666665,2.3333333333333335,3.3333333333333335,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.16666666666666666,1.5,1.6666666666666667,0.5
140,6.5,6.333333333333333,4.833333333333333,2.3333333333333335,3.1666666666666665,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.5,1.6666666666666667,0.5
