Time,E1_D,E1_T,E2_D,E2_T,E3_D,E3_T,E4_D,E4_T,E5_D,E5_T,E6_D,E6_T,E7_D,E7_T,off_R1_D,off_R1_T,off_R2_D,off_R2_T,off_R3_D,off_R3_T,off_R4_D,off_R4_T,on_R1_D,on_R1_T,on_R2_D,on_R2_T,on_R3_D,on_R3_T,on_R4_D,on_R4_T,on_R5_D,on_R5_T,on_R6_D,on_R6_T
10,29.88934699623022,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.31393727304868,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,50.752772414024044,5.25,32.47725270429762,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.21435238340098,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,33.83518160934936,3.5,57.95754689582174,4.0,12.105050331320362,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.839666666666666,8.666666666666666,0.0,0.0,0.0,0.0,5.764789963299343,1.3333333333333333,0.0,0.0
40,43.155311759017195,5.125,43.46816017186631,3.0,36.315324648606136,2.5,9.078851097264177,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.526370999243331,0.75,25.37975,9.0,0.0,0.0,0.0,0.0,20.45264922131321,3.5,0.0,0.0
50,41.357940572002406,4.8,54.65938602865822,3.9,29.05225971888491,2.0,17.431394248724757,1.2,16.69432184004602,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.20261876215732,4.0,33.793994814900856,11.0,0.0,0.0,11.346430429574047,1.6,16.74683055138008,4.8,0.0,0.0
60,51.28504671769891,5.75,61.32458185536435,4.416666666666667,33.95663531274922,2.4166666666666665,14.526161873937298,1.0,19.829520988098153,1.5,17.121233852371926,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.401769723025325,9.166666666666666,32.769760161198775,12.5,0.0,0.0,36.223154206201265,4.5,13.95644787889893,5.666666666666667,0.0,0.0
70,70.8697217990274,8.083333333333334,86.11818668647271,6.083333333333333,49.014345390385536,3.5833333333333335,21.797023196165863,1.5833333333333333,19.829520988098153,1.5,26.900925440968848,2.1666666666666665,7.252857124000646,0.75,0.49549034081860793,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,64.75987512508449,15.666666666666666,26.238475759260467,14.833333333333334,0.0,0.0,47.821955787299,7.833333333333333,13.95644787889893,7.333333333333333,0.0,0.0
80,63.78005716803644,10.5,116.96015066745132,9.5,78.02150949491399,6.166666666666667,28.944478611785513,2.1666666666666665,32.54944428640944,2.5833333333333335,26.900925440968848,2.1666666666666665,23.390494483535367,2.4166666666666665,19.17289714617139,1.75,1.1894602880741256,0.08333333333333333,0.0,0.0,0.0,0.0,69.61394299959296,16.5,17.35168413776805,15.5,0.0,0.0,48.065088255256654,11.166666666666666,13.95644787889893,9.0,1.7003952208129152,0.5
90,64.14567091043106,14.0,135.58880993907837,12.416666666666666,106.08889777101344,9.083333333333334,28.944478611785513,2.1666666666666665,66.10160799530185,7.416666666666667,26.900925440968848,2.1666666666666665,23.390494483535367,2.4166666666666665,19.17289714617139,1.75,24.12226608150318,1.75,0.5827332203257605,0.08333333333333333,0.0,0.0,69.96570598655798,16.666666666666668,17.169968265568375,13.833333333333334,0.0,0.0,54.68847289156158,12.5,14.761362241141185,9.916666666666666,15.564100820502896,2.1666666666666665
100,63.02778797153715,17.333333333333332,137.5209142213903,15.75,96.33196122471789,11.166666666666666,22.891911213609394,1.75,75.50366286015554,12.416666666666666,26.900925440968848,2.1666666666666665,23.390494483535367,2.4166666666666665,19.17289714617139,1.75,26.525139791817804,1.9166666666666667,17.929749220727057,1.75,13.921548449896255,1.25,83.54019363528535,17.833333333333332,17.169968265568375,12.166666666666666,0.0,0.0,78.32700188481586,15.666666666666666,4.008657741915386,8.25,17.55660321761587,2.5833333333333335
