Time,E1_D,E1_T,E2_D,E2_T,E3_D,E3_T,E4_D,E4_T,E5_D,E5_T,E6_D,E6_T,E7_D,E7_T,off_R1_D,off_R1_T,off_R2_D,off_R2_T,off_R3_D,off_R3_T,off_R4_D,off_R4_T,on_R1_D,on_R1_T,on_R2_D,on_R2_T,on_R3_D,on_R3_T,on_R4_D,on_R4_T,on_R5_D,on_R5_T,on_R6_D,on_R6_T
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.965222430695542,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,14.94467349811511,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.656968636524336,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,31.45666094997178,3.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.12350185914546,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,25.376386207012022,2.625,16.23862635214881,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.107176191700486,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,20.301108965609618,2.1,27.511661113519505,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.303800000000003,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,16.91759080467468,1.75,28.97877344791088,2.0,6.052525165660181,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.919833333333333,4.333333333333333,0.0,0.0,0.0,0.0,2.8823949816496715,0.6666666666666666,0.0,0.0
35,20.33958975650064,2.5833333333333335,28.97877344791088,2.0,18.157649360285035,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.592296261550743,5.0,0.0,0.0,0.0,0.0,10.458221771226127,1.5,0.0,0.0
40,23.788650006639756,2.5833333333333335,28.97877344791088,2.0,24.210216432404092,1.6666666666666667,6.0525673981761186,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6842473328288874,0.5,10.367510454491889,5.0,0.0,0.0,0.0,0.0,13.635099480875473,2.3333333333333335,0.0,0.0
45,18.326943665898373,2.1666666666666665,34.4773686604234,2.4166666666666665,24.210216432404092,1.6666666666666667,14.526161873937298,1.0,3.2687173058505246,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3640968984637,1.5,5.654681420414325,5.666666666666667,0.0,0.0,1.7023849877986041,0.5,13.940661860410453,3.1666666666666665,0.0,0.0
50,17.547359671993988,2.25,34.72373745578265,2.5,24.210216432404092,1.6666666666666667,14.526161873937298,1.0,13.911934866705016,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.50218230179777,3.3333333333333335,11.423544884617053,6.5,0.0,0.0,9.455358691311707,1.3333333333333333,13.955692126150064,4.0,0.0,0.0
