Time,E1_Q,E1_K,E2_Q,E2_K,E3_Q,E3_K,E4_Q,E4_K,E5_Q,E5_K,E6_Q,E6_K,E7_Q,E7_K,off_R1_Q,off_R1_K,off_R2_Q,off_R2_K,off_R3_Q,off_R3_K,off_R4_Q,off_R4_K,on_R1_Q,on_R1_K,on_R2_Q,on_R2_K,on_R3_Q,on_R3_K,on_R4_Q,on_R4_K,on_R5_Q,on_R5_K,on_R6_Q,on_R6_K
10,6.705445710586265,21.69811320754717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.617456237165929,9.084302325581392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,23.424358474772042,46.93396226415091,3.950100215650264,4.701671368338036,0.0,0.0,0.5951246373183605,2.317497103128621,0.0,0.0,0.9155065425507688,2.2635408245755864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.771077076673498,15.443313953488367,0.8051833032644156,2.3229882921390077,2.1748827047016226,5.013033888109087,0.0356668084817532,0.33311125916055967,0.0,0.0,0.0,0.0
30,25.544787340034574,49.213836477987364,15.220923373589502,19.211130322241438,1.4800632701283243,1.6748174448985065,1.4694917991936414,3.2831208960988802,1.1510937405634813,1.5246332217579024,1.6890434045411291,3.5569927243330643,0.059813622697416434,0.12202413637417481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.594972037683678,19.985465116279062,3.0727822128609463,7.43356253484482,1.881593177755349,6.684045184145449,1.2170638241050262,2.442815900510771,0.0,0.0,0.0,0.0
40,29.145602168510198,57.311320754716945,20.64572532460737,26.61752661752662,8.325519897771935,9.88142292490117,3.006397023269937,4.634994206257242,1.584881934090205,2.0790453023971396,1.9406284928979627,3.5569927243330643,1.105476881642756,1.9218801478932526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2990942252818725,29.0697674418605,2.739831893549429,10.221148485411629,1.4111948833165118,7.51955083216363,1.430438990714396,3.497668221185876,0.0,0.0,0.0,0.0
50,32.802867491405586,62.2641509433962,25.35565383614923,32.881366214699554,14.205151197921287,17.21712333355663,6.8126216856602895,8.922363847045187,3.8397061809094692,4.740223289465476,2.367242881738648,4.139046079223929,1.1776443406271238,2.0500054910861363,0.0,0.0,0.8587824776148244,1.018573996405033,0.0,0.0,0.0,0.0,8.751932547696216,39.42587209302335,2.1928353989648923,11.893700055751713,1.1289559066532093,8.020854220974538,2.0910915962964984,6.262491672218524,0.0,0.0,0.0,0.0
60,33.84883846302723,65.17295597484275,29.805537606118648,38.978372311705634,17.659427355684315,21.82845403184385,11.784392248786661,15.256855928930092,7.364943263710579,9.632909901106746,3.2085086481850573,5.066019940716789,1.609709266897167,2.9285792729801945,0.21684203006033306,0.5059046297500832,1.3971082749267698,1.5977631316157381,0.21645625064131638,0.39753001351602046,0.0,0.0,8.518416405346917,48.90382751938,1.8273637626608659,13.008734435978434,0.9407965888776745,8.35505648018181,2.7905506828754336,8.549855651787704,0.4632424608880276,1.0644768856447686,0.053437027569853766,0.307332964533776
70,40.0596321121249,82.31132075471703,34.7332177448333,46.20782398560175,27.276651862063,34.44541211674592,15.808908119012237,20.374662031672457,12.454260375577169,16.14725184861778,5.822748881593064,8.569118835893288,2.499162386222061,4.514893045844468,1.7876600852632036,3.396788228321986,2.2049234660477857,2.446574795286599,0.8980620288617357,1.1925900405480614,0.0,0.0,10.442280212119863,64.49854651162813,1.8273637626608659,16.106052158830444,0.9407965888776745,10.026067776218174,2.8423863143875745,11.880968243393303,0.9529863306408654,2.737226277372262,1.3748939728761542,3.073329645337758
80,40.18911693965149,103.61635220125775,36.42631767669645,50.60616171727282,31.416748103242046,40.530582166543816,23.572387726102193,31.382773271533427,17.263635391701822,22.73089530620872,8.700803782686611,12.018323901913222,4.4886559826909185,7.931568864321362,7.946108535872206,12.430799473859174,2.953366474033794,3.2454563610944676,0.8980620288617357,1.1925900405480614,0.0,0.0,12.175065495941467,68.13226744186072,1.6240562439920432,17.499845134113848,0.22478163126120432,9.27411269300181,2.8306571093329347,15.10104374861205,1.6988137975834505,5.77858880778589,1.9923148133666506,6.761325219743067
90,40.12119035473877,138.6792452830184,32.56886137632106,49.79727201949424,33.09727995109135,44.21518054532052,26.222585630030665,45.86713016608735,20.973536843129576,35.20516712059156,9.274100204996353,12.934518997574768,6.624410364053905,11.775329160107868,12.064094921558237,18.06802249107439,2.953366474033794,3.2454563610944676,1.754925577792373,2.6060300886050225,0.0,0.0,12.050718431249459,65.63408430232583,0.356059571983042,14.55739329740444,0.00894594395073735,7.603101396965449,2.2910288866310298,14.490339773484358,1.8879462872771293,6.386861313868614,2.6855615508570687,11.678652652283477
100,38.645285780631916,181.83962264150833,28.816081731432515,51.56671823338488,28.851879535631394,42.931153837565,25.221681922954584,57.93742757821561,21.419655019991428,48.44175554585335,8.852221187450876,13.419563459983825,7.486849123129583,13.66670327390758,13.012199543993164,19.224375930503154,2.953366474033794,3.2454563610944676,2.9153722315983646,3.931130133658423,0.48103826828167845,0.919254943867995,13.188855620003707,62.30317344961262,0.17140029629332865,11.924673232980233,0.00894594395073735,5.932090100929085,1.9459348048739455,13.379968909615826,2.212969348753978,7.299270072992702,3.7428754822152435,15.289814985555344
