Time,E1_D1,E1_T1,E1_D2,E1_T2,E2_D1,E2_T1,E2_D2,E2_T2,E3_D1,E3_T1,E3_D2,E3_T2,E4_D1,E4_T1,E4_D2,E4_T2,E5_D1,E5_T1,E5_D2,E5_T2,E6_D1,E6_T1,E6_D2,E6_T2,E7_D1,E7_T1,E7_D2,E7_T2,off_R1_D1,off_R1_T1,off_R1_D2,off_R1_T2,off_R2_D1,off_R2_T1,off_R2_D2,off_R2_T2,off_R3_D1,off_R3_T1,off_R3_D2,off_R3_T2,off_R4_D1,off_R4_T1,off_R4_D2,off_R4_T2,on_R1_D1,on_R1_T1,on_R1_D2,on_R1_T2,on_R2_D1,on_R2_T1,on_R2_D2,on_R2_T2,on_R3_D1,on_R3_T1,on_R3_D2,on_R3_T2,on_R4_D1,on_R4_T1,on_R4_D2,on_R4_T2,on_R5_D1,on_R5_T1,on_R5_D2,on_R5_T2,on_R6_D1,on_R6_T1,on_R6_D2,on_R6_T2
10,0.0,0.0,11.74841383664489,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,84.70841388889201,7.5,75.65008596087425,10.0,0.0,0.0,16.91961637887274,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.884609032438803,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,29.527889896488496,2.5,38.07583967765842,6.0,3.8222857466818425,0.5,180.45974409904176,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.735384379000877,2.0,54.68754264022459,8.5,16.099138066091715,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,59.11628909364874,5.0,32.09552924141184,5.5,104.13551318054596,10.0,66.93684745175648,6.0,0.0,0.0,41.48841159259115,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.39547510670229,9.0,80.20315156802388,11.0,1.9190798289607045,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,92.73463575708905,7.5,130.23500206186333,21.0,60.10228886219673,5.0,112.57167402557417,9.0,59.44137523935785,5.0,59.10898205156454,5.0,0.0,0.0,5.945722015552235,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.476132690145292,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,183.58895430057288,15.5,85.11271636477399,11.5,60.21658814840987,5.0,289.03495019991544,24.5,30.48944871638085,2.5,93.70756127261961,8.0,59.42743744813973,5.0,17.84464004240172,1.5,0.0,0.0,41.59028458119303,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.492153940841888,22.5,41.89975670635843,6.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.931290538459031,2.0
70,49.15466765754784,8.5,31.977384677794074,5.5,207.74123776509109,16.5,288.2945325673369,25.5,62.422756836059676,5.0,189.51199629287075,15.5,61.48395040770919,5.0,24.682064638631488,2.0,53.556730748639154,4.5,23.938052103800004,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.373781145908858,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.205053316945396,26.0,5.162619244589017,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.996113408695976,5.5,38.39289010767307,4.5
80,52.34737371512932,17.5,22.79977963717335,2.5,86.23468933934073,13.5,49.196877732532876,7.0,149.11265756116848,11.5,189.31585100476497,17.0,70.04305154723863,5.5,68.58720035085472,5.5,49.542167154473475,5.5,73.18218414908614,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86411546416677,7.5,157.46623451786385,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.75760099558897,8.0,38.461000714092044,6.5,0.9899852180543647,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.263088376990027,10.0,0.0,0.0
90,3.0418866688404194,20.0,101.09078324495582,17.0,51.26231110174218,16.5,96.84409334469964,10.0,100.67843338076308,14.0,71.7897853754891,6.0,102.8902274237879,19.5,5.896795047370631,0.5,48.41838878951205,16.5,39.72776393511549,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.04950836259937,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.057893497273902,3.5,28.85749769532057,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.732009689048811,2.0
100,96.38313279356001,47.5,47.21616776463448,7.5,47.856067190081276,25.5,115.97343932517632,12.5,14.054999090513633,20.0,0.0,0.0,1.3597441433869903,20.0,0.0,0.0,2.3156076018154863,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.04909390619037,8.5,0.0,0.0,44.006612636377234,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.10427899777899,5.0,16.26505378593577,1.5,0.0,0.0,10.331333055807272,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.71723299779517,7.0,36.21177154302251,4.5
