Time,E1_Q,E1_K,E2_Q,E2_K,E3_Q,E3_K,E4_Q,E4_K,E5_Q,E5_K,E6_Q,E6_K,E7_Q,E7_K,off_R1_Q,off_R1_K,off_R2_Q,off_R2_K,off_R3_Q,off_R3_K,off_R4_Q,off_R4_K,on_R1_Q,on_R1_K,on_R2_Q,on_R2_K,on_R3_Q,on_R3_K,on_R4_Q,on_R4_K,on_R5_Q,on_R5_K,on_R6_Q,on_R6_K
10,6.889777523178476,21.69811320754717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3591136989327888,9.084302325581392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,39.65992911445285,71.22641509433954,8.391815978168898,10.010010010010012,0.0,0.0,1.3178069147447729,4.634994206257242,0.0,0.0,1.7794425994386365,4.527081649151173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.340681522421116,21.80232558139534,1.6103666065288313,4.6459765842780145,4.507879693133856,10.026067776218174,0.07652976812954036,0.6662225183211193,0.0,0.0,0.0,0.0
30,30.389872984610662,54.71698113207537,36.60415106408563,47.01671368338036,4.996699194962957,5.694379312654921,3.4151950613100746,5.214368482039397,3.4823747155202227,4.573899665273707,3.309940772262354,6.143896523848021,0.17717884630880837,0.3660724091225244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.08927973226899,29.069767441860453,7.679032542491143,17.654711020256446,1.1349422073307878,10.026067776218174,3.7024384416893414,6.662225183211192,0.0,0.0,0.0,0.0
40,40.19723867752879,81.60377358490568,36.91328367079427,50.05005005005006,28.237953677529863,34.16627587592946,7.1524738820233615,8.111239860950173,2.8879676531879928,3.742281544314851,2.6897954372185144,3.5569927243330643,4.231155959176754,7.321448182450486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.20257024497024,56.32267441860481,1.6720617571635623,18.58390633711205,0.0,10.026067776218174,1.9445208007756847,6.662225183211192,0.0,0.0,0.0,0.0
50,48.16207469493075,83.01886792452834,45.127201946331574,58.240058240058254,37.50041332923674,46.55992496817847,21.283139260969072,25.492468134414818,12.19693731653339,14.553317116779965,4.220526176799157,6.46725949878739,1.8433114173746945,3.294651682102719,0.0,0.0,3.804385920554393,4.493708807669263,0.0,0.0,0.0,0.0,14.595242343872124,80.85029069767475,0.004961514535509813,18.58390633711205,0.0,10.026067776218174,4.412867123602668,16.655562958027996,0.0,0.0,0.0,0.0
60,40.122438237505655,81.13207547169813,51.20512298007633,68.25006825006817,35.6721351146909,45.889997990219065,36.036954385931935,46.34994206257245,24.391498510622462,32.84891577787482,8.13372468839021,10.347615198059826,3.770033898246581,7.321448182450486,1.490991624935385,3.035427778500499,4.09202976792607,4.493708807669263,1.2989164883189657,2.385180081096123,0.0,0.0,7.002433137076338,96.29360465116324,0.0,18.58390633711205,0.0,10.026067776218174,6.486449050656417,19.9866755496336,2.7794547653281656,6.386861313868612,0.328118598845235,1.8439977872026556
70,44.495058935988204,125.00000000000044,29.330422874913424,43.07337640670975,56.4462701871853,73.69196757553422,25.52116011878355,33.02433371958283,30.897728584039978,39.91766980602505,13.877599041674195,19.078415521422787,4.945412943967232,8.785737818940586,8.60273279525587,16.478036511859845,4.265584067569624,4.493708807669263,4.090005576829711,4.770360162192246,0.0,0.0,14.677940773736164,102.65261627907026,0.0,18.58390633711205,0.0,10.026067776218174,0.4088905825128637,19.9866755496336,2.948617057976631,10.036496350364962,8.01096277794775,16.595980084823893
80,40.49259046171343,199.999999999999,17.932302433400764,35.793369126702466,24.153350635498935,35.17116634286857,49.74752092940716,66.62804171494797,32.23791975709784,44.075760410819306,21.12638292201754,29.10266774454319,10.677176939837345,18.30362045612623,35.821133807985774,53.33680239365156,4.490900746229904,4.793289394847214,0.0,0.0,0.0,0.0,18.997231865696815,45.42151162790706,0.40227150497336395,13.008734435978432,0.057607103013112636,5.514337276919994,0.0005588548148930606,19.9866755496336,4.580713243893786,18.248175182481756,3.6899991251576654,22.127973446431852
90,28.141874763557173,264.15094339622414,14.81796678965491,43.37671004337672,15.048328471326702,27.132042607355743,19.462522587971048,65.46929316338365,32.70151718281548,96.05189297074803,6.628095089688239,11.641067097817304,12.804101694690566,22.69648936559651,24.6417839730691,33.823338103291306,0.0,0.0,5.139610793133849,8.480640288341766,0.0,0.0,4.729552458043771,14.080668604651157,0.0,0.0,0.0,0.0,0.31582652105741477,2.998001332445037,1.046265891209018,3.64963503649635,4.072747286778651,29.503964595242465
100,31.546974183276856,340.5660377358452,14.615155456632284,59.453392786726134,3.0135700300603965,26.797079118376043,0.5804560811179962,57.937427578215605,6.1881075675235735,99.79417451506292,0.18762438538714296,6.46725949878739,11.108003275711614,21.59827213822894,6.024611440896604,7.371753176358352,0.0,0.0,6.962895486351018,7.950600270320406,2.885694691658887,5.51552966320797,20.46918875308078,37.699854651162816,0.5759895775398962,2.787585950566809,0.0,0.0,0.0,0.0,2.16960500224952,5.474452554744524,6.376707904900124,21.66697399963119
110,40.596532325152936,322.6415094339588,27.860983103553107,106.4701064701055,0.0036827513194319242,26.797079118376043,2.863569072259234e-05,57.937427578215605,0.17650467129969763,99.79417451506292,0.0,6.46725949878739,3.2112094139922798,5.857158545960389,16.84131193993336,23.849789688218223,0.0,0.0,2.6371914319252325,2.9152200991174837,14.04748063770019,18.959633217277386,13.82230487056648,36.3372093023256,5.02120712611374,9.291953168556027,0.0,0.0,0.21388006977562063,1.3324450366422387,11.091496831937404,19.616788321167892,0.2991097735715774,0.46099944680066385
120,59.838117713292114,161.79245283018847,104.38770182591959,197.77353110686138,19.15736927874811,67.6626247738997,0.3585142253351946,50.98493626882971,1.406962138344783,99.79417451506292,0.754751773543201,10.347615198059826,0.0,0.0,7.927315374662252,13.00897619357356,0.0,0.0,10.102066120009802,11.660880396469926,1.050426946272523,1.3788824158019923,12.197614516528398,60.86482558139554,4.394517667810286,9.756550826983828,0.0,0.0,3.9806449150077468,6.662225183211192,6.712444153580624,11.861313868613136,0.0,0.0
130,40.252508012092946,71.6981132075471,111.03216282701274,176.84351017684094,106.49646099868544,161.45240168821456,18.155503150461744,31.286210892236358,28.895360925726493,61.123931890475745,33.03666495275581,64.02586903799526,0.03937872499343064,0.3660724091225244,4.123762435777225,5.637223017215211,6.951711055560843,11.983223487118046,5.622197639044759,6.890520234277686,0.0,0.0,5.66077308944239,70.85755813953514,1.835680081903946,11.15034380226723,0.0,0.0,1.5310878567558739,6.662225183211192,2.3919122541676505,9.124087591240874,0.0,0.0
