Time,E1_D,E1_T,E2_D,E2_T,E3_D,E3_T,E4_D,E4_T,E5_D,E5_T,E6_D,E6_T,E7_D,E7_T,off_R1_D,off_R1_T,off_R2_D,off_R2_T,off_R3_D,off_R3_T,off_R4_D,off_R4_T,on_R1_D,on_R1_T,on_R2_D,on_R2_T,on_R3_D,on_R3_T,on_R4_D,on_R4_T,on_R5_D,on_R5_T,on_R6_D,on_R6_T
10,11.74841383664489,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,86.05345684320558,10.25,8.45980818943637,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.442304516219401,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,79.90354775351936,9.666666666666666,67.06721540819878,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9117947930002923,0.6666666666666666,33.2237632462517,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,82.73061539890466,9.875,93.0685017142247,8.75,10.372102898147787,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.58350276343177,5.5,25.397592391928953,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,110.7784198829142,13.6,108.98959394893393,9.8,32.007753776702714,2.7,1.189144403110447,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.562028748774466,8.4,20.318073913543163,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,137.09896167998633,15.833333333333334,149.0332513488325,13.083333333333334,47.37262981208567,4.0,13.869633251015614,1.1666666666666667,6.931714096865505,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.70034239851211,11.833333333333334,16.93172826128597,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9885484230765051,0.3333333333333333
70,148.66290142976916,17.666666666666668,231.70587973757043,20.083333333333332,89.36175533357407,7.416666666666667,28.23063575873906,2.3333333333333335,19.847511238938697,1.6666666666666667,0.0,0.0,0.0,0.0,4.89563019098481,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,49.428287825434516,16.5,16.93172826128597,9.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,15.386715675804675,2.0
80,134.46101034685856,18.083333333333332,251.4578715197373,23.25,145.7665067612296,12.166666666666666,51.335677741754616,4.166666666666667,40.30156978953197,3.5833333333333335,0.0,0.0,0.0,0.0,47.284021854656565,4.25,0.0,0.0,0.0,0.0,0.0,0.0,66.13138811038135,18.916666666666668,12.282624292221897,9.25,0.0,0.0,0.0,0.0,0.0,0.0,17.097230405303012,3.6666666666666665
90,140.54916707013345,22.833333333333332,245.42860061985698,24.75,174.51120988727166,15.5,69.46684815361438,7.5,54.99259524363655,6.916666666666667,0.0,0.0,0.0,0.0,56.29227324842312,4.916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,73.9947225793136,20.0,0.48484417450251155,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,18.052565353477814,5.666666666666667
100,149.28041410732246,30.25,244.22145826701617,28.416666666666668,169.93897447025873,18.25,69.6934721775122,10.833333333333334,55.378529843939134,10.25,0.0,0.0,10.174848984365061,1.4166666666666667,63.62670868781933,5.5,0.0,0.0,0.0,0.0,0.0,0.0,60.78984026414505,17.75,1.8868863789769394,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,33.37406611028076,7.583333333333333
110,140.83452936639034,35.916666666666664,243.60896645161802,34.5,150.18058158843834,19.916666666666668,68.70258715436765,14.083333333333334,55.43160527431013,13.583333333333334,0.0,0.0,22.35826670131327,2.75,76.21701970530633,6.5,0.0,0.0,0.0,0.0,18.975556759315293,1.5833333333333333,56.54381814912083,14.416666666666666,16.89750612654252,6.416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,34.27521738921335,7.666666666666667
