Time,E1_D1,E1_T1,E1_D2,E1_T2,E2_D1,E2_T1,E2_D2,E2_T2,E3_D1,E3_T1,E3_D2,E3_T2,E4_D1,E4_T1,E4_D2,E4_T2,E5_D1,E5_T1,E5_D2,E5_T2,E6_D1,E6_T1,E6_D2,E6_T2,E7_D1,E7_T1,E7_D2,E7_T2,off_R1_D1,off_R1_T1,off_R1_D2,off_R1_T2,off_R2_D1,off_R2_T1,off_R2_D2,off_R2_T2,off_R3_D1,off_R3_T1,off_R3_D2,off_R3_T2,off_R4_D1,off_R4_T1,off_R4_D2,off_R4_T2,on_R1_D1,on_R1_T1,on_R1_D2,on_R1_T2,on_R2_D1,on_R2_T1,on_R2_D2,on_R2_T2,on_R3_D1,on_R3_T1,on_R3_D2,on_R3_T2,on_R4_D1,on_R4_T1,on_R4_D2,on_R4_T2,on_R5_D1,on_R5_T1,on_R5_D2,on_R5_T2,on_R6_D1,on_R6_T1,on_R6_D2,on_R6_T2
10,0.0,0.0,11.74841383664489,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,42.354206944446005,3.75,43.69924989875957,6.5,0.0,0.0,8.45980818943637,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.442304516219401,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,38.07876792846017,3.3333333333333335,41.82477982505919,6.333333333333333,1.2740952488939474,0.16666666666666666,65.79312015930483,6.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9117947930002923,0.6666666666666666,18.229180880074864,2.8333333333333335,14.994582366176838,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,43.338148219757315,3.75,39.392467179147346,6.125,26.98944973180695,2.625,66.07905198241775,6.125,0.0,0.0,10.372102898147787,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.098868776675573,2.25,21.48463398675619,3.25,14.151655617296324,4.625,11.245936774632629,1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,53.21744572722366,4.5,57.560974155690545,9.1,33.612017557884904,3.1,75.37757639104902,6.7,11.88827504787157,1.0,20.119478728831137,1.7,0.0,0.0,1.189144403110447,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.374321559369516,5.8,17.187707189404954,2.6,11.321324493837059,5.7,8.996749419706102,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,74.94603048944852,6.333333333333333,62.15293119053778,9.5,38.04611265630573,3.4166666666666665,110.98713869252676,9.666666666666666,14.988470659289783,1.25,32.38415915279588,2.75,9.904572908023288,0.8333333333333334,3.965060342992326,0.3333333333333333,0.0,0.0,6.931714096865505,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.393960289614913,8.583333333333334,21.3063821088972,3.25,9.434437078197549,6.416666666666667,7.497291183088419,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9885484230765051,0.3333333333333333
70,83.13847509903984,7.75,65.52442633072931,9.916666666666666,72.66965228382092,6.166666666666667,159.03622745374958,13.916666666666666,25.39226346529973,2.0833333333333335,63.96949186827434,5.333333333333333,20.15189797597482,1.6666666666666667,8.078737782764241,0.6666666666666666,8.92612179143986,0.75,10.92138944749884,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89563019098481,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.261469175772476,12.916666666666666,22.166818649662034,3.5833333333333335,9.434437078197549,8.083333333333334,7.497291183088419,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.999352234782663,0.9166666666666666,7.387363441022017,1.0833333333333333
80,77.74496840341273,9.416666666666666,56.71604194344582,8.666666666666666,87.04210050704437,8.416666666666666,164.41577101269294,14.833333333333334,50.24437305882781,4.0,95.52213370240183,8.166666666666666,31.82573990051459,2.5833333333333335,19.509937841240028,1.5833333333333333,17.18314965051877,1.6666666666666667,23.118420139013196,1.9166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.144019244027792,1.25,31.140002610628784,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5544026750373,14.25,28.576985435344042,4.666666666666667,9.599434614539943,9.0,2.6831896776819524,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.709866964281,2.5833333333333335,7.387363441022017,1.0833333333333333
90,73.33063453213803,12.333333333333334,67.2185325379954,10.5,94.94877139955442,11.083333333333334,150.47982922030258,13.666666666666666,67.02411195562165,6.333333333333333,107.48709793165001,9.166666666666666,48.97411113781258,5.833333333333333,20.492737015801797,1.6666666666666667,25.252881115437447,4.416666666666667,29.73971412819911,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.152270637794356,1.9166666666666667,31.140002610628784,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.56405159124962,14.833333333333334,32.430670988063994,5.166666666666667,0.48484417450251155,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.709866964281,4.25,8.342698389196817,1.4166666666666667
100,79.54177514878991,19.416666666666668,69.7386389585325,10.833333333333334,85.56886373447698,13.666666666666666,158.6525945325392,14.75,69.3666118040406,9.666666666666666,100.57236266621817,8.583333333333334,49.200735161710405,9.166666666666666,20.492737015801797,1.6666666666666667,25.638815715740026,7.75,29.73971412819911,2.5,0.0,0.0,0.0,0.0,0.0,0.0,10.174848984365061,1.4166666666666667,25.152270637794356,1.9166666666666667,38.47443805002499,3.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.01551890642907,14.166666666666666,21.774321357715973,3.5833333333333335,0.16499753634239414,5.916666666666667,1.7218888426345453,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.99607246391353,5.416666666666667,14.377993646367235,2.1666666666666665
