Time,E1_D,E1_T,E2_D,E2_T,E3_D,E3_T,E4_D,E4_T,E5_D,E5_T,E6_D,E6_T,E7_D,E7_T,off_R1_D,off_R1_T,off_R2_D,off_R2_T,off_R3_D,off_R3_T,off_R4_D,off_R4_T,on_R1_D,on_R1_T,on_R2_D,on_R2_T,on_R3_D,on_R3_T,on_R4_D,on_R4_T,on_R5_D,on_R5_T,on_R6_D,on_R6_T
10,10.679873606766213,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.167222026556722,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,90.85711585829515,9.5,5.232379635313187,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.93889609216714,10.0,0.0,0.0,72.30760032231329,10.0,1.7845293177037185,1.0,0.0,0.0,0.0,0.0
30,111.56858063024194,15.0,113.7340756081682,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.147718401601324,10.0,0.0,0.0,21.527451452345986,10.0,89.55611068137847,10.0,0.0,0.0,0.0,0.0
40,197.26018218235777,22.0,214.7404912709631,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,51.798621671738346,10.0,0.0,0.0,0.0,0.0
50,168.31999784264133,16.0,355.4683481391718,27.5,89.52229873947098,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,1.0228134625075143,10.0,0.0,0.0,0.0,0.0
60,155.23789581771868,24.5,297.3748473970054,23.0,300.8922275514777,23.0,75.16175212448584,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.23212408000555,19.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0
70,344.73342956007775,58.0,183.60154362689264,19.0,331.85542488474516,24.0,197.300104609434,15.0,114.70801737680054,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.27239680906719,13.5,0.0,0.0,0.0,10.0,0.0,10.0,1.793114447866536,1.0,0.0,0.0
80,160.29964004928598,74.0,153.21625675136235,11.5,157.55569439951114,14.5,148.0397450633021,12.0,297.2326597143714,25.0,122.30932451855699,9.5,0.0,0.0,77.95336720002715,6.5,0.0,0.0,0.0,0.0,0.0,0.0,20.278126179222063,3.5,0.0,0.0,0.8922684496465436,5.5,0.0,10.0,80.67612498014307,10.0,0.0,0.0
90,93.50149774735127,86.0,0.0,0.0,153.56615830894023,20.0,9.470162132397206,10.0,139.24680606036895,39.5,33.739464804992394,3.5,61.056624541954875,6.5,42.003884501525846,3.0,0.0,0.0,66.1780305153427,6.5,0.0,0.0,4.890544305275679,2.0,0.0,0.0,0.0,0.0,0.8892082461835997,0.5,19.738868257109445,3.5,0.0,0.0
100,87.7860261735932,98.0,0.0,0.0,30.494199321528754,20.0,0.0,10.0,30.281297770098035,40.0,0.0,0.0,75.32146587794125,8.0,0.0,0.0,0.0,0.0,124.96541494559057,9.0,0.0,0.0,160.09213182581206,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
