Time,E1_D,E1_T,E2_D,E2_T,E3_D,E3_T,E4_D,E4_T,E5_D,E5_T,E6_D,E6_T,E7_D,E7_T,off_R1_D,off_R1_T,off_R2_D,off_R2_T,off_R3_D,off_R3_T,off_R4_D,off_R4_T,on_R1_D,on_R1_T,on_R2_D,on_R2_T,on_R3_D,on_R3_T,on_R4_D,on_R4_T,on_R5_D,on_R5_T,on_R6_D,on_R6_T
10,10.679873606766211,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.167222026556722,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,50.768494732530684,6.25,2.6161898176565934,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.55305905936193,6.0,0.0,0.0,36.153800161156646,5.0,0.8922646588518592,0.5,0.0,0.0,0.0,0.0
30,71.03519003176777,9.166666666666666,39.655485081160464,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75127884010839,7.333333333333333,0.0,0.0,31.278350591553092,6.666666666666667,30.446879999694062,3.6666666666666665,0.0,0.0,0.0,0.0
40,102.59143806941526,12.375,83.42673662861112,6.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.063459130081295,8.0,0.0,0.0,23.45876294366482,7.5,35.78481541770513,5.25,0.0,0.0,0.0,0.0
50,115.73715002406047,13.1,137.83505893072325,11.0,17.904459747894197,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.850767304065037,8.4,0.0,0.0,18.767010354931855,8.0,28.832415026665608,6.2,0.0,0.0,0.0,0.0
60,122.32060765633685,15.0,164.4250236751036,13.0,65.0690877151581,4.916666666666667,12.526958687414307,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.080993433388453,10.166666666666666,0.0,0.0,15.639175295776546,8.333333333333334,24.02701252222134,6.833333333333333,0.0,0.0,0.0,0.0
70,177.99620031522207,24.166666666666668,195.02528094625237,16.166666666666668,120.37832519594899,8.916666666666666,45.410309455653305,3.4166666666666665,19.118002896133422,1.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.765189230473535,12.083333333333334,0.0,0.0,15.639175295776546,10.0,24.02701252222134,8.5,0.298852407977756,0.16666666666666666,0.0,0.0
80,189.5699543470539,34.916666666666664,219.6892604655939,18.0,146.6376075958675,11.333333333333334,70.083600299537,5.416666666666667,68.65677951519531,5.583333333333333,20.3848874197595,1.5833333333333333,0.0,0.0,12.992227866671191,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,19.82172757831602,11.0,0.0,0.0,3.7366199836654217,9.25,23.72959096927072,10.0,13.744873238001603,1.8333333333333333,0.0,0.0
90,186.5587738665721,46.75,200.73358119756585,16.333333333333332,172.23196731402422,14.666666666666666,71.66196065493652,7.083333333333333,91.86458052525681,12.166666666666666,26.008131553924898,2.1666666666666665,10.176104090325813,1.0833333333333333,19.992875283592166,1.5833333333333333,0.0,0.0,11.029671752557116,1.0833333333333333,0.0,0.0,18.445531895595078,9.666666666666666,0.0,0.0,0.14871140827442395,7.583333333333333,8.951773896738244,8.416666666666666,17.03468461418651,2.4166666666666665,0.0,0.0
100,168.3130811984447,59.416666666666664,164.943499319072,13.5,177.31433386761236,18.0,71.66196065493652,8.75,96.91146348693981,18.833333333333332,26.008131553924898,2.1666666666666665,22.729681736649354,2.4166666666666665,19.992875283592166,1.5833333333333333,0.0,0.0,31.857240910155543,2.5833333333333335,0.0,0.0,45.12755386656375,11.166666666666666,0.0,0.0,0.14871140827442395,5.916666666666667,0.3186702847818524,6.75,17.03468461418651,2.4166666666666665,0.0,0.0
110,170.48707333992968,70.08333333333333,151.3210212966523,14.583333333333334,162.46831306398886,20.25,71.66196065493652,10.416666666666666,96.94377886617434,25.5,26.008131553924898,2.1666666666666665,22.729681736649354,2.4166666666666665,19.992875283592166,1.5833333333333333,0.0,0.0,31.857240910155543,2.5833333333333335,0.0,0.0,52.1938855911115,12.833333333333334,0.0,0.0,0.14871140827442395,4.25,0.1482013743639333,5.083333333333333,25.22000780096326,3.5833333333333335,0.0,0.0
120,197.23502060108444,73.33333333333333,254.45125685121863,26.083333333333332,113.7796808680169,19.916666666666668,59.299897185331844,10.916666666666666,98.22957070371574,31.666666666666668,28.32011467944392,2.9166666666666665,22.729681736649354,2.4166666666666665,19.992875283592166,1.5833333333333333,0.0,0.0,43.73237746346724,3.5,0.0,0.0,54.140053950970504,14.666666666666666,0.0,0.0,0.14871140827442395,2.5833333333333335,0.1482013743639333,3.4166666666666665,34.61659971468541,4.333333333333333,0.0,0.0
130,163.60678855552922,66.16666666666667,372.6282652785405,37.166666666666664,138.99685843639887,24.166666666666668,54.443632565184764,11.583333333333334,100.28927993588155,32.666666666666664,85.57859673004073,8.833333333333334,22.729681736649354,2.4166666666666665,19.992875283592166,1.5833333333333333,0.0,0.0,63.27986482655427,5.0,0.0,0.0,53.40669326036866,17.416666666666668,0.0,0.0,0.14871140827442395,0.9166666666666666,0.1482013743639333,1.75,34.317747306707645,4.166666666666667,0.0,0.0
140,142.55431035861903,54.25,406.57450667282257,40.25,291.5387036227485,38.25,63.682318985442926,12.166666666666666,74.59379819652926,30.333333333333332,134.055462198075,13.583333333333334,39.74765919105712,4.333333333333333,7.000647416920974,0.5,2.6737289774526354,0.25,63.27986482655427,5.0,0.0,0.0,50.034038618337895,21.833333333333332,0.0,0.0,0.0,0.0,1.0337052158318714,0.4166666666666667,25.196027596835325,3.3333333333333335,0.0,0.0
150,134.66039574463355,41.083333333333336,417.4249860355513,41.25,355.7655591067817,42.916666666666664,154.7024105319729,18.666666666666668,113.48932687170644,28.833333333333332,141.0491860392771,14.083333333333334,97.40191136277103,10.916666666666666,0.0,0.0,21.685525064402345,1.9166666666666667,52.250193073997146,3.9166666666666665,0.0,0.0,49.21894790079195,26.5,0.0,0.0,0.0,0.0,18.110431878585626,2.0,42.890824853789546,5.75,0.0,0.0
