Time,E1_C,E2_C,E3_C,E4_C,E5_C,E6_C,E7_C,off_R1_C,off_R2_C,off_R3_C,off_R4_C,on_R1_C,on_R2_C,on_R3_C,on_R4_C,on_R5_C,on_R6_C
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
40,5,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,10,5,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0
60,7,11,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0
70,0,5,7,3,3,2,0,0,0,0,0,6,0,0,0,0,0
80,0,1,7,7,2,2,0,0,0,0,0,8,2,1,0,0,0
90,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,2,0
100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
110,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
120,21,13,0,4,4,0,0,0,0,0,0,0,0,0,0,2,0
130,9,22,11,3,4,1,0,0,0,0,0,0,0,0,0,0,0
140,5,16,21,11,6,8,0,0,0,0,0,0,0,0,0,0,0
150,7,5,19,15,7,6,0,0,0,0,0,0,0,0,0,0,0
160,7,6,9,16,13,4,0,0,0,0,0,0,0,0,0,0,0
170,2,10,4,8,14,9,0,0,0,0,0,5,0,0,0,0,0
180,0,2,10,6,8,11,0,0,0,0,0,9,2,0,0,0,0
190,0,0,5,0,0,11,0,0,0,0,0,8,2,0,7,4,0
200,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2
210,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
220,20,9,0,4,3,0,0,0,0,0,0,0,0,0,0,2,0
230,15,18,7,5,8,0,0,0,0,0,0,0,0,0,0,0,2
240,6,14,18,10,7,10,0,0,0,0,0,0,0,0,0,0,0
250,13,10,14,13,8,8,0,0,0,0,0,0,0,0,0,0,0
260,4,8,12,8,11,5,0,0,0,0,0,0,0,0,0,0,0
270,2,7,8,9,8,13,0,0,0,0,0,4,0,0,0,0,0
280,0,1,7,6,7,8,0,0,0,0,0,5,1,1,0,0,0
290,0,0,3,1,0,6,0,0,0,0,0,1,4,0,6,3,0
300,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,3,3
310,15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2
320,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
330,8,20,9,5,15,0,0,0,0,0,0,0,0,0,0,0,2
340,8,20,18,6,11,9,0,0,0,0,0,0,0,0,0,0,0
350,9,8,20,16,6,11,0,0,0,0,0,0,0,0,0,0,0
360,7,9,10,15,11,5,0,0,0,0,0,0,0,0,0,0,0
370,4,8,11,8,14,8,0,0,0,0,0,4,0,0,0,0,0
380,0,3,12,10,10,11,0,0,0,0,0,6,1,0,0,0,0
390,0,0,3,2,1,11,0,0,0,0,0,4,4,0,3,3,0
400,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,4,2
410,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
420,23,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
430,12,20,4,9,13,0,0,0,0,0,0,0,0,0,0,0,1
440,6,14,17,4,11,10,0,0,0,0,0,0,0,0,0,0,0
450,8,12,16,16,4,17,0,0,0,0,0,0,0,0,0,0,0
460,4,6,18,11,14,5,0,0,0,0,0,0,0,0,0,0,0
470,4,5,7,10,11,7,0,0,0,0,0,2,0,0,0,0,0
480,0,3,4,3,8,12,0,0,0,0,0,9,1,0,0,0,0
490,0,0,6,0,1,10,0,0,0,0,0,8,4,0,4,2,0
500,0,0,2,0,0,1,0,0,0,0,0,1,2,0,3,5,2
510,10,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2
520,24,5,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
530,8,18,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0
540,9,17,15,1,11,4,0,0,0,0,0,0,0,0,0,0,0
550,2,8,21,14,2,11,0,0,0,0,0,0,0,0,0,0,0
560,3,5,20,17,11,9,0,0,0,0,0,0,0,0,0,0,0
570,3,4,6,12,16,6,0,0,0,0,0,2,0,0,0,0,0
580,0,4,4,5,11,11,0,0,0,0,0,6,0,0,0,0,0
590,0,0,3,1,1,13,0,0,0,0,0,2,3,3,4,2,0
600,0,0,5,0,0,2,0,0,0,0,0,0,0,0,6,3,2
610,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
620,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
630,18,15,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0
640,7,18,10,2,8,2,0,0,0,0,0,0,0,0,0,0,0
650,6,18,20,12,2,10,0,0,0,0,0,0,0,0,0,0,0
660,7,6,18,16,9,3,0,0,0,0,0,0,0,0,0,0,0
670,4,6,11,18,13,6,0,0,0,0,0,2,0,0,0,0,0
680,0,3,8,7,18,12,0,0,0,0,0,4,0,0,0,0,0
690,0,0,7,2,3,11,0,0,0,0,0,4,1,0,4,2,0
700,0,0,3,0,0,5,0,0,0,0,0,0,1,0,8,4,1
710,5,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,3
720,23,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
730,15,13,0,6,6,0,0,0,0,0,0,0,0,0,0,1,0
740,9,19,5,0,12,8,0,0,0,0,0,0,0,0,0,0,1
750,5,10,20,8,4,7,0,0,0,0,0,0,0,0,0,0,0
760,9,8,16,16,5,10,0,0,0,0,0,0,0,0,0,0,0
770,2,8,8,10,11,2,0,0,0,0,0,0,0,0,0,0,0
780,0,4,5,7,11,9,0,0,0,0,0,8,0,0,0,0,0
790,0,0,3,2,2,10,0,0,0,0,0,2,3,1,2,1,0
800,0,0,4,0,0,4,0,0,0,0,0,1,3,0,9,4,1
810,5,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,1
820,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
830,18,14,0,5,8,0,0,0,0,0,0,0,0,0,0,0,1
840,10,18,0,0,11,3,0,0,0,0,0,0,0,0,0,0,1
850,9,17,16,0,4,10,0,0,0,0,0,0,0,0,0,0,0
860,5,12,23,16,1,7,0,0,0,0,0,0,0,0,0,0,0
870,4,6,17,18,10,0,0,0,0,0,0,0,0,0,0,0,0
880,0,5,10,14,16,4,0,0,0,0,0,8,0,0,0,0,0
890,0,0,11,6,5,12,0,0,0,0,0,9,3,0,2,1,0
900,0,0,5,0,0,9,0,0,0,0,0,3,2,0,4,4,1
910,5,0,2,0,0,0,0,0,0,0,0,3,0,0,0,5,3
920,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
930,19,14,0,8,6,0,0,0,0,0,0,0,0,0,0,0,1
940,11,17,0,7,12,4,0,0,0,0,0,0,0,0,0,0,0
950,5,14,10,0,11,9,0,0,0,0,0,0,0,0,0,0,0
960,6,9,22,13,0,9,0,0,0,0,0,0,0,0,0,0,0
970,8,8,23,17,13,7,0,0,0,0,0,0,0,0,0,0,0
980,0,6,11,16,13,6,0,0,0,0,0,6,0,0,0,0,0
990,0,2,6,7,8,13,0,0,0,0,0,10,1,0,2,1,0
1000,0,0,5,0,0,9,0,0,0,0,0,3,1,0,6,4,0
1010,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1
1020,20,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
1030,21,14,0,4,4,0,0,0,0,0,0,0,0,0,0,2,2
1040,13,22,0,8,14,4,0,0,0,0,0,0,0,0,0,0,1
1050,7,17,5,0,10,12,0,0,0,0,0,0,0,0,0,0,0
1060,10,6,24,9,1,10,0,0,0,0,0,0,0,0,0,0,0
1070,8,8,24,17,3,2,0,0,0,0,0,0,0,0,0,0,0
1080,1,10,12,20,14,0,0,0,0,0,0,6,0,0,0,0,0
1090,0,1,12,7,11,8,0,0,0,0,0,9,1,0,0,0,0
1100,0,0,2,0,0,10,0,0,0,0,0,6,0,0,8,1,0
1110,0,0,1,0,0,0,0,0,0,0,0,3,1,1,2,1,4
1120,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
1130,23,12,0,4,4,0,0,0,0,0,0,0,0,0,0,1,0
1140,10,19,0,6,13,4,0,0,0,0,0,0,0,0,0,0,0
1150,10,20,0,0,10,14,0,0,0,0,0,0,0,0,0,0,0
1160,10,16,17,2,0,15,0,0,0,0,0,0,0,0,0,0,0
1170,11,8,25,14,3,5,0,0,0,0,0,0,0,0,0,0,0
1180,2,12,19,20,11,0,0,0,0,0,0,4,0,0,0,0,0
1190,0,3,20,15,15,7,0,0,0,0,0,1,2,0,0,0,0
1200,0,0,8,0,0,11,0,0,0,0,0,3,3,0,7,4,0
1210,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,1,3
1220,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,24,7,0,4,4,0,0,0,0,0,0,0,0,0,3,0,0
1240,19,20,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0
1250,12,16,0,12,17,15,0,0,0,0,0,0,0,0,0,0,0
1260,7,16,13,1,12,13,0,0,0,0,0,0,0,0,0,0,0
1270,6,9,22,14,5,14,0,0,0,0,0,0,0,0,0,0,0
1280,3,7,20,17,13,8,0,0,0,0,0,4,0,0,0,0,0
1290,0,5,13,18,15,6,0,0,0,0,0,3,1,1,0,0,0
1300,0,0,5,0,1,13,0,0,0,0,0,4,3,0,6,1,0
1310,0,0,4,0,0,2,0,0,0,0,0,1,0,0,2,0,3
1320,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1330,22,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1340,17,17,0,12,14,0,0,0,0,0,0,0,0,0,0,0,1
1350,7,20,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0
1360,7,10,10,0,5,11,0,0,0,0,0,0,0,0,0,0,0
1370,11,6,19,7,0,12,0,0,0,0,0,0,0,0,0,0,0
1380,4,6,24,18,5,0,0,0,0,0,0,4,0,0,0,0,0
1390,0,6,10,18,14,1,0,0,0,0,0,5,1,1,0,0,0
1400,0,0,7,3,2,10,0,0,0,0,0,0,4,2,5,3,0
1410,0,0,5,0,0,1,0,0,0,0,0,1,2,0,3,5,1
1420,10,0,4,0,0,0,0,0,0,0,0,0,1,0,1,5,1
1430,23,3,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0
1440,10,19,0,13,13,0,0,0,0,0,0,0,0,0,0,0,1
1450,5,19,0,2,14,8,0,0,0,0,0,0,0,0,0,0,0
1460,9,6,5,0,8,13,0,0,0,0,0,0,0,0,0,0,0
1470,7,6,19,5,5,10,0,0,0,0,0,0,0,0,0,0,0
1480,6,6,21,15,5,2,0,0,0,0,0,2,0,0,0,0,0
1490,0,4,13,18,9,2,0,0,0,0,0,9,1,0,0,0,0
1500,0,0,5,6,3,7,0,0,0,0,0,4,3,0,4,2,0
1510,0,0,3,0,0,0,0,0,0,0,0,1,1,0,5,4,2
1520,10,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,4
1530,22,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
1540,18,16,0,9,11,0,0,0,0,0,0,0,0,0,0,0,1
1550,8,22,0,1,15,7,0,0,0,0,0,0,0,0,0,0,0
1560,8,16,0,0,9,11,0,0,0,0,0,0,0,0,0,0,0
1570,3,8,14,1,3,8,0,0,0,0,0,0,0,0,0,0,0
1580,9,4,23,13,2,6,0,0,0,0,0,2,0,0,0,0,0
1590,0,9,20,20,12,1,0,0,0,0,0,8,0,0,0,0,0
1600,0,0,19,6,5,6,0,0,0,0,0,4,3,0,4,2,0
1610,0,0,7,0,0,5,0,0,0,0,0,1,0,0,3,5,2
1620,10,0,2,0,0,0,0,0,0,0,0,1,2,0,1,1,3
1630,20,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
1640,18,12,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0
1650,13,18,0,17,14,5,0,0,0,0,0,0,0,0,0,0,0
1660,7,19,0,12,15,15,0,0,0,0,0,0,0,0,0,0,0
1670,11,13,8,0,20,13,0,0,0,0,0,0,0,0,0,0,0
1680,5,5,24,10,3,17,0,0,0,0,0,2,0,0,0,0,0
1690,0,11,24,19,10,11,0,0,0,0,0,8,0,0,0,0,0
1700,0,0,16,7,3,4,0,0,0,0,0,5,4,0,4,2,0
1710,0,0,10,0,0,4,0,0,0,0,0,2,0,0,5,4,1
1720,5,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,4
1730,21,5,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1
1740,15,10,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0
1750,11,18,0,17,13,5,0,0,0,0,0,0,0,0,0,0,1
1760,6,8,0,0,16,17,0,0,0,0,0,0,0,0,0,0,0
1770,10,8,5,0,9,15,0,0,0,0,0,0,0,0,0,0,0
1780,6,8,19,4,1,10,0,0,0,0,0,0,0,0,0,0,0
1790,0,7,20,19,5,2,0,0,0,0,0,8,0,0,0,0,0
1800,0,1,17,11,9,1,0,0,0,0,0,6,3,3,2,1,0
1810,0,0,8,0,0,4,0,0,0,0,0,1,2,0,8,5,1
1820,5,0,4,0,0,0,0,0,0,0,0,1,2,0,3,5,4
1830,20,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1840,20,17,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0
1850,8,19,0,16,13,8,0,0,0,0,0,0,0,0,0,0,0
1860,3,18,0,10,12,13,0,0,0,0,0,0,0,0,0,0,0
1870,6,7,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0
1880,7,9,20,0,4,11,0,0,0,0,0,0,0,0,0,0,0
1890,0,6,25,20,1,6,0,0,0,0,0,7,0,0,0,0,0
1900,0,1,23,11,7,0,0,0,0,0,0,3,3,1,2,1,0
1910,0,0,9,0,0,2,0,0,0,0,0,0,2,0,8,4,1
1920,5,0,8,0,0,0,0,0,0,0,0,0,1,0,3,1,2
1930,18,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0
1940,16,15,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0
1950,8,21,0,16,14,3,0,0,0,0,0,0,0,0,0,0,1
1960,8,12,0,7,17,11,0,0,0,0,0,0,0,0,0,0,0
1970,5,12,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0
1980,5,5,10,0,1,15,0,0,0,0,0,0,0,0,0,0,0
1990,2,6,24,11,0,8,0,0,0,0,0,6,0,0,0,0,0
2000,0,2,25,16,4,0,0,0,0,0,0,5,2,0,2,1,0
2010,0,0,17,0,0,0,0,0,0,0,0,0,4,0,5,4,0
2020,0,0,10,0,0,0,0,0,0,0,0,1,0,1,2,2,3
2030,20,0,2,0,0,0,0,0,0,0,0,0,1,0,3,0,0
2040,22,13,2,4,4,0,0,0,0,0,0,0,0,0,2,0,0
2050,6,20,0,18,16,4,0,0,0,0,0,0,0,0,0,0,0
2060,12,15,0,14,17,12,0,0,0,0,0,0,0,0,0,0,0
2070,9,8,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0
2080,7,10,5,0,6,14,0,0,0,0,0,0,0,0,0,0,0
2090,0,6,24,7,0,13,0,0,0,0,0,6,0,0,0,0,0
2100,0,2,22,15,3,1,0,0,0,0,0,3,2,2,0,0,0
2110,0,0,18,0,0,0,0,0,0,0,0,0,4,0,5,4,0
2120,0,0,10,0,0,0,0,0,0,0,0,0,1,0,1,1,3
2130,18,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,1
2140,15,7,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0
2150,9,18,0,15,12,3,0,0,0,0,0,0,0,0,0,0,0
2160,9,10,0,17,20,7,0,0,0,0,0,0,0,0,0,0,0
2170,6,11,0,10,17,13,0,0,0,0,0,0,0,0,0,0,0
2180,6,5,0,0,13,16,0,0,0,0,0,0,0,0,0,0,0
2190,1,5,19,2,3,14,0,0,0,0,0,4,0,0,0,0,0
2200,0,3,22,16,4,5,0,0,0,0,0,9,2,2,0,0,0
2210,0,0,16,0,0,2,0,0,0,0,0,6,3,1,7,3,0
2220,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,3,3
2230,15,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,3
2240,25,8,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0
2250,16,21,1,16,12,0,0,0,0,0,0,0,0,0,0,0,0
2260,7,19,0,11,17,9,0,0,0,0,0,0,0,0,0,0,0
2270,7,12,0,1,15,14,0,0,0,0,0,0,0,0,0,0,0
2280,4,9,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0
2290,3,4,15,0,0,10,0,0,0,0,0,4,0,0,0,0,0
2300,0,2,23,15,1,0,0,0,0,0,0,3,1,1,0,0,0
2310,0,0,24,0,1,1,0,0,0,0,0,1,1,0,6,3,0
2320,0,0,15,0,0,0,0,0,0,0,0,2,0,0,2,1,2
2330,15,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2340,24,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2350,13,21,2,16,14,0,0,0,0,0,0,0,0,0,0,0,0
2360,3,18,0,17,12,6,0,0,0,0,0,0,0,0,0,0,0
2370,4,7,0,14,15,11,0,0,0,0,0,0,0,0,0,0,0
2380,1,4,0,1,14,11,0,0,0,0,0,0,0,0,0,0,0
2390,4,3,9,0,0,10,0,0,0,0,0,4,0,0,0,0,0
