===> epoch: 0, train_loss: 0.9553236371763867, val_loss_q: 2.9942921602488903, val_loss_k: 27.129745549331208, test_loss_q: 2.9635622843886127, test_loss_k: 20.690603754293562, test_mape_q: 42.30946127285756, test_mape_k: 36.1174912611052
===> epoch: 1, train_loss: 0.7557844756921825, val_loss_q: 2.0607721197324813, val_loss_k: 21.134200128859206, test_loss_q: 2.049890866387741, test_loss_k: 15.928358425361901, test_mape_q: 21.457982297156867, test_mape_k: 33.40314084468386
===> epoch: 2, train_loss: 0.5934937654618312, val_loss_q: 1.9321456297831923, val_loss_k: 18.845089018070887, test_loss_q: 1.909027883456553, test_loss_k: 15.435722753722354, test_mape_q: 16.489651082854373, test_mape_k: 33.49053742342854
===> epoch: 3, train_loss: 0.5665099653434239, val_loss_q: 1.905968595378232, val_loss_k: 18.113260155413318, test_loss_q: 1.8782818074145755, test_loss_k: 16.007929427340454, test_mape_q: 15.372386007162673, test_mape_k: 35.239114141709685
===> epoch: 4, train_loss: 0.5552295016388623, val_loss_q: 1.792707401646341, val_loss_k: 17.921702317170308, test_loss_q: 1.7840446984540335, test_loss_k: 16.266247505035246, test_mape_q: 14.312446003436877, test_mape_k: 35.00710975970897
===> epoch: 5, train_loss: 0.5410438909166619, val_loss_q: 1.6898583043632764, val_loss_k: 17.8382812294511, test_loss_q: 1.6905414837602435, test_loss_k: 16.316899899123705, test_mape_q: 12.763008396358142, test_mape_k: 34.676337005321614
===> epoch: 6, train_loss: 0.5274341276826748, val_loss_q: 1.6113565566171173, val_loss_k: 17.80657568362942, test_loss_q: 1.6183290292117423, test_loss_k: 16.38031993135438, test_mape_q: 11.595065639045515, test_mape_k: 34.238626396746824
===> epoch: 7, train_loss: 0.5208644229006647, val_loss_q: 1.5685965161780786, val_loss_k: 17.7171720308752, test_loss_q: 1.579544645795168, test_loss_k: 16.394258292802323, test_mape_q: 10.783377797148411, test_mape_k: 34.187211052579805
===> epoch: 8, train_loss: 0.5136212461155443, val_loss_q: 1.5479192552558838, val_loss_k: 17.64913612873047, test_loss_q: 1.5494767993502854, test_loss_k: 16.478385605793626, test_mape_q: 10.266290448611185, test_mape_k: 34.21105691428618
===> epoch: 9, train_loss: 0.5081256818975101, val_loss_q: 1.4970697115544627, val_loss_k: 17.662070173443777, test_loss_q: 1.5009820565401906, test_loss_k: 16.349020266789605, test_mape_q: 9.883770882552113, test_mape_k: 33.59484520594484
===> epoch: 10, train_loss: 0.5023683608840738, val_loss_q: 1.4693276502166737, val_loss_k: 17.63087781339773, test_loss_q: 1.4702924006453229, test_loss_k: 16.350911911314327, test_mape_q: 9.420663109507183, test_mape_k: 33.51609421437421
===> epoch: 11, train_loss: 0.49807953072993455, val_loss_q: 1.4419083977390257, val_loss_k: 17.615921219895018, test_loss_q: 1.4425000195364073, test_loss_k: 16.297742063433645, test_mape_q: 9.068769674516888, test_mape_k: 33.33899551177097
===> epoch: 12, train_loss: 0.4948273408194617, val_loss_q: 1.4253670161042606, val_loss_k: 17.598142333038115, test_loss_q: 1.4247032053651465, test_loss_k: 16.239477111701156, test_mape_q: 8.819156471511516, test_mape_k: 33.17584909503873
===> epoch: 13, train_loss: 0.49248499953999686, val_loss_q: 1.4157259859651325, val_loss_k: 17.58733289408643, test_loss_q: 1.4149742986627367, test_loss_k: 16.17194106813659, test_mape_q: 8.708678867479264, test_mape_k: 33.000100142035244
===> epoch: 14, train_loss: 0.4904312370549373, val_loss_q: 1.408191368595128, val_loss_k: 17.577642804437776, test_loss_q: 1.4085888058593328, test_loss_k: 16.089675103740884, test_mape_q: 8.738939164365078, test_mape_k: 32.80234835264288
===> epoch: 15, train_loss: 0.48872210023364965, val_loss_q: 1.4007110895411836, val_loss_k: 17.583532539014325, test_loss_q: 1.4036300972811004, test_loss_k: 15.991201446530965, test_mape_q: 8.896995589271308, test_mape_k: 32.59279577512033
===> epoch: 16, train_loss: 0.48727903548342255, val_loss_q: 1.3949861163858317, val_loss_k: 17.594989594175587, test_loss_q: 1.3981263102083878, test_loss_k: 15.898967247844398, test_mape_q: 9.010952785708707, test_mape_k: 32.35598595062655
===> epoch: 17, train_loss: 0.48610767787797304, val_loss_q: 1.3925504230752683, val_loss_k: 17.583430249532707, test_loss_q: 1.3914269496499765, test_loss_k: 15.854132759384415, test_mape_q: 8.830139805497355, test_mape_k: 32.190543298206435
===> epoch: 18, train_loss: 0.4851176503433448, val_loss_q: 1.3933669367600716, val_loss_k: 17.568508818280993, test_loss_q: 1.3885701631006118, test_loss_k: 15.820986735041693, test_mape_q: 8.647728275791627, test_mape_k: 32.09203988281929
===> epoch: 19, train_loss: 0.48389551401681613, val_loss_q: 1.3933557860150243, val_loss_k: 17.563894112388226, test_loss_q: 1.3869341460245423, test_loss_k: 15.772466382495782, test_mape_q: 8.571149402423469, test_mape_k: 31.959032910547396
===> epoch: 20, train_loss: 0.482835673399848, val_loss_q: 1.3922730811931898, val_loss_k: 17.551958575965422, test_loss_q: 1.3854501684121667, test_loss_k: 15.747360335075893, test_mape_q: 8.53174380812737, test_mape_k: 31.899832182450115
===> epoch: 21, train_loss: 0.48193040956077593, val_loss_q: 1.3904335308387383, val_loss_k: 17.5440746894853, test_loss_q: 1.3826862237402315, test_loss_k: 15.701154723022203, test_mape_q: 8.507117968467178, test_mape_k: 31.79812940816004
===> epoch: 22, train_loss: 0.4807351640769528, val_loss_q: 1.3883905925040732, val_loss_k: 17.542958558432534, test_loss_q: 1.3795998397857325, test_loss_k: 15.63325761711912, test_mape_q: 8.488599248157273, test_mape_k: 31.642009016068094
===> epoch: 23, train_loss: 0.47953727162476323, val_loss_q: 1.3870024455275898, val_loss_k: 17.537262095166138, test_loss_q: 1.377889455846761, test_loss_k: 15.576450631138952, test_mape_q: 8.471053996334009, test_mape_k: 31.518714602897624
===> epoch: 24, train_loss: 0.4784309382065902, val_loss_q: 1.3859016566906925, val_loss_k: 17.53163194759613, test_loss_q: 1.3764509183787355, test_loss_k: 15.524132136083729, test_mape_q: 8.449214658855041, test_mape_k: 31.398808432734743
===> epoch: 25, train_loss: 0.47740462371585823, val_loss_q: 1.3847920964896847, val_loss_k: 17.526299678482157, test_loss_q: 1.3749870318353752, test_loss_k: 15.472885522158302, test_mape_q: 8.427194571331222, test_mape_k: 31.284395548477566
===> epoch: 26, train_loss: 0.4763306565397148, val_loss_q: 1.3843433690655642, val_loss_k: 17.52213895207633, test_loss_q: 1.3736759984757578, test_loss_k: 15.41246549076009, test_mape_q: 8.410966520932634, test_mape_k: 31.15122502902264
===> epoch: 27, train_loss: 0.47521102022698963, val_loss_q: 1.3837598336707813, val_loss_k: 17.520428395513072, test_loss_q: 1.372401435870339, test_loss_k: 15.351960854871477, test_mape_q: 8.392788312363889, test_mape_k: 31.023887152848566
===> epoch: 28, train_loss: 0.47412032157087003, val_loss_q: 1.3829185466788567, val_loss_k: 17.5199845936265, test_loss_q: 1.3713356573501767, test_loss_k: 15.298223886036675, test_mape_q: 8.379970522487099, test_mape_k: 30.9077594945032
===> epoch: 29, train_loss: 0.47298450899048644, val_loss_q: 1.3822573924820907, val_loss_k: 17.52030330823324, test_loss_q: 1.3702984639805078, test_loss_k: 15.241990006136787, test_mape_q: 8.367779261327401, test_mape_k: 30.796373124630392
===> epoch: 30, train_loss: 0.471919712967592, val_loss_q: 1.3819121757460593, val_loss_k: 17.52110676689888, test_loss_q: 1.3694126799079025, test_loss_k: 15.177091588808992, test_mape_q: 8.359873859239189, test_mape_k: 30.660656269703075
===> epoch: 31, train_loss: 0.4708359730483745, val_loss_q: 1.3817888802636211, val_loss_k: 17.52371828083486, test_loss_q: 1.3688353253356478, test_loss_k: 15.128762517660931, test_mape_q: 8.350640098967899, test_mape_k: 30.556519481908385
===> epoch: 32, train_loss: 0.46982557175037587, val_loss_q: 1.3820803848992982, val_loss_k: 17.52652112396115, test_loss_q: 1.36847079506278, test_loss_k: 15.071888910647687, test_mape_q: 8.342458244906481, test_mape_k: 30.440693288199633
